tax and 69 tax and 98
team and 45 team and 46
ten and 71 ten are 52
ten who 58 ten and 66
ten who 65 ten and 45
ten men 106 ten who 43
than year 93 than area 71
than that 97 than and 50
than and 152 than and 192
than and 61 than with 55
than for 133 than his 47
than and 54 than for 43
than for 109 than and 55
than and 120 than and 292
than and 73 than and 140
than with 129 than for 54
than for 157 than that 850
than for 321 than had 45
than each 80 than due 193
than for 139 than for 96
than for 245 than for 139
than for 80 than for 1561
than and 50 than may 58
than that 69 than and 75
than did 181 than for 87
than for 529 than and 56
than for 77 than and 51
than for 45 than for 80
than and 78 than had 41
than ions 47 than for 45
than bid 64 than and 42
than one 115 than for 60
than for 100 than for 878
than and 441 than but 50
than and 63 than and 48
than for 80 than and 49
than who 47 than and 45
than one 157 than one 109
than one 44 than one 134
than for 44 than with 76
than day 706 than that 382
than ere 104 than him 73
than for 70 than for 66
than that 62 than for 86
than for 151 than for 600
than using 111 than with 352
than for 94 than for 455
than that 47 than for 64
than and 123 than and 80
than did 105 than who 44
than with 359 than and 85
than with 63 than and 62
than and 59 than for 48
that was 108 that can 256
that who 41 that for 87
that with 52 that was 100
that had 285 that was 73
that with 81 that was 337
that was 53 that had 48
that had 95 that was 177
that can 45 that has 131
that has 162 that has 40
that can 77 that has 56
that may 72 that was 43
that with 44 that had 79
that can 56 that that 63
that they 59 that and 67
that how 49 that with 388
that with 91 that her 44
that that 138 that with 132
that his 63 that them 101
that his 67 that that 479
that his 86 that his 41
that that 338 that his 47
that her 67 that his 111
that with 47 that for 44
that his 66 that with 49
that her 45 that with 71
that and 51 that and 180
that that 92 that and 44
that with 41 that with 453
that with 55 that with 69
that with 327 that with 507
that ill 40 that with 353
that and 119 that that 80
that ill 379 that ill 53
that him 44 that with 55
that for 62 that for 44
that his 43 that his 43
that both 54 that his 112
that that 1965 that this 43
that that 594 that both 45
that his 60 that that 41
that that 47 that any 50
that two 44 that for 90
that for 60 that and 43
that and 53 that for 55
that nor 50 that nor 63
that nor 153 that nor 53
that nor 51 that nor 62
that him 52 that nor 577
that nor 82 that nor 47
that nor 61 that nor 51
that his 99 that that 141
that and 47 that for 55
that his 88 that that 45
that with 44 that for 62
that for 73 that with 54
that his 71 that and 69
that his 53 that him 48
that them 70 that let 68
that see 100 that his 201
that that 157 that her 62
that his 131 that them 47
that with 161 that him 50
that with 77 that his 155
that with 61 that and 106
that his 678 that and 65
that his 81 that that 215
that with 69 that his 49
that all 203 that and 84
that any 318 that her 139
that him 81 that his 420
that how 79 that that 478
that them 158 that this 246
that war 40 that with 48
that and 60 that any 60
that but 47 that for 164
that his 1706 that that 275
that them 46 that this 60
that with 459 that this 64
that with 56 that both 59
that with 61 that him 59
that his 221 that his 69
that this 67 that him 48
that his 57 that how 59
that them 40 that any 93
that his 71 that and 60
that any 48 that for 53
that his 73 that that 319
that his 44 that them 45
that his 77 that with 235
that his 41 that all 41
that any 160 that his 863
that that 80 that them 63
that this 90 that his 143
that with 55 that and 70
that him 207 that his 133
that them 168 that and 79
that his 456 that that 162
that them 48 that this 56
that his 97 that his 89
that for 49 that with 168
that his 152 that his 47
that all 64 that his 206
that them 52 that and 44
that his 63 that you 43
that his 385 that his 41
that and 89 that his 204
that this 50 that get 57
that not 151 that set 43
that his 53 that his 82
that that 105 that and 128
that his 277 that and 62
that her 141 that him 90
that his 236 that how 60
that that 938 that them 68
that this 150 that with 49
that all 545 that and 43
that any 41 that his 669
that his 85 that his 132
that his 130 that his 106
that his 52 that ask 109
that his 199 that see 42
that his 91 that not 154
that say 43 that his 201
that his 88 that his 49
that for 147 that was 71
that for 92 that with 97
that and 94 that and 50
that him 77 that his 101
that that 419 that they 361
that she 80 that that 1574
that out 97 that and 108
that things 78 that her 100
that that 111 that was 41
that had 50 that his 50
that are 44 that had 55
that are 43 that that 215
that and 54 that and 47
