tax upon income received by 76
team paid special attention to 42
than ever before attained in 49
than ever before concerning the 47
than ever before recorded in 71
than four million hectares of 52
than from further attempts at 66
than from wounds received in 46
than high school education in 53
than high school education is 62
than high school education to 50
than high school students in 161
than high school students to 51
than just another instance of 77
than like divers servants of 43
than most highly esteemed of 76
than once already mentioned in 41
than once called attention to 285
than some person entitled to 91
than such brazen troopers as 66
than their common interest in 101
than their common practice of 71
than their fellow citizens in 139
than their fellow citizens of 62
than their fellow citizens to 52
than their fellow students in 59
than their fellow subjects in 47
than those already adverted to 46
than those already included in 564
than those already inherent in 166
than those already mentioned in 273
than those already mentioned is 79
than those already provided by 72
than those already referred to 481
than those before mentioned to 45
than those relating directly to 166
than those therein mentioned in 58
than those without evidence of 52
than three million children in 42
than three million hectares of 79
than three million students in 42
than three million students to 256
than upon motions vehement or 47
than what nature presents to 67
than your entire interest in 239
that adds another dimension to 252
that beings almost infinite in 44
that body little disposed to 47
that core gender identity is 78
that dark matter consists of 158
that date should therefore be 44
that drew public attention to 279
that during normal operation the 106
that early sexual activity is 114
that even herein consists the 47
that even modest increases in 346
that even slight increases in 166
that even slight variations in 247
that ever played football at 75
that ever vassal rendered to 207
that feed almost entirely on 85
that felt itself threatened by 60
that free public education is 186
that from oliver cromwell to 67
that gave greater attention to 108
that gave greater autonomy to 55
that gave greater emphasis to 268
that gave little attention to 164
that gave little evidence of 83
that gave special attention to 182
that gets little attention in 48
that give direct evidence of 44
that give greater attention to 59
that give greater emphasis to 128
that give little attention to 64
that give special attention to 218
that give special emphasis to 47
that give special treatment to 66
that good public relations is 210
that great changes occurred in 52
that great measure essential to 63
that have already achieved the 65
that have already acquired the 57
that have already affected the 47
that have already ascribed to 46
that have already attained the 65
that have already embarked on 61
that have already happened in 144
that have already happened or 121
that have already happened to 103
that have already informed the 46
that have already invested in 187
that have already occurred as 167
that have already occurred at 64
that have already occurred by 40
that have already occurred in 2403
that have already occurred is 56
that have already occurred or 316
that have already occurred to 102
that have already ratified the 81
that have already received the 122
that have already resulted in 151
that have already surfaced in 60
that have always attended the 151
that have always depended on 48
that have always governed the 63
that have always occurred in 47
that have always provided the 60
that have arisen concerning the 391
that have arisen recently in 54
that have arisen respecting the 72
that have become accepted as 590
that have become accepted by 75
that have become accepted in 101
that have become adherent to 73
that have become adjusted to 74
that have become apparent as 64
that have become apparent in 468
that have become apparent to 50
that have become attached to 1198
that have become classics in 289
that have become classics of 207
that have become conscious of 78
that have become critical to 42
that have become dominant in 212
that have become embedded in 1044
that have become embodied in 92
that have become enmeshed in 54
that have become entangled in 112
that have become essential in 47
that have become essential to 226
that have become fixtures in 43
that have become habitual in 80
that have become habitual to 121
that have become imbedded in 148
that have become immortal in 41
that have become infected by 172
that have become infected or 49
that have become integral to 169
that have become involved in 415
that have become manifest in 126
that have become obscured by 93
that have become obsolete as 101
that have become obsolete in 286
that have become obsolete or 281
that have become possible in 41
that have become relevant to 112
that have become standard in 722
that have become subjects of 43
that have become symbolic of 80
that have called attention to 128
that have caused problems in 203
that have created problems in 56
that have deeply affected the 118
that have gained attention in 51
that have gained currency in 325
that have gained entrance to 124
that have gained momentum in 49
that have greatly affected the 168
that have greatly enhanced the 157
that have greatly enriched the 61
that have greatly expanded the 111
that have greatly extended the 59
that have greatly improved the 296
that have greatly increased the 316
that have heavily invested in 50
that have helped hundreds of 57
that have helped maintain the 46
that have helped thousands of 225
that have killed hundreds of 101
that have killed thousands of 77
that have lately happened in 148
that have lately happened to 51
that have lately occurred in 94
that have little capacity to 50
that have little directly to 66
that have little interest in 197
that have little prospect of 107
that have little tendency to 100
that have proved adaptive in 48
that have proved fruitful in 197
that have proved valuable in 288
that have proved valuable to 90
that have proven efficacy in 60
that have proven fruitful in 49
that have proven valuable in 152
that have proven valuable to 65
that have vastly improved the 74
that have vastly increased the 62
that high school education is 366
that high school students be 139
that high school students do 592
that high school students in 642
that high school students of 189
that ideas become encysted in 100
that india should continue to 328
that jews should continue to 93
that lady godiva obtained the 43
that laid special emphasis on 41
that lamb thought otherwise on 64
that last moment conscious of 40
that lays special emphasis on 60
that leads almost directly to 51
that life itself consists of 93
that life without industry is 100
that live almost entirely on 65
that made england terrible at 138
that made itself apparent in 141
that made itself manifest in 179
that making ethical decisions is 41
that many cancer patients do 42
that many causes combined to 42
that many changes occurred in 135
that many cities revolted to 50
that many french officers of 94
that many readily embraced the 49
that many serious students of 48
that many states continue to 56
that mark should continue in 40
that mary became sensible of 49
that means missed overtaking the 89
that mere chance resulted in 65
that mere verbal opulence of 52
that miss fuller produces is 68
that more clearly reflects the 253
that more humane treatment of 42
that more sacred precinct of 82
that most abject condition of 99
that most clearly embodies the 114
that most clearly indicate the 42
that most clearly reflects the 463
that most deeply affected the 69
that most deeply interest the 59
that most likely reflects the 55
that most readers complain of 62
that most serious students of 44
that most states continue to 42
that most strange happenings in 60
that much better equipped to 245
that much better prepared to 233
that much greater attention be 159
that much greater attention is 131
that much greater emphasis is 43
that must depend entirely on 47
that need special attention in 158
that nice medium required by 43
that none should approach the 44
that none should hereafter be 52
that none should purchase or 244
that none should thereafter be 92
that nothing further remained to 338
that nothing serious happened to 48
that nothing should obstruct the 54
that nothing should separate us 61
that nothing should surprise us 188
that once housed thousands of 45
that once seemed destined to 146
that once seemed essential to 91
that only became apparent in 41
that only became apparent to 41
that only became possible in 48
that only become apparent as 112
that only become apparent in 43
that only modest increases in 41
that only slight variations in 112
that only wanted treatises to 121
that open source software is 242
that other nations believed an 94
that other parent survives the 70
that other second embraced me 62
that other values outweigh the 213
that ovid highly deserved the 53
that paid greater attention to 127
that paid little attention to 1353
that paid serious attention to 46
that paid special attention to 329
that paul should remember the 113
that paying closer attention to 44
that paying greater attention to 59
that pays annual interest of 102
that pays closer attention to 55
that pays greater attention to 122
that pays little attention to 575
that pays monthly benefits to 47
that pays serious attention to 75
that pays special attention to 433
that play allows children to 57
that poor scanty pittance of 85
that puts greater emphasis on 123
that puts little emphasis on 41
that puts special emphasis on 81
that puts upward pressure on 69
that rape trauma syndrome is 45
that realm standing affected as 40
that rely almost entirely on 184
that rome became mistress of 114
that runs almost parallel to 96
that same goodly ornament of 46
