tar and feathers would be 91
tax and excise taxes on 51
tax and special taxes on 46
tax was levied under the 160
team doing eleven miles an 75
team that became known as 52
team was formed under the 67
team won second place in 93
tear off another piece of 44
ten and eleven knots an 41
ten and twelve hours at 49
ten and twelve hours in 42
ten and twelve hours of 60
ten and twelve hours to 44
ten and twelve miles an 57
ten and twelve miles to 59
ten and twelve months of 45
ten and twelve weeks of 44
ten and twenty miles in 92
ten and twenty times as 296
ten and twenty times the 155
ten his family moved to 84
than all theories about it 42
than any actual change in 59
than any before known in 62
than any before known to 44
than any brother could be 61
than any cattle reared in 121
than any church spire in 89
than any critic could be 48
than any decade since the 66
than any direct appeal to 40
than any earlier period in 55
than any earlier period of 47
than any finite power of 78
than any former method of 40
than any friend might do 65
than any marked change in 68
than any measure since the 70
than any modern author of 58
than any object which we 66
than any person could be 69
than any reality could be 58
than any simple notion of 44
than any special change in 76
than any speech could be 83
than any station within the 113
than any system based on 61
than any through which he 42
than any through which it 41
than any through which the 45
than any through which we 129
than any virtue which is 42
than any writer since the 209
than are suited either to 78
than being something which is 74
than being talked about is 162
than dead bodies would be 74
than death whirls round the 77
than doing something about it 137
than doing something about the 62
than for plants grown in 50
than has passed since the 79
than her chariot would be 44
than her former phase of 118
than her former poise of 64
than her legend spake of 42
than her normal share of 41
than her proper share of 77
than his english often is 118
than his family could eat 54
than his feelings about the 53
than his french shall be 86
than his nature wants to 61
than his normal share of 124
than his proper share of 425
than his sunday round of 46
than his wonted power of 87
than its actual value at 65
than its fabled books of 58
than its height above the 43
than its market value as 76
than its market value at 145
than its market value in 79
than its market value to 50
than its nearest rival in 55
than its normal quota of 110
than its normal share of 475
than its proper place in 85
than its proper share of 742
than its sister house of 57
than now exists under the 49
than now exists would be 64
than one answer could be 293
than one answer might be 93
than one billion acres of 74
than one billion people do 40
than one billion people in 484
than one billion people of 52
than one billion people on 42
than one county shall be 92
than one decade after the 78
than one degree above the 91
than one direct cause of 76
than one dollar shall be 68
than one faction within the 43
than one family lived in 174
than one family lives in 54
than one gentle voice of 44
than one letter about it 153
than one market within the 54
than one matter shall be 48
than one member shall be 113
than one merely based on 94
than one million acres in 182
than one million acres of 784
than one million cases of 222
than one million hours of 42
than one million lines of 59
than one million miles of 63
than one million pages of 113
than one million people in 842
than one million people of 93
than one million people on 50
than one million people to 145
than one million times the 133
than one million units of 86
than one million votes in 94
than one million women in 80
than one million words of 53
than one million yards of 42
than one minute after the 326
than one minute shall be 41
than one muscle group at 126
than one office under the 50
than one opinion about the 96
than one person about the 42
than one person claim the 66
than one person could be 210
than one person could do 65
than one person makes the 41
than one person might be 132
than one person needs to 134
than one person ought to 67
than one person shall be 572
than one person signs in 88
than one person signs the 95
than one person speaking at 67
than one person speaks at 139
than one person spoke at 41
than one person talking at 130
than one person talks at 72
than one person tries to 63
than one person wants the 54
than one person wants to 148
than one person within the 75
than one person working at 42
than one person working in 77
than one person working on 285
than one person works in 53
than one person works on 399
than one person would be 192
than one second after the 111
than one section shall be 65
than one session within the 72
than one should prove to 159
than one source could be 53
than one square league of 49
than one square meter of 44
than one volume would be 80
than our english tongue is 72
than our foster mother the 62
than our nature seems to 103
than our proper share of 218
than she became aware of 132
than she seemed willing to 43
than she should enjoy the 73
than she thought about or 135
than she wanted anything in 49
than six billion people in 98
than six billion people on 139
than six carbon atoms in 122
than six inches above the 748
than six inches apart in 41
than six inches below the 310
than six million acres in 46
than six million acres of 233
than six million farms in 47
than six million people in 167
than six square miles at 51
than six square miles of 43
than ten fathoms under us 47
than ten inches below the 47
than ten meters above the 44
than ten million acres in 41
than ten million acres of 223
than ten million people in 201
than ten square miles in 77
than ten square miles of 105
than that already given by 61
than that already given in 159
than that already given to 40
than that already known to 44
than that amount which is 47
than that amount would be 87
than that before which he 56
than that before which the 228
than that existing under the 111
than that existing within the 55
than that lively feeling of 42
than that middle state in 50
than that number would be 99
than that portion which is 142
than that through which he 249
than that through which it 365
than that through which the 1073
than that through which we 949
than that toward which the 54
than that vulgar notion of 51
than that wisdom which is 45
than they answer about the 65
than they became after the 106
than they became aware of 59
than they became later on 74
than they seemed willing to 70
than they should about the 105
than they should waste in 52
than they thought would be 89
than this amount could be 50
than this amount would be 146
than this little group of 43
than this memory holds the 50
than this number would be 62
than this second visit to 40
than this should never be 65
than this violent appeal to 86
than two billion people in 181
than two billion people on 63
than two carbon atoms in 66
than two digits after the 47
