tact is required in handling 43
tail is composed of twelve 213
take an einstein to figure 288
take an eternity to arrive 40
take an instance at random 463
take an instance of another 114
take an instance of french 50
take an interest in actions 51
take an interest in africa 115
take an interest in almost 45
take an interest in another 213
take an interest in anyone 76
take an interest in aviation 57
take an interest in biology 63
take an interest in botany 87
take an interest in church 198
take an interest in clothes 159
take an interest in common 57
take an interest in eastern 85
take an interest in english 229
take an interest in events 154
take an interest in family 97
take an interest in fashion 54
take an interest in french 183
take an interest in geology 44
take an interest in german 115
take an interest in higher 57
take an interest in issues 104
take an interest in italian 57
take an interest in jewish 259
take an interest in modern 150
take an interest in myself 44
take an interest in native 44
take an interest in nature 108
take an interest in painting 271
take an interest in planning 43
take an interest in planting 109
take an interest in plants 83
take an interest in pretty 131
take an interest in public 2194
take an interest in ragged 45
take an interest in russian 78
take an interest in school 530
take an interest in serious 79
take an interest in sexual 41
take an interest in someone 168
take an interest in something 1128
take an interest in sports 127
take an interest in studying 77
take an interest in theology 47
take an interest in training 44
take an interest in various 119
take an interest in watching 96
take an interest in whether 177
take an overdose of sleeping 371
take an umbrella in cloudy 56
take in response to various 128
take me straight to calais 145
take me straight to venice 43
take my children to church 45
take my children to school 257
take my daughter to school 293
take no exception at unmeaning 93
take no interest in public 241
take or continue in office 80
take the altitude of thyself 93
take the approach of defining 43
take the assertion on credit 54
take the attitude of another 111
take the boldness to assert 63
take the children to another 53
take the children to church 425
take the children to england 82
take the children to europe 44
take the children to safety 54
take the children to school 2690
take the children to sunday 211
take the deduction or credit 45
take the direction of public 44
take the direction of revenge 63
take the diversion of shooting 202
take the instance of building 115
take the instance of number 57
take the medicine the doctor 132
take the precepts of christ 42
take the prisoner in charge 71
take the prisoner to orleans 194
take the property of another 2204
take the sequence of events 61
take the situation in stride 86
take to complete the course 262
take to complete the entire 100
take to complete the survey 104
take to minimize the chance 41
take to minimize the damage 53
take to minimize the impact 255
take up positions to defend 43
take up seriously the matter 56
take us anywhere we wanted 93
take us wherever we wanted 171
take us wherever we wished 50
taking an interest in another 89
taking an interest in events 50
taking an interest in isabel 57
taking an interest in little 45
taking an interest in public 419
taking an interest in school 97
taking an interest in someone 79
taking an interest in something 349
taking an interest in sports 44
taking an interest in various 47
taking an overdose of sleeping 993
taking an overdose of valium 49
taking my children to school 96
taking my daughter to school 119
taking no interest in public 52
taking of presents by public 92
taking of presents in europe 312
taking of property by lawful 60
taking of property of another 204
taking or destroying the french 101
taking or preventing the escape 141
taking the attitude of another 64
taking the children to church 154
taking the children to school 1679
taking the fortress of bender 45
taking the property of another 1005
taking the property of mortal 50
taking us wherever we wished 41
tale of distress or virtue 52
talk is probably as strange 43
talk of thousands of tongues 51
talk to somebody in charge 69
talk to strangers or accept 63
taming the energies of nature 70
task in portraying to itself 56
task is assigned to someone 56
task is designed to assess 88
task is designed to elicit 55
task is designed to measure 72
task is therefore to define 58
task of alleviating the misery 48
