take away every hope which 68
take care would know would 52
take just under three hours 42
take their force from hence 49
take their place once again 42
take their title from caesar 41
take those tests over again 49
take your money back again 63
taking their names from about 44
taking their sweet time about 59
talk from morning till night 318
talk more about these later 68
teeth when truths from heaven 48
tell lies about other people 107
tell think thrive throw thrust 83
tell what comes from where 76
tell what people were thinking 66
tell your hearer nothing about 41
tell your whole life story 63
term here would have ended 72
their ages ranged from about 51
their ages ranged from thirty 41
their anger would fain appear 72
their arms about their knees 48
their arms about their necks 53
their arms round their father 41
their arms round their knees 42
their arms round their necks 124
their arms within their lines 40
their book getting well again 84
their camp about four miles 80
their camp about four weeks 48
their dark green fans above 78
their days would seem longer 63
their eyes purging thick amber 394
their faith gives great power 41
their fears about what would 42
their feet under their desks 64
their full beauty will appear 45
their good names from shame 70
their hair about their faces 57
their hats under their upper 59
their heads above their frail 57
their heads stuck upon poles 47
their heads thrust into holes 90
their heads where their tails 57
their hero shall have either 40
their home serving their grade 149
their ideas about what makes 108
their ideas about what might 79
their ideas about what would 64
their jobs within three months 44
their keen black eyes seeming 51
their kind faces once again 52
their kind takes their place 42
their lank black hair falling 52
their last appeal from reason 181
their last dance more fully 100
their last names were either 50
their last words from reaching 46
their legs spread wide apart 130
their lips might meet again 44
their lips while their hearts 294
their part would have saved 46
their paths would ever cross 148
their rest after last night 50
their sons about their necks 48
their time playing video games 72
their time would come again 58
their turn melting into banks 53
their turn would come later 47
their waking hours were spent 101
their wild craft went plunging 88
their wild cries will alter 53
their winged child have found 93
their young mouths draw until 80
there came again some which 41
there ever since last night 41
there from morning till evening 265
there from morning till night 1013
there have never been anything 156
there have never been fewer 191
there have never been found 102
there have never been lacking 418
there have never been people 55
there have never been wanting 1637
there have never been women 67
there have often been times 328
there have really been people 43
there have since been added 241
there left after such thinking 219
there must exist some cause 50
there must exist some fault 86
there must exist some method 48
there must exist some point 56
there must exist some power 137
there only about three months 41
there only about three weeks 42
there some noble lord shall 50
there were about five people 74
there were about five times 142
there were about four people 42
there were about four score 46
there were about four times 139
there were about three dozen 254
there were about three times 378
there were anything else which 40
there were anything wrong about 44
there were books well known 73
there were calls from within 46
there were eight clear months 52
there were facts from which 44
there were fewer poor people 56
there were fewer young people 86
there were found some notes 48
there were found these loose 41
there were large areas where 277
there were large areas which 91
there were miles upon miles 76
there were nearly five times 167
there were nearly four times 248
there were nearly three dozen 83
there were nearly three hours 45
there were nearly three times 506
there were never many people 68
there were never such hopes 47
there were never such witty 64
there were others also which 59
there were others from which 47
there were others upon which 120
there were people from every 64
there were people moving about 126
there were really only about 51
there were seven other people 47
there were short cuts which 49
there were small jets issuing 41
there were smooth areas where 46
there were still areas where 143
there were still five hours 43
there were still four hours 58
there were still four miles 41
