table and sat down opposite 1673
table that had been prepared 106
table that had been reserved 193
table that had been specially 43
table that has been prepared 89
table with that same graceful 42
tails that each call involved 50
taken and put into practice 55
taken him off were afflicting 53
taken his seat there promptly 53
taken ill and died suddenly 118
taken out and their contents 43
taken this leap were observed 73
taken with his last sickness 153
takes all this very seriously 47
takes but one tiny exception 42
takes her job very seriously 120
takes his job very seriously 286
takes with him three chapters 43
talking and not paying attention 317
talking with them till midnight 41
tapes that had been recorded 49
tasks that are more challenging 45
tasks that are most critical 62
tasks that had been allotted 46
tasks that had been assigned 237
tasks that you must complete 99
tasks they had been assigned 75
taste that had been morbidly 100
taste that you have acquired 70
tasting his own dish whenever 79
taxes and all other expenses 180
taxes and all other payments 54
taxes and for other purposes 74
taxes had not been increased 51
taxes that had been assessed 52
taxes them with their venality 125
teaching deaf and dumb children 70
teaching that they have received 93
teaching that you have followed 111
teaching them and their children 58
teddy bear and other assorted 90
telling her his great surprise 82
telling him that such mistakes 69
telling them that other generals 46
telling them that their children 84
telling them that their daughter 63
telling you that your computer 47
tells him that some pleasures 114
tells them that their children 54
tells you how many calories 120
tells you how many elements 85
tells you how many messages 118
tells you how many standard 144
tells you that your computer 46
temps est long pour informer 46
tempt you you will discover 81
terms and for such purposes 144
terms and for what purposes 50
terms and with such security 63
terms had not been accepted 88
terms had not been complied 63
terms than had been possible 47
terms that are more commonly 48
terms that are more concrete 149
terms that are more specific 237
terms that are most commonly 88
terms that are most relevant 52
terms that had been accepted 55
terms that had been accorded 63
terms that had been employed 62
terms that had been proposed 114
terms that one only ventures 50
terms with all other citizens 342
terms with his best infantry 104
tests are far more accurate 73
tests are not very accurate 111
tests are not very powerful 75
tests are not very specific 111
tests that are more specific 112
tests that are most commonly 86
thanking him for having prepared 91
thanking them for their attention 101
thanking them for their business 171
thanking them for their courtesy 132
thanking them for their fidelity 147
thanking them for their friendly 91
thanking them for their generous 99
thanking them for their goodwill 51
thanking them for their interest 284
thanking them for their kindness 1675
thanking them for their patience 77
thanking them for their presence 98
thanking them for their services 413
thanking them for their spirited 83
thanking you for your affection 45
thanking you for your attention 166
thanking you for your beautiful 64
thanking you for your constant 47
thanking you for your courtesy 232
thanking you for your feedback 76
thanking you for your friendly 150
thanking you for your generous 87
thanking you for your goodness 59
thanking you for your interest 120
thanking you for your kindness 1149
thanking you for your valuable 69
thanks are due unto almighty 54
thanks for all their benefits 41
thanks for all their kindness 106
thanks for all your friendly 51
thanks for all your goodness 379
thanks for all your kindness 3298
thanks for her safe delivery 61
thanks for his good services 73
thanks for his great kindness 84
thanks for his great services 128
thanks for his kind reception 60
thanks for his past services 159
thanks for this kind reception 59
thanks them for their kindness 123
thanks you and your officers 72
thanks you for your attention 102
thanks you for your goodness 85
thanks you for your interest 142
thanks you for your kindness 272
thence with that line westerly 289
thereof and any data supplied 46
thereof and for other purposes 287
thesis has not been accepted 101
thesis that has been advanced 60
thinking and its great cultural 247
thinking that they have attained 44
thinking that they were actually 69
thinking that they were conferring 81
thinking that they were insulted 77
thinking that they were probably 98
thinking that you will remember 53
thinking they had been betrayed 42
