tax cost of doing business 63
tax paid by each taxpayer 55
tax paid on raw materials 145
tax rate on all property 76
tax rate on real property 169
tax sale of real property 48
team from the old american 63
tear over the dear departed 45
ten days of being notified 85
ten days of its formation 105
ten days of this treatment 144
ten feet in any direction 356
ten feet in each direction 116
ten feet in one direction 56
ten feet of her casement 42
ten tons of earth annually 54
ten years he had acquired 93
ten years he had suffered 113
ten years he has produced 43
ten years he was chairman 91
ten years he was director 50
ten years he was employed 166
ten years he was occupied 61
ten years in that capacity 127
ten years in this business 86
ten years is not uncommon 44
ten years it had increased 127
ten years it has averaged 42
ten years it has increased 57
ten years it has pestered 43
ten years it was possible 44
ten years of age children 74
ten years of age employed 69
ten years of his accession 45
ten years of his activity 72
ten years of his business 70
ten years of his literary 136
ten years of his military 56
ten years of his ministry 567
ten years of his minority 49
ten years of his practice 137
ten years of his sentence 201
ten years of its activity 96
ten years of its formation 47
ten years of its inception 88
ten years of its operation 581
ten years of law practice 54
ten years of tax exemption 53
ten years or has lawfully 43
than boys in all subjects 53
than died of any positive 69
than even he had expected 254
than even he had foreseen 44
than even he had imagined 323
than even he had supposed 95
than even the real injuries 86
than ever by his creatures 49
than ever he had expected 51
than ever he had imagined 80
than ever he had received 42
than ever he was conscious 68
than ever he was resolved 68
than ever in his affection 82
than ever in his attempts 61
than ever in his payments 42
than ever it was essential 46
than ever of his personal 41
than ever to his favorite 54
than ever to his guidance 60
than ever to his mistress 53
than ever to his parochial 48
than ever to pay attention 59
than five in each cylinder 138
than five or six children 338
than five or six distinct 57
than five or six families 151
than five or six questions 60
than five or six separate 63
than five or six students 91
than five or six variables 51
than four to six children 45
than from the top downward 45
than half of all abortions 59
than half of all adoptions 44
than half of all american 3160
than half of all bachelor 145
than half of all business 338
than half of all canadians 101
than half of all catholics 41
than half of all children 1717
than half of all colleges 53
than half of all computer 87
than half of all consumer 168
than half of all counties 65
than half of all criminal 67
than half of all deposits 48
than half of all developing 54
than half of all divorced 52
than half of all divorces 106
than half of all domestic 72
than half of all economic 88
than half of all eligible 218
than half of all employed 308
than half of all europeans 41
than half of all families 569
than half of all financial 46
than half of all freshmen 42
than half of all hispanic 58
than half of all hospital 186
than half of all industry 52
than half of all injuries 43
than half of all internet 112
than half of all japanese 500
than half of all juvenile 102
than half of all marriages 533
than half of all mexicans 130
than half of all migrants 105
than half of all military 45
than half of all newborns 57
than half of all patients 1133
than half of all pediatric 45
than half of all personal 165
than half of all petitions 45
than half of all possible 55
than half of all practicing 48
than half of all pregnant 132
than half of all projects 46
than half of all property 126
than half of all recorded 142
than half of all reported 262
than half of all revenues 59
than half of all sexually 40
than half of all software 55
than half of all students 797
than half of all subjects 73
than half of all suicides 105
than half of all visitors 66
than half of each parallel 88
than half of his allotted 40
than half of his attention 41
than half of his audience 59
than half of his lifetime 66
than half of his officers 42
than half of his original 141
than half of his patients 76
than half of his property 45
than half of his sentence 60
than half of his subjects 85
than half of its business 165
than half of its capacity 88
than half of its children 69
than half of its citizens 101
than half of its contents 155
than half of its officers 66
than half of its original 917
than half of its potential 145
than half of its revenues 220
than half of its students 222
than half of its supplies 48
than half of our business 65
than half of our children 161
than half of our citizens 60
than half of our patients 225
than half of our students 130
than half of our subjects 73
than half of that achieved 42
than half of that distance 55
than half of that expected 66
than half of that observed 110
than half of that obtained 71
than half of that produced 115
than half of that received 67
than half of that recorded 41
than half of that reported 48
than half of that required 131
than half of them actually 131
than half of them american 123
than half of them attended 43
than half of them believed 101
than half of them children 209
than half of them civilians 119
than half of them perished 111
than half of them received 79
than half of them regulars 46
than half of them remained 90
than half of them reported 152
than half of them returned 112
than half of them survived 109
than half of this category 48
than half of this distance 61
than half of this enormous 43
than half of this quantity 103
than half of this reduction 42
than half the sum demanded 112
than half the sum required 67
than hurt by this accident 44
than keep up with inflation 135
than kept up with inflation 81
than laws in our ordinary 51
than lies in her capacity 132
than made up for whatever 120
than make up for whatever 132
than many of her subjects 46
than many of his admirers 120
than many of his advisers 109
than many of his american 71
than many of his compeers 234
than many of his comrades 273
than many of his generals 47
than many of his immediate 41
than many of his military 41
than many of his patients 47
than many of his students 102
than many of his subjects 102
than many of his superiors 57
than many of our american 57
than many of our counties 135
than most in this category 42
than most of her students 48
than most of her subjects 58
than most of his admirers 84
than most of his advisers 153
than most of his american 376
than most of his audience 93
than most of his clerical 58
than most of his compeers 285
than most of his comrades 497
than most of his generals 91
than most of his immediate 128
than most of his literary 152
than most of his military 51
than most of his officers 67
than most of his patients 69
than most of his pictures 105
than most of his students 138
than most of his subjects 379
than most of his superiors 53
than most of his teammates 131
than most of its citizens 93
than most of our american 51
than most of our citizens 41
than most of our colleges 43
than most of our literary 46
than most of our officers 45
than most of our students 99
than most of our visitors 66
than most of them imagined 52
than most of them probably 51
than much of that positive 65
than nothing in this cockeyed 73
than once he had resolved 144
than once he had threatened 52
than once he had wondered 72
than once he was arrested 41
than once he was threatened 56
than once in any calendar 161
than once in any direction 47
than once in any financial 47
than once in each calendar 157
than once in her lifetime 60
than once in his epistles 47
than once in his lifetime 629
