take along some defense such 63
take away their control over 43
take away your husband from 47
take back some control over 98
take down your service flag 67
take from great britain only 46
take into their service such 41
take many more factors into 63
take many other factors into 154
take nothing less precious from 50
take over their material ready 52
take race into account when 445
take risk into account when 82
take some early control over 71
take their part against their 79
take these five members away 69
take these into account when 660
take these other factors into 145
take these side effects into 46
take these three factors into 55
take your word against mine 238
taking also into account their 43
taking down some charred turf 50
taking form were decided upon 62
taking into their counsel poets 71
taking race into account when 47
taking these into account when 60
taking these other factors into 56
taking these three factors into 49
talk over these matters more 45
talk over these matters over 41
talk very idly applied unto 44
tears have been cozened from 51
tears shed from unknown eyes 75
tears were seen trickling down 42
teeth have been brought into 61
teeth have been removed from 104
tell even these animals here 65
tell what your thoughts will 113
text have been adapted from 78
text have been derived from 53
text have been omitted from 71
text have been omitted here 45
their arms from impending ruin 171
their beds sewn together made 118
their beds sown together made 57
their best foot forward when 134
their best form between such 72
their camp during several days 41
their cave three hundred years 53
their coin will increase from 153
their early years together were 53
their eyes fail because there 59
their eyes were riveted upon 95
their fears were allayed when 53
their fears were realized when 45
their feet were planted upon 44
their full type plainly upon 44
their good will towards their 47
their great army marched down 74
their hair hanging loosely down 45
their having been brought from 100
their having been brought into 134
their having been brought there 51
their having been carried into 80
their having been derived from 270
their having been removed from 91
their having been written down 47
their heads bent together over 264
their heads down between their 170
their heads from between their 52
their heads sunk between their 86
their heads were severed from 155
their heads were together when 126
their health care decision making 97
their hind legs against their 98
their ideas were derived from 179
their legs seem swollen like 47
their life have derived more 52
their load sent thundering down 92
their part will require nothing 71
their sins were visited upon 74
their three full glasses down 42
their turn were derived from 55
their turn were divided into 155
their very life depends upon 71
their work fell largely upon 44
their work four hundred young 66
their young heads against their 384
their young live sisters from 51
theory have been derived from 84
there been many degrees more 60
there been more company there 97
there blew soft breezes from 67
there came cold silence over 67
there came other letters from 122
there came such fervent rays 62
there came three knights riding 67
there came what sounded like 40
there during their absence from 53
there have also existed many 80
there have been attacks upon 65
there have been between many 211
there have been brought into 246
there have been certain great 103
there have been certain other 47
there have been certain very 52
there have been debates among 58
there have been debates over 146
there have been demands from 109
there have been efforts made 316
there have been equally great 41
there have been evolved more 209
there have been exceeding great 49
there have been letters from 92
there have been moments during 59
there have been moments when 2338
there have been murders here 68
there have been perhaps three 40
there have been removed from 64
there have been reports from 532
there have been several acts 99
there have been several areas 57
there have been several case 526
there have been several clear 43
there have been several days 85
there have been several deaths 308
there have been several fine 40
there have been several good 234
there have been several great 170
there have been several high 451
there have been several mass 42
there have been several more 1025
there have been several other 2114
there have been several over 88
there have been several such 712
there have been several very 378
there have been several wars 76
there have been several ways 92
there have been several well 713
there have been several years 191
there have been stories told 56
there have been studies done 93
there have been studies made 56
there have come moments when 51
there must have entered into 53
there must have existed from 52
there must have existed many 73
there must have existed other 63
there must have existed some 637
there over four hundred years 47
there these three thousand years 69
there till hell freezes over 47
there were also brought into 48
there were also certain other 105
there were also letters from 101
there were also moments when 364
there were also present john 43
there were also present many 46
there were also present some 159
there were also reports from 58
there were also several more 45
there were also several other 553
there were also several very 48
there were also smaller ones 44
there were dark moments when 53
there were days together when 69
there were even moments when 420
there were five hundred deaths 57
