the king desire your beauty 83
the king needed more money 47
the king should come thrice 48
the king should have found 41
the king should have given 167
the king should have power 255
the king should have taken 240
the king should leave paris 154
the king should levy taxes 58
the king should make known 41
the king should quit paris 44
the king should take place 135
the king should there build 46
the king uttering these words 95
the no button when asked 153
the ok button three times 43
the sea became calm again 83
the sea became very rough 596
the sea becoming very rough 43
the sea behind fell combing 130
the sea bottom over which 50
the sea changed from slate 446
the sea smokes like burning 71
the sea turned into blood 179
the sea varies from about 68
the so called free world 46
the so called high caste 52
the so called third world 747
the thing itself from which 42
the tl versus dose curve 140
the tv screen went blank 84
the uk online user group 88
the un forces back below 53
thing he always kept telling 56
thing he missed most about 41
thing if anyone ever tried 43
thing in itself very plain 125
thing is called free which 200
thing of horror once might 42
thing or another ever since 43
thing to behold what gross 283
thing we should know about 75
thing we should note about 94
thing we should talk about 148
thing we should think about 59
to an abrupt halt about 99
to an abrupt halt after 592
to an abrupt halt right 47
to an abrupt halt under 43
to an abrupt halt where 44
to an abrupt halt while 114
to an abrupt halt within 77
to an abrupt stop about 68
to an abrupt stop after 76
to an abrupt stop right 42
to an abrupt stop where 47
to an absent third party 49
to an active form which 89
to an active life after 54
to an actual case study 60
to an affair more nearly 82
to an agreed third party 43
to an agreed upon level 41
to an almost pure white 105
to an already full plate 55
to an already high level 142
to an amiable wish which 104
to an amiable young woman 75
to an amount five times 69
to an amount just short 53
to an amount many times 53
to an amount three times 85
to an annual rate equal 69
to an arched door opening 240
to an artist upon every 41
to an attack upon russia 60
to an earlier time option 47
to an earlier time period 458
to an earlier work which 41
to an english lady named 44
to an english port where 44
to an english ship which 127
to an entire city block 61
to an ethical code which 76
to an ethical theory which 48
to an extent from which 246
to an extent many times 71
to an honest heart which 75
to an infant three months 51
to an inward union under 41
to an island five miles 45
to an island from which 108
to an island over which 45
to an island three miles 44
to an object even though 85
to an object from which 89
to an object upon which 92
to an object will cause 47
to an office from which 168
to an opinion poll taken 100
to an output file named 51
to an unduly high level 87
to as sickle cell trait 56
to at greater length later 60
to at greater length under 52
to be aboard ship again 93
to be absent during working 94
to be absent five months 46
to be absent four weeks 52
to be absent from class 440
to be absent from court 224
to be absent from either 85
to be absent from every 123
to be absent from human 51
to be absent from italy 83
