table edge and pushing back 54
table name and field name 128
taken away all power from 45
taken away and given back 152
taken away and never heard 133
taken away and never seen 248
taken away and thrown down 43
taken away and thrown into 209
taken away and thrust into 49
taken away his hands from 92
taken down and moved from 77
taken down and spread over 48
taken down and thrown away 48
taken down and thrown into 306
taken down had never heard 43
taken down old books from 41
taken during this period show 63
taken during this period were 120
taken form and shape from 40
taken from her about three 75
taken from her mother when 44
taken from his canoes early 49
taken from his first book 68
taken from his hotel room 44
taken from his house were 204
taken from his mother when 378
taken from our daily life 54
taken from sir thomas more 40
taken from them since their 73
taken from them which some 59
taken from them which were 82
taken from them while living 59
taken more than eight years 73
taken more than fifty years 240
taken more than forty years 198
taken more than seven years 81
taken more than sixty years 75
taken more than thirty years 317
taken more than usual care 43
taken only two steps when 225
taken root and grown into 212
taken root and growth among 50
taken sick and lived four 72
taken their own sweet time 45
taken what they could from 50
taken when she first came 40
takes away all value from 60
takes away and draws into 68
takes care she shall learn 71
takes fire and burns down 62
takes fire and burns like 56
takes fire and burns when 49
takes form and frame from 133
takes form and solid mass 61
takes more than seven years 51
takes root and grows into 86
takes time and slows down 60
takes what man would keep 44
tales when one first reads 53
talking like that about your 54
talking over old times when 42
taste more than anything else 165
taxes over and above those 96
taxes owed and taxes paid 50
teaching more than anything else 174
teems along his burning page 234
teens when his father died 74
telling what she might have 210
telling what she would have 110
telling what they might find 40
telling what they might have 218
telling what they really were 47
telling what they would have 127
telling what you might find 119
telling what you might have 118
telling what you would like 59
tends more than anything else 607
tents from being blown down 44
tents were being taken down 70
tents were now taken down 85
terms left and right have 42
terms used are taken from 45
terms were not taken into 45
terms what you would have 50
texts from this period have 53
texts from this period were 53
thence made her entry into 150
thinking mind and feeling heart 41
thinking more than anything else 302
thinking there are still those 51
thinking there was still time 46
thinking what she might have 42
thinking what that price will 42
thinking what they would have 44
thinking what you could have 46
thinks there was never such 56
thirty boys and girls from 57
thirty boys and girls were 84
thirty days and sixty days 51
thirty when his father died 47
thirty years ago could have 56
thirty years ago might have 152
thirty years ago would have 940
thirty years and never once 66
thirty years had never been 72
though beef and flour were 46
though during this period there 40
though even that would have 160
though even they would have 51
though even this would have 102
though from this cause there 53
though kant and hegel were 65
though less than might have 277
though less than thirty years 48
though life had begun anew 40
though lydia had never been 83
though more than fifty years 232
though more than forty years 195
though more than sixty years 161
though more than thirty years 611
though most are found only 59
though most men would have 41
though once you would have 69
though past her first youth 42
though single and though poor 221
though smith and jones knew 47
though some had crept over 70
though their own lives were 84
though their real wages have 43
though there are cases when 80
though there are large areas 103
though there are large gaps 45
though there are often many 142
though there are others also 66
though there are others like 53
though there are others more 40
though there are others such 43
though there are rather more 53
though there are still areas 54
though there are still gaps 98
though there are still great 81
though there are still many 1308
though there are still more 135
though there are still only 113
though there are still other 60
though there are still some 1584
though there are still those 186
though there are still very 47
though there are times when 3889
though there had never been 4304
though there had really been 65
though there has never been 1042
though there has often been 90
though there has since been 71
though there may exist some 53
though there may never have 139
though there may occur what 74
though there was ample room 61
though there was ample time 144
though there was never much 209
though there was rather more 44
though there was really nothing 304
though there was really very 50
though there was still great 42
though there was still hope 60
