tax concessions 48 tax difficulty 60
than government 46 than sacrificed 101
than manifested 101 than recognized 89
that extinguished 81 that eventually 58
that persecuted 44 that understand 66
that repentance 427 that eventually 43
that assistance 130 that documented 45
that understood 277 that possessions 67
that unmentioned 42 that capability 72
that capacities 94 that competence 133
that experience 59 that individual 141
that appropriate 58 that disclosure 100
that understood 279 that adjectives 43
that experience 52 that conductors 126
that elasticity 128 that astonished 42
that delightful 40 that application 52
that difference 40 that inadequate 126
that boundaries 41 that categories 124
that panegyrics 73 that contribute 42
that contribute 95 that contribute 51
that experience 54 that interfered 43
that description 122 that preparation 50
that adumbrated 87 that circulated 116
that classified 46 that conditioned 50
that considered 347 that contracted 224
that cultivated 165 that demolished 103
that designated 173 that determined 713
that devastated 61 that discovered 996
that dispatched 93 that documented 81
that eliminated 108 that formulated 625
that frightened 81 that identified 887
that instituted 171 that introduced 1121
that manifested 94 that proclaimed 64
that pronounced 82 that recognized 306
that registered 220 that stimulated 44
that successful 232 that superseded 145
that translated 352 that undermined 105
that undertaken 476 that considered 1234
that maintained 147 that overlooked 44
that recognized 50 that understood 119
that pronounced 221 that considered 246
that identified 41 that introduced 43
that acceptance 66 that discovered 52
that introduced 236 that successful 49
that usefulness 81 that successful 110
that adequately 68 that calculated 136
that classified 76 that completely 67
that compressed 132 that conditioned 47
that configured 141 that considered 584
that cultivated 65 that determined 536
that discounted 89 that discovered 414
that documented 67 that downloaded 52
that elaborated 75 that emphasized 154
that formulated 133 that frequently 58
that identified 608 that initialized 57
that introduced 933 that programmed 108
that pronounced 51 that recognized 183
that registered 204 that successful 104
that summarized 40 that superseded 52
that synthesized 61 that translated 108
that undertaken 316 that attributed 84
that considered 742 that identified 57
that maintained 73 that overlooked 51
that recognized 246 that understood 137
that pronounced 360 that fashionable 58
that influential 50 that profitable 53
that difficulty 48 that speculation 52
that difficulty 55 that hereditary 75
that popularity 139 that popularity 108
that acceptance 87 that popularity 163
that prominence 48 that acceptance 901
that popularity 77 that recognition 43
that recognized 50 that discovered 61
that introduced 44 that successful 249
that successful 269 that successful 64
that successful 157 that approached 47
that considered 79 that duplicated 53
that paralleled 89 that approached 70
that considered 43 that duplicated 54
that paralleled 76 that recognized 56
that appropriate 53 that completely 116
that consistent 97 that determined 97
that influenced 47 that fraudulent 48
that originally 103 that consistent 114
that inadequate 472 that sufficient 43
that religiously 179 that astonished 143
that understand 103 that sacrifices 59
