tax and capital gains taxes 51
tax not exceeding fifty cents 137
than all america could serve 79
than any european nation could 42
than any hitherto known might 59
than any measures which either 42
than any seasoned bureau chief 40
than any similar period since 91
than any spanish author whose 43
than any success which could 65
than had hitherto taken place 61
than has hitherto taken place 149
than his dignity could brook 82
than his natural baked color 53
than his regular resting hours 63
than his weakness could stand 57
than its current stock price 41
than kit perhaps never lived 76
than one hundred fifty miles 249
than one hundred fifty people 94
than one hundred fifty yards 40
than one hundred lines later 41
than one hundred miles above 402
than one hundred miles apart 295
than one hundred miles below 122
than one hundred rough guide 85
than one hundred sixty acres 68
than one hundred yards apart 167
than one hundred yards broad 48
than one occurring months later 72
than one plenary meeting every 72
than one subject which shall 385
than one thousand miles apart 40
than ten thousand people lived 43
than that average power which 67
than that liberty which every 93
than this article which gives 44
than this impulse which drove 49
than two decades after world 127
than two hundred fifty miles 103
than two hundred fifty people 47
than two hundred miles above 285
than two hundred miles apart 213
than two hundred people could 57
than two hundred small pages 52
than two hundred yards above 61
than two hundred yards apart 264
than two hundred yards below 50
than two hundred yards broad 76
than two thousand acres could 67
than two thousand miles apart 75
that air strikes alone would 62
that all balance sheet items 60
that all mankind would adopt 66
that all matters which could 50
that all parties could agree 122
that all parties still hoped 43
that all parties would abide 58
that all parties would agree 104
that all parties would unite 167
that all persons abiding within 70
that all persons found within 61
that all persons holding civil 42
that all persons shall enjoy 44
that all persons whose names 105
that all poetical beauty ought 79
that all primary social goods 58
that all rational people ought 48
that all rational people would 86
that all revenue bills shall 115
that any creature would touch 42
that any details which would 73
that any dispute arising under 246
that any dispute which arose 97
that any dispute which might 120
that any efforts which might 53
that any european nation would 54
that any european power shall 45
that any european power would 175
that any european state could 52
that any foreign power could 68
that any foreign power would 100
that any hostile corps could 43
that any pattern which gives 51
that any question arising under 58
that any question could arise 62
that any radical change would 73
that any subject might appeal 44
that any subject which calls 49
that are several times longer 90
that are usually found beneath 46
that are usually found within 52
that both parties could claim 40
that both parties would agree 119
that can provide clues about 64
that dear friends might spend 55
that each occupying power would 43
that each species after arising 41
that easy slyness which gives 52
that few persons could carry 42
that for certain entry level 61
that for example water rises 40
that for himself which others 40
that for several hours after 256
that for several months after 650
that for several weeks after 582
that gas exchange takes place 275
that god himself speaks every 44
that had appeared since swift 52
that had assumed power after 89
that had emerged after world 133
that had existed since world 197
that had hitherto taken place 700
that has appeared under varying 68
that has elapsed since isaac 55
that has emerged since world 121
that has endured until today 52
that has evolved since world 97
that has existed shall exist 58
that has existed since world 61
that has hitherto taken place 198
that her devotion could never 47
that her example might breed 195
that her eyelids never moved 53
that her fortune might appear 51
that her friends would never 128
that her heavenly father would 259
that her husband could never 488
that her husband could write 228
that her husband might enjoy 158
that her husband might marry 125
that her husband might never 155
that her husband might still 161
that her husband really loved 55
that her husband still lived 160
that her husband still lives 43
that her husband still loved 117
that her husband still loves 118
that her husband would again 90
that her husband would agree 52
that her husband would allow 94
that her husband would change 223
that her husband would marry 43
that her husband would never 2540
that her husband would rather 53
that her husband would share 85
that her husband would spend 49
that her husband would stand 42
that her kittens would stock 47
that her majesty would allow 189
that her majesty would grant 129
that her majesty would never 103
that her majesty would often 176
that her majesty would please 40
that her marriage would never 114
that her parents could never 109
that her parents would agree 43
that her parents would allow 95
that her parents would never 909
that her receipt alone shall 93
that her spirits could boast 153
that his absence would cause 121
that his absence would create 43
that his article would appear 51
that his brethren would never 73
that his company would build 143
that his company would never 263
that his conduct falls within 97
that his conduct might cause 84
that his conduct would cause 281
that his counsel shall abuse 330
that his counsel shall stand 136
that his country could never 249
that his country might never 91
that his country would avenge 94
that his country would fight 107
that his country would never 852
that his country would stand 129
that his deceased father would 103
that his efforts would prove 169
that his election would prove 83
that his enemies could never 162
