table and beating the butt 100
table and bent to kiss 53
table and came to rest 131
table and chin in hand 57
table and down the other 44
table and drew my book 61
table and facing the rest 66
table and flung it into 90
table and flung it upon 77
table and four or five 82
table and from the same 74
table and gave my hand 41
table and have the same 65
table and held it high 99
table and held it over 151
table and held it there 71
table and held my hand 79
table and into the living 95
table and kept it there 151
table and laid it down 165
table and laid my hand 81
table and leave it there 199
table and leave the room 510
table and leaving the room 68
table and left it there 414
table and left the dining 233
table and left the room 4444
table and open the door 60
table and over the edge 45
table and puts it into 40
table and rose to leave 51
table and said no more 43
table and shut the door 43
table and slid it back 49
table and slid it over 46
table and talk it over 100
table and tell me what 67
table and test the null 82
table and three or four 585
table and threw it into 255
table and threw it over 94
table and took it from 44
table and took my hand 1574
table and took the other 59
table and tore it open 121
table and turn it over 133
table and went on deck 253
table and went to find 83
table and went to help 45
table and went to join 156
table and went to look 263
table and went to meet 117
table and went to open 73
table and went to pour 40
table and went to take 41
table and went to tell 40
table and went to their 55
table and went to work 508
table and when he came 85
table are among the most 95
table are like so many 144
table are more or less 135
table are said to have 40
table can also be used 1289
table can have as many 77
table can have at most 201
table can have the same 217
table can only be used 139
table for four or five 102
table for half an hour 741
table for over an hour 260
table for three or four 225
table lay three or four 67
table may also be used 547
table may have the same 67
table may help to make 56
table out from the wall 304
table out into the hall 46
table that during the last 43
table that have the same 207
table that held the lamp 79
table that there is only 42
table that there is some 51
table that took up most 252
table that will be used 487
table was full of food 137
table was made of wood 97
table was made up from 66
table was more or less 42
table was much the same 41
table was said to have 48
table with four or five 187
table with more or less 70
table with tail on high 59
table with those of other 50
table with three or four 490
table with three or more 49
table you want to copy 147
table you want to edit 211
table you want to have 46
table you want to link 67
table you want to open 190
table you want to sort 231
table you want to view 91
table you want to work 189
table you will be able 56
taboo are just as vain 68
tacit but none the less 103
taint hath shed on what 164
taken add half the main 42
taken all along the line 290
taken all over the city 46
taken and held to have 72
taken and kept in safe 44
taken and lost as many 49
taken any part in such 58
taken any part in their 90
taken any part in these 199
taken any part in what 56
taken any step in those 56
taken any step to find 45
taken any time to think 57
taken but half so much 45
taken due note of these 48
taken due note of your 48
taken for bringing it into 40
taken for food to pass 54
taken for four or five 76
taken for half an hour 189
taken for more or less 45
taken for much by those 87
taken for three or four 192
taken for truth in other 65
taken for what it says 43
taken had been of more 56
taken her back to their 66
taken her dose of wine 47
taken her half an hour 97
taken her hand in mine 92
taken her hand to help 52
taken her home to meet 96
taken her into my arms 202
taken her over an hour 112
taken her years to learn 68
taken him back to their 77
taken him four or five 49
taken him from the jail 65
taken him half an hour 352
taken him home to meet 49
taken him into my arms 54
taken him into my heart 57
taken him into the city 41
taken him into the dining 117
taken him into the firm 44
taken him most to lack 46
taken him over an hour 122
taken him over the edge 211
taken him three or four 86
taken him years to find 86
taken him years to have 53
taken him years to learn 132
taken his case in hand 63
taken his hand in hers 454
taken his hand to kiss 113
taken his life as well 45
taken his name in vain 359
taken his part by such 59
taken his soul in vain 70
taken his time in making 63
taken his walk in vain 45
taken his wife to live 70
taken hot from the kiln 40
taken ill upon the road 151
taken its fill the young 71
taken its toll as well 138
taken its toll in many 69
taken its toll of many 78
taken its toll of their 48
taken its toll on many 145
taken its toll on some 109
taken its toll on their 253
taken its toll on these 78
taken its toll on those 65
taken its toll on your 99
taken may also be used 395
taken not only in their 40
taken not only of their 53
taken not only of what 87
taken not only to have 105
taken not only to keep 53
taken not only to make 80
taken off down the road 67
taken off during the last 40
taken off from my heart 177
taken off from the body 87
taken off from the file 63
taken off from the fire 85
taken off from the left 97
taken off from the main 109
taken off from the other 52
taken off from the poor 68
taken off from the rest 150
taken off from the same 158
taken off half an hour 45
taken off into the bush 41
taken off most of their 54
taken off over the last 48
taken off over the past 41
taken off some of their 47
taken off three or four 59
taken off when at work 77
taken off when he came 46
taken one from the other 44
taken one look at their 58
taken out during the last 101
taken out during the past 47
taken out from the back 47
taken out from the bank 58
taken out from the body 179
taken out from the main 41
taken out from the mass 54
taken out from the nets 61
taken out from the other 59
taken out from the oven 87
taken out from the rest 74
taken out from the same 81
taken out from the side 75
taken out half an hour 43
taken out into an open 56
taken out into the bush 216
taken out into the cold 164
taken out into the hall 83
taken out into the lake 41
taken out into the main 50
taken out into the open 1392
taken out into the rain 53
taken out into the yard 469
taken out over the years 78
taken out there of late 66
taken out three or four 49
taken out upon the life 64
taken per unit of time 251
taken ten days to make 49
taken ten days to reach 88
taken ten years or more 125
taken ten years to reach 57
taken that cold in your 121
taken that length of time 47
taken that none of these 195
taken that nothing be done 125
taken that nothing is done 66
taken that nothing is left 45
taken that only the best 58
taken that step of faith 58
taken that time to come 71
taken that truth to heart 109
taken that will be very 61
taken them back to their 133
taken them from me very 63
taken them from the body 47
taken them half an hour 106
taken them more or less 113
taken them over an hour 151
taken them years to learn 48
taken this means of giving 67
taken this means of making 59
taken this time to have 44
taken this view of their 41
taken this work in hand 108
taken too late to save 48
taken too many of those 47
taken too much at face 312
taken too much at their 42
taken too much of their 64
taken too much of your 759
taken too much to heart 886
taken two days to make 41
taken two days to reach 80
taken two years or more 115
taken two years to make 76
taken two years to reach 90
taken was more or less 42
taken was said to have 40
taken with arms in hand 169
taken with arms in their 3331
taken with food or meals 209
taken with food or milk 1392
taken with food to help 76
taken with meals or milk 165
taken with milk or cream 64
taken with milk or food 150
taken with milk or milk 46
taken with milk or other 111
taken with more or less 542
taken with some of these 47
taken with three or four 41
taken with what he said 53
taken with what is said 46
taken with what we know 52
taken you back to your 90
taken you half an hour 53
taken you step by step 41
taken you years to learn 45
takes all those up into 68
takes all three of these 48
takes all three to make 49
takes and what it means 45
takes any part in these 47
takes any such thing from 55
takes but half an hour 97
takes but what he gave 85
takes for food to pass 120
takes heat from the body 134
takes heat from the hand 55
takes heat from the skin 56
takes her half an hour 77
takes her hand to help 49
takes her home to live 43
takes her time to take 43
takes him back in time 83
takes him from the arms 40
takes him from the other 82
takes him half an hour 173
takes him home to meet 61
takes him into the heart 53
