take ornaments 50 take documents 108
talk interests 99 tall invisible 43
their different 58 their reflected 85
their incurable 101 their robberies 44
their alexandria 89 their foundation 126
their television 229 their furniture 76
their estimation 113 their encounter 56
their trenchers 65 their heavenward 61
there movements 60 there countless 47
there expressed 123 there exceptions 65
there instances 119 there successes 50
there festivals 58 there important 50
there reductions 58 there reductions 54
there successes 46 there aggregating 74
there challenges 44 there instances 136
there movements 42 there proposals 124
there accidents 66 there challenges 59
there conflicts 101 there epidemics 40
there incidents 55 there objections 52
there proposals 68 there shortages 55
there instances 47 there excellent 57
there altogether 78 there arguments 71
there estimates 56 there instances 87
there movements 58 there objections 41
there proposals 373 there conflicts 41
there incidents 45 there different 66
there divergent 72 there epidemics 45
there committed 55 there gentlemen 100
there portraits 184 there prisoners 68
there available 65 there jealousies 45
there societies 62 there accidents 40
there objections 47 there specimens 52
there interests 60 there incidents 47
there priorities 54 there disasters 56
there incidents 51 there altitudes 53
there available 142 there different 48
there specimens 146 there expressed 74
there successes 42 there drawbacks 55
there exceptions 86 there extremely 46
there drawbacks 54 there objections 42
there exceptions 86 there different 55
there glimmerings 54 there incidents 56
there accessions 60 there available 44
there conditions 44 there objections 63
these increasingly 51 these certainly 41
these increasingly 61 these available 41
these described 256 these discussed 117
these indicated 80 these developed 113
these discussed 71 these developed 314
these generally 52 these imaginary 63
these empirical 46 these displayed 83
these depressed 48 think objections 70
third graduates 91 those necessary 45
those interests 98 those dispersed 75
those restrains 111 three graduates 72
throw incidents 59 time mountains 59
time schedules 86 time altogether 109
time overtures 47 time perceives 46
time biographer 42 time nocturnal 52
took americans 44 torn connection 47
town preserved 48 tube curvature 41
