the had 44 the day 66
the with 116 the that 124
the sat 52 the air 177
the that 144 the for 61
the for 112 the was 56
the ago 109 the and 42
the for 80 the one 103
the with 52 the for 50
the and 75 the for 336
the was 61 the had 45
the one 55 the one 370
the for 211 the one 67
the one 116 the way 230
the one 250 the one 50
the for 44 the way 339
the one 183 the one 98
the one 103 the for 87
the for 329 the for 45
the and 59 the and 47
the for 49 the one 113
the not 98 the for 59
the rat 146 the rat 149
the for 43 to that 44
to for 43 to with 97
to and 152 to for 154
to that 306 to with 110
to and 62 to end 353
to and 58 to end 121
to set 79 to and 40
to for 42 to and 63
to and 208 to end 44
to and 164 to aim 139
to and 166 to end 922
to and 104 to end 205
to and 70 to with 54
to new 54 to and 170
to fit 166 to for 498
to that 167 to end 176
to set 92 to that 164
to and 95 to and 50
to end 49 to and 41
to for 203 to that 48
to and 44 to set 79
to and 208 to not 49
to that 157 to seat 40
to and 58 to and 53
to and 93 to and 137
to for 3050 to that 176
to for 44 to set 238
to and 46 to for 103
to set 123 to that 180
to and 43 to for 197
to who 49 to and 163
to for 1128 to that 264
to with 421 to and 316
to for 1773 to that 376
to was 54 to who 140
to with 533 to and 64
to man 44 to for 51
to for 45 to and 256
to for 111 to pro 48
to and 54 to and 506
to for 152 to who 90
to and 209 to but 44
to for 175 to who 174
to for 40 to that 192
to with 68 to with 46
to and 44 to and 40
to with 40 to poem 72
to for 54 to with 139
to with 54 to that 49
to and 169 to area 42
to for 45 to for 86
to fee 295 to and 125
to for 51 to that 120
to that 112 to that 46
to poem 121 to for 44
to war 239 to and 54
to with 121 to war 175
to with 141 to that 40
to and 55 to that 156
to and 55 to that 40
to and 54 to and 47
to and 80 to for 253
to and 120 to with 103
to and 61 to for 92
to who 84 to and 41
to for 81 to that 660
to that 380 to law 53
to law 142 to that 139
to that 115 to for 159
to who 120 to that 272
to than 60 to act 125
to with 215 to for 62
to key 112 to man 97
to for 66 to for 55
to for 607 to and 150
to for 51 to that 324
to who 66 to for 202
to that 169 to that 92
to with 62 to map 152
to that 70 to and 59
to that 231 to and 74
to with 237 to and 87
to for 205 to that 284
to with 57 to that 40
to that 120 to and 70
to for 140 to that 369
to and 143 to set 299
to way 252 to and 42
to that 391 to for 84
to that 102 to for 463
to and 220 to for 6161
to that 2886 to with 58
to and 79 to for 74
to and 61 to for 57
to and 73 to for 124
to that 394 to and 214
to that 519 to for 1096
to that 647 to that 188
to and 88 to and 266
to and 343 to way 66
to and 51 to that 53
to and 46 to for 2042
to that 1291 to and 62
to and 86 to for 298
to that 192 to new 277
to and 152 to set 54
to and 86 to for 1828
to that 176 to for 88
to for 47 to and 214
to that 89 to that 222
to that 47 to air 93
to and 54 to and 160
to for 452 to that 993
to and 101 to and 50
to and 93 to for 2499
to that 1656 to and 292
to and 75 to for 208
to and 51 to for 671
to and 43 to set 65
to and 62 to that 159
to for 47 to that 145
to that 152 to for 44
to and 56 to for 85
to with 61 to for 99
to for 289 to that 181
to that 92 to set 105
to that 47 to set 47
to that 101 to for 57
to that 41 to for 234
to who 82 to with 579
to that 123 to and 100
to for 94 to for 85
to and 49 to for 580
to set 51 to law 47
to that 110 to that 147
to and 47 to for 178
to idea 47 to that 42
to for 120 to path 55
to way 104 to for 67
to was 46 to that 53
to not 41 to that 770
to idea 96 to set 41
to idea 47 to that 196
to and 107 to that 175
to and 40 to for 61
to for 556 to for 147
to for 56 to that 68
to for 61 to for 302
to and 48 to who 52
to that 168 to that 92
to and 119 to set 61
