the ability which like germs 79
the account which adam gives 40
the account which bede gives 48
the account which hume gives 46
the account which john gives 43
the account which luke gives 71
the account which most truly 78
the account which paul gives 88
the account would have grown 43
the accused action were within 58
the accused shall have known 57
the actuating force cease after 133
the admiral after their defeat 58
the admiral still kept aloof 61
the admiral would find others 67
the advance which took place 50
the affairs which come under 58
the affairs which took place 103
the affecting though erring piety 45
the african coast from which 72
the alleged abuse took place 85
the alleged crime took place 258
the alleged event took place 53
the alleged facts upon which 208
the alliance which pitt would 52
the alliance which took place 79
the alliance would fall apart 45
the amateur field trial clubs 79
the amniotic fluid during labor 73
the ancient greek city state 285
the ancient order into which 168
the ancient people from which 41
the ancient roman road which 76
the ancient royal site where 82
the ancient stock from which 151
the ancient stone wall which 74
the ancient tongue from which 42
the ancient world come alive 40
the ancient world from egypt 72
the ancient world from which 155
the ancient world into which 43
the ancient world live again 46
the ancient world there seems 68
the ancient world those giants 90
the ancient world took place 58
the ancient world were based 56
the ancient world were built 66
the ancient world were found 40
the ancient world were often 131
the ancient world were still 57
the animals which have lived 81
the animals which most nearly 66
the animals which were found 58
the animals which were given 87
the annexes would have liked 45
the answers which were given 353
the anterior motor horn cells 61
the antique frame nothing could 76
the apostle wrote these words 119
the applied field will cause 48
the arrests which took place 40
the artisan class from which 48
the artists would have taken 76
the ascending aorta just above 519
the assault which took place 46
the assault would take place 498
the assumed facts upon which 72
the assyrian period were found 49
the athenians spent their lives 45
the attacks which took place 54
the attacks would take place 143
the attempt would take place 103
the average about five times 80
the average about four times 103
the average about once every 143
the average about three times 187
the average adult male human 128
the average child will spend 58
the average daily milk yield 151
the average daily time spent 96
the average daily wage earned 61
the average daily wage rates 81
the average daily wind speed 65
the average every third round 45
the average fixed cost curve 540
the average growth rate since 57
the average growth rate would 47
the average period during which 356
the average period over which 94
the average solar wind speed 91
the average total cost curve 6326
the average total cost falls 53
the average total cost would 75
the average total time spent 126
the average total unit costs 90
the average waiting time until 63
the average waiting time would 119
the average woman some sixty 50
the average woman will spend 61
the aversion which many people 75
the awakening which took place 99
the balance sheet also shows 42
the balance sheet date shall 115
the balance sheet date under 87
the balance sheet date which 232
the balance sheet date would 173
the balance sheet even though 215
the balance sheet from which 46
the balance sheet just below 44
the balance sheet must equal 75
the balance sheet will appear 147
the balance sheet will reveal 43
the balance sheet will still 43
the balance within three months 80
the balcony which runs round 288
the banners taken from simon 54
the banquet which took place 121
the banquet would take place 153
the baptism which took place 41
the baptism would take place 149
the battles which have taken 55
the battles which take place 48
the battles which took place 559
the battles which were daily 73
the battles which were waged 52
the beatific vision till after 60
the beginning point from which 135
the beginning would have saved 47
the beliefs people have about 231
the beliefs people hold about 469
the beltane fires were still 49
the besieging party grew noisy 59
the beverly hills polo lounge 89
the biggest ships ever built 48
the bishops owned their hands 96
the bishops shall have power 52
the blessings which have sprung 96
the blessings which were still 40
the blossom where there blows 49
the bravest cause ever sword 88
the breakers would have swept 55
the british after their defeat 47
the british began their march 107
the british boats came within 49
the british could have easily 56
the british could have taken 74
the british crown from every 58
the british crown have never 52
the british eighth army began 68
the british eighth army broke 52
the british eighth army under 502
the british eighth army which 59
the british eighth army would 112
the british first army under 105
the british fleet from malta 91
the british fleet from sailing 72
the british fleet into action 73
the british fourth army under 67
the british goods sent thither 143
the british indian army which 60
the british indian army would 43
the british isles during world 57
the british isles from about 88
the british isles from which 156
the british isles took place 136
the british isles were still 210
the british isles were under 77
the british lines were forming 42
the british might have found 47
the british might have taken 71
the british nation will never 84
the british naval task force 106
the british people during world 72
the british people have every 51
the british people have given 42
the british people have never 117
the british people have shown 112
the british people have voted 48
the british people were asked 44
the british people were still 229
the british people were tired 70
the british people were willing 76
the british people will never 137
the british royal flying corps 802
the british seamen bold could 56
the british ships were badly 63
the british ships were still 62
the british trade union leader 81
the british world were known 61
the british would have found 148
the british would have given 109
the british would have known 40
the british would have liked 262
the british would have taken 111
the british would look after 40
the buffalo herds upon which 59
the builder whose firm walls 42
the buildings which once stood 81
the buildings which were built 64
the burrows would also carry 48
the cabbage patch doll craze 42
the cabbage patch kids dolls 62
the cabbage would have stood 55
the cabinet meeting last night 58
the cabinet until some months 70
the cabinet which took place 52
the cabinet would meet again 46
the cambium layer just under 44
the canadian first army under 57
the canadian royal flying corps 66
the candles which were burning 104
the capital gains rate rather 60
the capital gains rate would 43
the capital stock from which 96
the capital stock upon which 99
the capital towns were strong 73
the capital within three hours 51
the captain added some drops 40
the captain comes down again 87
the captain could know where 51
the captain stood ready waiting 91
the captain would have taken 78
the caravan route from arabia 42
the caravan route from china 60
the caravan route from egypt 73
the caravan route from persia 40
the caravan trade from arabia 47
the carnage which took place 51
the carnage would have ended 51
the carriage drive away after 41
the carrier shall have first 88
the castles which were built 50
the castles which were still 43
the catholic queen mary tudor 65
the cavalry since lord george 50
the celebes people just named 48
the central force from which 56
the central indian ocean basin 507
