ten times more iron detachments 42
than admit into their partnership 50
than anything else were responsible 41
than could have been anticipated 10387
than could have been apprehended 76
than could have been ascertained 73
than could have been established 68
than might have been accumulated 82
than might have been anticipated 16985
than might have been apprehended 268
than might have been conjectured 66
than might have been encountered 156
than seven years been continually 46
than which none more magnificent 58
than would have been anticipated 1237
than would have been comfortable 49
than would have been conceivable 605
than would have been encountered 117
than would have been experienced 240
than would have been permissible 273
than would have been practicable 178
than write down your conversation 71
that after having once intersected 63
that after much bold importunity 83
that arise from these differences 82
that arise from these experiences 55
that arise from these interactions 62
that arise from these observations 51
that comes from having experienced 119
that could have been accumulated 136
that could have been advantageous 66
that could have been anticipated 1206
that could have been ascertained 60
that could have been constructed 282
that could have been contributed 74
that could have been detrimental 47
that could have been distributed 284
that could have been effectively 108
that could have been encountered 57
that could have been entertained 105
that could have been established 328
that could have been experienced 115
that could have been forestalled 51
that could have been illustrated 41
that could have been implemented 280
that could have been interpreted 1112
that could have been perpetrated 75
that could have been represented 89
that could have been responsible 515
that could have been significant 62
that could have been substituted 146
that could have been transferred 165
that could have been transformed 54
that could have been transmitted 232
that could have been transported 136
that could make time intolerable 70
that either have been established 87
that either there were inhabitants 671
that enter into their constitution 52
that enter into their construction 75
that exist have been established 617
that falls upon their inhabitants 104
that funds have been appropriated 90
that funds have been transferred 77
that grave fears were entertained 193
that human beings have constructed 246
that human beings have established 101
that human beings have experienced 162
that human beings have fundamental 147
that human beings have inalienable 59
that human beings have perpetrated 54
that human beings must necessarily 105
that human beings were responsible 142
that makes life more comfortable 41
that makes such hazy terminology 42
that might also have contributed 62
that might have been accelerated 57
that might have been accumulated 69
that might have been advantageous 41
that might have been anticipated 2309
that might have been apprehended 96
that might have been compromised 97
that might have been constructed 252
that might have been contributed 57
that might have been detrimental 68
that might have been disagreeable 182
that might have been distributed 52
that might have been encountered 224
that might have been entertained 531
that might have been established 351
that might have been experienced 258
that might have been implemented 76
that might have been incriminating 86
that might have been intensified 46
that might have been interpreted 751
that might have been perpetrated 59
that might have been politically 60
that might have been preventable 44
that might have been represented 61
that might have been responsible 741
