table affords no aid in 89
table because he was so 43
table because it can be 47
table because it was the 109
table between it and the 88
table between me and the 239
table between the two of 340
table between us and the 233
table similar to that in 730
table similar to that of 494
table similar to that on 275
table surface so that the 45
table towards the end of 225
table towards the rear of 50
taboo against the eating of 113
taboo against the use of 828
tacit adoption of them by 207
tacit consent of all the 179
tacit consent of both the 53
taken account of all of 46
taken account of all the 638
taken account of and the 148
taken account of for the 69
taken account of them in 72
taken account of this in 164
taken against it may be 48
taken against me and my 43
taken against the earl of 72
taken against the oath of 51
taken against the use of 299
taken because it was the 129
taken between the end of 126
taken captive by him at 1570
taken captive by him to 173
taken captive by one of 64
taken captive in one of 141
taken captive in war or 74
taken command of all the 159
taken command of one of 99
taken control of all of 113
taken control of all the 355
taken control of both the 52
taken control of one of 52
taken courses in how to 42
taken everything he had to 85
taken measures to bring the 70
taken measures to try to 86
taken occasion to let it 40
taken occasion to say in 45
taken offices in one of 44
taken passage in one of 72
taken passage on one of 57
taken pleasure in doing so 101
taken regarding the use of 98
taken shelter in one of 123
taken sparingly or not at 55
taken together as one or 47
taken together go far to 48
taken together is that the 112
taken together it may be 42
taken towards the end of 1355
takes account of all of 268
takes account of all the 2345
takes account of both of 45
takes account of both the 1270
takes account of his or 78
takes account of how the 106
takes account of that of 228
takes account of them in 105
takes account of this by 127
takes account of this in 206
takes command of all the 68
takes control of all the 108
takes control of his or 77
takes counsel on how he 40
takes courage to act on 48
takes courage to get up 44
takes courage to let go 103
takes courage to say no 151
takes courage to try to 49
takes exactly as long as 83
takes exactly as long to 57
takes forever to get the 73
takes forever to get to 147
takes occasion to say in 41
takes pleasure in all the 51
takes pleasure in being the 48
takes pleasure in doing it 54
takes pleasure in doing so 195
takes position in rear of 69
takes several of them to 43
takes subject to all the 181
tales related to him by 43
talking between the two of 46
talking quietly to one of 59
talking together as long as 124
talks between us and the 91
talks dragged on and on 105
taped together so that the 54
taper similar to that of 48
tasks demanding the use of 62
tasks imposed on her by 65
tasks imposed on him by 191
tasks imposed on man to 88
tasks imposed on them by 287
tasks involve the use of 127
