tab field 110 tag leader 397
tag season 78 tap chest 69
tax taxes 43 tax found 102
tax first 53 tax nation 48
tax basis 497 tax first 131
tax joint 67 tax total 132
tax state 752 tax state 79
tax added 43 tax point 43
tax state 41 tax raise 86
tax state 1188 tax peril 45
tax class 61 tax basis 56
tax hands 68 tax based 120
tax fixed 68 tax found 55
tax taken 48 tax months 42
tax period 46 tax change 72
tax owner 122 tax trust 402
tax basis 78 team field 46
team board 89 team aware 55
team author 82 team known 48
team field 91 team league 47
team people 52 team field 113
team field 225 team midst 109
team brink 48 team field 181
team right 123 team scene 69
team verge 174 tear crowd 207
tear crowd 113 tear would 64
tear roots 249 tear breast 54
tear house 134 tear parking 50
tear cheek 138 tee first 95
tee first 333 ten issue 68
ten found 92 ten field 48
ten field 72 ten first 72
ten group 59 ten house 169
ten kingdom 235 ten nation 66
ten party 62 ten whole 285
ten world 199 ten party 41
ten royal 63 ten field 77
ten enemy 44 ten meeting 46
ten above 74 ten fifty 494
ten first 81 ten forty 160
ten sixty 76 ten thirty 558
ten total 198 ten whole 389
ten image 573 than basis 57
than beauty 77 than value 49
than level 119 than world 191
than above 406 than bonds 56
than books 103 than goods 238
than items 65 than joint 117
than major 66 than money 102
than nation 53 than others 2210
than parts 43 than people 180
than stars 49 than stock 135
than units 59 than women 68
than words 46 than world 523
than could 109 than which 42
than glory 54 than crown 95
than bible 44 than books 44
than field 105 than first 164
than group 61 than house 257
than kingdom 273 than known 105
than nation 92 than place 82
than region 67 than shops 55
than state 212 than table 56
than tower 43 than whole 1090
than world 7305 than italy 57
than israel 42 than judah 41
than queen 85 than books 147
than dreams 51 than earthly 74
than father 93 than mother 57
than order 56 than others 185
than peers 54 than people 73
than above 12185 than adult 52
than angels 117 than arabs 57
than armed 55 than atoms 41
than author 411 than bands 56
than bases 44 than basic 71
than beasts 258 than birds 143
than black 180 than boats 56
than books 506 than brute 119
than cases 322 than cells 61
than cereal 56 than chief 145
than civil 147 than class 178
than coast 58 than crops 42
than crowd 76 than dates 48
than dozen 111 than dreams 43
than drugs 187 than ducks 63
than dutch 96 than eight 665
than elder 51 than enemy 42
than evils 82 than faces 48
than facts 252 than false 78
than fancy 110 than field 44
than fifty 115 than films 144
than first 798 than fixed 438
than forms 694 than forty 61
than fresh 43 than games 62
than gases 73 than gaudy 50
than giants 52 than gifts 61
than girls 807 than given 52
than gothic 47 than grand 68
than greek 698 than green 91
than group 787 than grown 98
than heathen 171 than heroes 113
than hills 96 than homes 40
than human 696 than indian 431
than inner 103 than input 66
than irish 236 than items 182
than jungle 48 than kinds 87
than known 610 than lakes 68
than lands 73 than large 446
than later 1855 than latin 249
than legal 152 than light 41
than lines 109 than local 470
than longer 218 than lower 586
than maids 44 than major 881
than males 100 than metal 126
than minor 498 than model 83
than modes 57 than monks 40
than music 41 than myriad 215
than names 174 than nation 126
than nearby 65 than negro 41
than newer 174 than newly 85
than noble 52 than novel 84
than older 1517 than others 102866
than pagan 67 than pages 61
than pairs 48 than parts 420
than party 871 than people 3099
than petty 241 than plain 132
than plans 126 than plant 46
than plays 365 than poetry 84
than popes 104 than queen 65
than quick 120 than races 143
than ranges 66 than rates 74
than rather 51 than right 47
than rival 551 than rocks 155
than roles 43 than roman 536
than rooms 143 than rough 72
than royal 400 than rules 88
than rural 56 than salts 76
than sects 120 than senior 44
than seven 709 than ships 120
than short 246 than singers 49
than sites 79 than small 345
than smart 42 than social 501
than soils 46 than solid 83
than staff 110 than stars 698
than state 657 than steps 55
than stone 67 than stuff 69
than swiss 117 than tales 179
than terms 198 than tests 154
than texts 126 than thirty 234
than times 100 than tools 55
than towns 220 than trade 102
than trees 156 than tribe 421
than types 273 than units 77
than upper 511 than usual 361
than verse 43 than views 83
than walls 43 than water 116
than white 687 than whole 133
than wives 64 than women 1140
than words 287 than working 131
than works 932 than world 1095
than worst 48 than people 138
than about 212 than cared 46
than cares 61 than could 3042
than dared 210 than knows 152
than likes 44 than might 221
than really 138 than today 122
than wants 55 than would 1673
than coast 43 than field 46
than globe 47 than river 46
than stage 46 than could 327
than homer 60 than which 211
than which 132 than could 220
than found 4188 than found 87
than whole 105 than cards 51
than found 33174 than found 47
than world 92 than front 105
than mercy 611 than field 77
than first 48 than hands 128
than house 125 than midst 83
than right 391 than water 50
than world 57 than above 51
than others 220 than heaven 89
