tabs are set every half 50
tack they are sailing upon 94
tail with his right hand 108
take all his money away 47
take all our money from 49
take all our people there 56
take all that falls from 57
take all that money from 77
take all that others have 139
take all they could find 94
take all they could from 49
take all this stuff back 44
take and use water from 135
take any and every risk 42
take any and every step 53
take both his hands full 81
take earth and water from 129
take for its motto omar 133
take her due place among 40
take her own sweet time 153
take him for anything else 49
take him for every cent 66
take him out right away 42
take his due place among 50
take his own sweet time 330
take its due place among 49
take its own sweet time 184
take law and order into 66
take meat and drink from 73
take men and women from 53
take off and never come 53
take off his boots when 73
take off his frock coat 63
take off his muddy shoes 51
take off his white coat 46
take off our minds from 90
take our due place among 55
take our own sweet time 49
take out his false teeth 123
take that one extra step 54
take them and change their 55
take them for anything else 102
take them off again when 67
take them off every time 41
take them off right away 58
take them out again when 66
take this and enjoy life 58
take this and every other 42
take this for telling true 61
take this mad child home 56
take this one small step 40
take with his right hand 40
take with you every sort 70
taking both her hands into 42
taking both his hands into 46
taking her own sweet time 252
taking his dying words from 50
taking his own sweet time 664
taking his own sword from 161
taking its own sweet time 353
taking off and landing from 170
taking off and landing over 41
taking off and landing were 45
taking off and putting back 118
taking off his black silk 41
taking off his boots when 44
taking off his faded ruin 64
taking off his white coat 54
taking off our minds from 101
taking off that black coat 54
taking out and changing quid 121
taking out and putting away 197
taking out and putting back 216
taking out his cigar case 50
taking out his false teeth 210
taking with him about five 58
taking with him nearly half 87
taking with him seven other 66
taking with him seven young 51
taking with him thence some 58
taking with them about three 40
taking with them every spar 327
tale and that might have 40
tale that has never been 53
tale that has often been 319
tale was now eight years 46
tale you had under your 43
talk all day about what 113
talk did not sound like 45
talk that that would have 63
talk that way about their 51
talk that way about your 410
talk was all about good 64
talk was all about their 59
talk with god about what 123
talk with god about your 145
talk with her about life 139
talk with her about other 64
talk with her about some 280
talk with her about their 325
talk with her about these 157
talk with her about what 1087
talk with her about your 198
talk with her right away 46
talk with him about life 48
talk with him about many 252
talk with him about other 105
talk with him about some 712
talk with him about such 96
talk with him about their 846
talk with him about these 418
talk with him about those 136
talk with him about what 1448
talk with him about your 666
talk with him right away 150
talk with him which left 68
talk with men about their 46
talk with our mouths full 258
talk with sir thomas more 114
talk with them about other 40
talk with them about some 167
talk with them about their 4858
talk with them about these 241
talk with them about ways 85
talk with them about what 1797
