tactics were crowned with success 65
teachers will usually not warrant 52
teaspoon salt teaspoon dry mustard 201
thoughts have relation both between 238
thoughts were muddled and chaotic 41
thousand five hundred and fifteen 1203
thousand five hundred and seventy 9095
thousand five hundred and sixteen 1155
thousand five hundred and thirteen 530
thousand five hundred men against 89
thousand five hundred men marched 57
thousand four hundred and fifteen 885
thousand four hundred and seventy 7670
thousand four hundred and sixteen 711
thousand four hundred and thirteen 312
thousand nine hundred and between 359
thousand nine hundred and fifteen 1887
thousand nine hundred and seventy 13322
thousand nine hundred and sixteen 2657
thousand nine hundred and thirteen 3538
thousand three hundred and fifteen 552
thousand three hundred and seventy 8686
thousand three hundred and sixteen 391
thousand three hundred and thirteen 435
together four thousand two hundred 91
together like animals and following 53
together like brethren and sisters 53
together like brothers and sisters 514
together more smoothly and steadily 87
together very proudly and stiffly 43
towards more perfect and assured 88
towards their brothers and sisters 166
trappings were studded with precious 56
treatise must proceed with anxiety 105
trigger heart attacks and strokes 114
triumph over marathon and salamis 46
