tail with both hands and 198
take all her money and 48
take all his books and 95
take all his books with 47
take all his goods and 52
take all his money and 139
take all his money out 94
take all his money with 61
take all his people with 44
take all our clothing and 74
take all our force off 61
take all our money and 93
take all she could get 67
take all that money and 99
take all that stuff off 47
take all that stuff out 51
take all they could get 352
take all this money and 46
take all this stuff and 60
take all this stuff out 41
take all this stuff with 40
take and use water for 67
take both her hands and 98
take each and every one 162
take her and carry her 107
take her and marry her 165
take her and raise her 73
take her and shake her 76
take her and spare her 46
take her arm again and 40
take her for anything but 81
take her for walks and 84
take her out every day 93
take him and carry him 302
take him and cause him 89
take him and judge him 195
take him and place him 213
take him and raise him 128
take him and shake him 60
take him and shoot him 91
take him and stone him 63
take him and train him 45
take him for anything but 174
take him for walks and 107
take him out every day 100
take him out fishing with 42
take him out right now 66
take him two hours and 59
take his own horse and 54
take his own place aft 57
take his own place and 50
take his own risks and 51
take his own words for 63
take his seat after his 51
take his son isaac and 89
take its own shape and 42
take men and women and 56
take men and women who 52
take off and climb out 54
take off and landing and 123
take off her apron and 208
take off her boots and 219
take off her cloak and 129
take off her crown and 104
take off her dress and 388
take off her pants and 83
take off her shawl and 88
take off her shirt and 154
take off her skirt and 87
take off her socks and 43
take off his apron and 83
take off his armor and 68
take off his boots and 1031
take off his boots for 96
take off his boots with 86
take off his cloak and 161
take off his clothing and 84
take off his crown and 51
take off his flesh and 101
take off his glove and 86
take off his pants and 291
take off his right shoe 42
take off his shirt and 1184
take off his shirt for 46
take off his socks and 123
take off his straw hat 59
take off his sword and 80
take off his tunic and 85
take off his watch and 86
take off our boots and 414
take off our coats and 487
take off our masks and 168
take off our packs and 73
take off our pants and 43
take off our socks and 50
take off that apron and 49
take off that dress and 73
take off that silly hat 44
take off that which was 45
take one path rather than 257
take out her ships and 55
take out his bible and 52
take out his flute and 58
take out his glass eye 55
take out his horse and 47
take out his knife and 297
take out his penis and 107
take out his purse and 128
take out his stake and 56
take out his sword and 71
take out his violin and 83
take out his watch and 484
take pen and paper and 362
take that lead which they 85
take thee and hoist thee 64
take thee and raise thee 77
take thee one stick and 64
take them and apply them 60
take them and carry them 271
take them and enjoy them 51
take them and place them 141
take them and raise them 55
take them for anything but 123
take them for walks and 88
take them off again and 62
take them off right now 51
take them off until they 54
take them off until you 44
take them out again and 193
take them out again for 67
take them out every day 98
take things ill which are 55
take this for proof that 45
