tab and select the desired 236
tap this source of revenue 88
tax all nations at present 46
tax and strain the largest 64
tax cut passed by congress 92
tax has become the largest 50
tax him monthly in advance 71
tax law passed by congress 264
tax law should be applied 91
tax that should be imposed 55
tax that should be withheld 57
tax them without the consent 55
tax was common in america 47
tax was levied by congress 47
tax was levied on incomes 82
tax was levied to provide 86
tax year before it becomes 47
tax year before the election 76
tax year equals or exceeds 75
team was formed to address 47
team was formed to develop 97
tear gas through the windows 121
ten and eleven of article 44
ten and eleven the streets 159
ten men killed or wounded 72
than all claims or parties 120
than all orders of country 46
than any actual or material 79
than any amount of capital 46
than any amount of general 167
than any amount of lecturing 93
than any amount of logical 52
than any amount of material 319
than any amount of official 121
than any amount of precept 40
than any amount of printed 104
than any amount of sonatas 42
than any amount of success 127
than any amount of written 255
than any before in history 86
than any desire to improve 43
than any empire in history 40
than any farmer in concord 361
than any formed by natural 58
than any golfer in history 53
than any ground of justice 143
than any larger or smaller 99
than any mansion in america 54
than any member of congress 181
than any motive of sincere 47
than any number of general 72
than any number of letters 54
than any number of official 53
than any number of printed 81
than any number of sermons 103
than any number of volumes 60
than any person in america 52
than any person in history 119
than any player in history 261
than any school or college 43
than any theories of science 69
than any verbal or written 45
than any violent or extreme 45
than are formed by inferior 48
than are needed to achieve 41
than are needed to balance 53
than are needed to explain 60
than are needed to express 112
than are needed to perform 110
than are needed to prevent 66
than are needed to produce 225
than are needed to provide 121
than are needed to replace 226
than are needed to satisfy 154
than are needed to support 109
than are needed to sustain 57
than being forced to conform 44
than being simply the product 42
than being struck by lightning 150
than can attend the closest 100
than can readily be carried 139
than for another to express 62
than for nations to imagine 70
than for reasons of national 48
than going through the process 197
than going through the trouble 114
than her orders of council 47
than his advice to imitate 40
than his amount of genuine 57
than his brother the admiral 73
than his brother the general 43
than his choice of subject 46
than his margin of victory 56
than his second in command 45
than his writings in general 64
than its center of gravity 73
than its desire of reuniting 41
than its effect in increasing 40
than its number of valence 65
than new england or virginia 40
than now amongst the tartars 54
than one another in species 44
than one answer is correct 459
than one aspect of himself 126
than one billion of dollars 102
than one branch of science 299
than one center or research 313
than one course of behavior 48
than one degree of freedom 4491
than one disease is present 96
than one factor is operating 51
than one factor is present 166
than one factor is usually 43
than one island in distant 41
than one lawyer to perform 88
than one measure of central 62
than one member of congress 148
than one micron in diameter 410
than one million of dollars 797
than one minute in duration 98
than one object is present 61
than one office or position 61
than one opinion is uttered 61
than one person as tenants 148
than one person in addition 119
than one person in respect 82
than one person in several 73
than one person is injured 155
than one person is present 278
than one person is usually 81
than one person or company 78
than one person to operate 61
than one person to perform 94
than one person to provide 43
than one person to receive 43
than one school or college 78
than one second in duration 83
than one series of numbers 47
than one signal is present 141
than one solute is present 99
than one source is present 78
than one source of finance 52
than one source of financing 104
than one source of revenue 83
than one source of support 58
than one source of variation 88
than one version of windows 56
than she stoops to conquer 46
than she wanted to believe 113
than she wished to imagine 59
than six inches in diameter 3343
than six jurors in addition 102
than ten inches in diameter 506
than ten pounds the hundred 42
than that caused by natural 52
than that courts of justice 214
than that existing at present 155
than that extent of country 65
than that jargon of witches 42
than that mousse of lobster 50
than that needed to achieve 146
than that needed to balance 47
than that needed to develop 58
than that needed to explain 52
than that needed to inhibit 104
than that needed to initiate 49
than that needed to operate 65
than that needed to prevent 67
than that needed to produce 600
than that needed to provide 95
than that needed to replace 57
than that needed to satisfy 81
than that needed to support 146
than that needed to sustain 81
than that number of members 51
than that number of minutes 53
than that number of persons 89
than that struck by congress 151
than that toward the interior 41
than they became the subject 87
than they expect to receive 299
than they needed to support 89
than they needed to survive 100
than they occupy at present 84
than they seemed to vibrate 68
than they should be according 258
than they should be allowed 98
than they should be because 1014
than they should do according 52
than this amount is present 102
than this amount of protein 48
than this should be avoided 110
than two groups to compare 52
than two inches in diameter 5991
than two meters in diameter 79
than two ounces of alcohol 102
than two pieces of luggage 107
than two points of support 103
than two pounds be charged 75
than was agreed on between 94
than was enough to furnish 56
than was likely to suggest 199
than was needed to produce 71
than was needed to protect 57
than was needed to provide 69
than was needed to satisfy 74
than was needed to support 138
than was needed to sustain 74
than with family or friends 75
than you expect to receive 116
that act should be repealed 42
that age without the consent 40
that aid should be granted 200
that air enters the pleural 44
that all across the country 418
that all actions of account 69
that all around me plainly 50
that all around the country 72
that all chance of obtaining 129
that all chance of success 144
that all changes in behavior 61
that all claims in respect 149
that all courts of justice 218
that all debris is removed 50
that all disease is brought 56
that all duties on imports 51
that all effort is useless 64
that all events in history 48
that all fields of science 45
that all grades of society 45
that all groups in society 271
that all groups of animals 41
that all groups of workers 71
that all income is taxable 79
that all indians be removed 54
that all joyous or creative 145
that all judges be elected 98
that all levels of society 213
that all lovers of freedom 55
that all manner of battles 43
that all manner of diseases 51
that all manner of persons 391
that all matter is animate 108
that all matter is capable 46
that all matter is endowed 96
that all matter is eternal 58
that all matter is subject 74
that all motions to dismiss 44
that all nature is subject 95
that all periods of history 69
that all places of worship 164
that all points in dispute 346
that all points of contact 59
that all reality is material 164
that all reality is perhaps 50
that all reality is rational 90
that all reality is socially 95
that all shades of opinions 48
that all should be allowed 221
that all should be arranged 68
that all should be brought 284
that all should be capable 58
that all should be carried 54
that all should be classed 66
that all should be college 71
that all should be content 47
that all should be devoted 48
that all should be equally 430
that all should be exactly 90
that all should be exposed 57
that all should be familiar 53
that all should be granted 60
that all should be offered 40
that all should be perfect 42
that all should be present 351
that all should be removed 97
that all should be settled 84
that all should be subject 143
that all should be trained 40
that all should be written 40
that all should go smoothly 91
that all slaves of persons 204
that all sodomy is immoral 125
that all states of affairs 363
that all strata of society 105
that all teachings of zoology 44
that all theories of justice 50
that all thought is socially 48
that all thought of returning 41
that all through the century 59
that all through the colonial 42
that all through the country 296
that all through the history 220
that all through the service 45
that all traces of organic 60
that all troops in service 47
that all virtue is founded 42
that and changed the subject 167
that any amount of alcohol 123
that any amount of capital 181
that any amount of material 82
that any amount of radiation 296
that any amount of research 45
that any amount of suffering 225
that any animal is capable 126
that any attack on western 98
that any branch of science 90
that any chance of success 109
that any changes in behavior 45
that any course of conduct 136
that any degree of freedom 93
that any degree of natural 76
that any degree of success 161
that any degree of violence 52
that any drinking of alcohol 40
that any effort to achieve 119
that any effort to address 42
that any effort to control 82
that any effort to convert 49
that any effort to develop 131
that any effort to discuss 41
that any effort to enforce 76
that any effort to exclude 53
that any effort to explain 83
that any effort to improve 273
that any effort to increase 240
that any effort to prevent 95
that any effort to promote 82
that any effort to protect 41
that any effort to provide 86
that any effort to replace 55
that any effort to restore 56
that any errors of omission 58
that any excess of revenue 41
that any factor or factors 41
that any matter in dispute 74
that any matter in relation 59
that any measure of success 127
that any member of congress 651
that any member of society 146
that any member or members 129
that any number of couples 45
that any number of factors 392
that any number of members 161
that any number of objects 59
that any number of persons 935
that any number of sections 95
that any number of similar 70
that any number of vessels 268
that any number of writers 50
that any object is capable 45
that any parent or guardian 94
that any person in respect 54
that any person is capable 90
that any person is observing 48
that any person is subject 158
that any person is suffering 146
that any person of average 177
that any person or company 390
that any person or concern 106
that any person or persons 8979
that any person so attends 57
that any person so offending 100
that any portion of mankind 85
that any profit or payment 50
that any public or private 169
that any resort to violence 52
that any rulers in history 101
that any source of comfort 47
that any strike is illegal 63
that any system of control 89
that any system of general 40
that any system of justice 47
that any system of national 40
that any system of religion 338
that any system of taxation 148
that any thought of charity 52
that are absent or present 91
that are active in certain 43
that are active in producing 75
that are active in promoting 73
that are active in protein 86
that are active in providing 49
that are active in several 42
that are active or passive 41
that are almost the reverse 48
that are already in digital 42
that are already in process 87
that are already in service 70
that are already in trouble 83
that are already the subject 393
that are always in process 65
that are amongst the highest 41
that are aptest to putrefy 41
that are becoming so popular 93
that are before the country 85
that are beyond my control 738
that are beyond the ability 632
that are beyond the average 143
that are beyond the company 41
that are beyond the compass 63
that are beyond the control 4512
that are beyond the current 138
that are beyond the general 47
that are beyond the horizon 108
that are beyond the limited 48
that are beyond the manager 82
that are beyond the natural 109
that are beyond the patient 92
that are beyond the present 280
that are beyond the purview 506
that are beyond the student 41
that are beyond the visible 76
that are beyond the wildest 47
that are bigger or smaller 77
that are broken by divorce 40
that are broken or damaged 89
that are burned to produce 93
