tar and feather and drown 70
tat and fight for every 47
tax and spend and spend 110
tax and state and local 245
tax and state death taxes 76
tax for state and local 169
tax for state death taxes 198
tear and smote her bosom 76
tear its flesh and drink 78
ten low words oft creep 2123
than all greek and roman 103
than all latin and greek 105
than all state and local 100
than all which this world 113
than any flesh and blood 201
than any force that could 80
than any hairy old camel 44
than any human being alive 256
than any human being could 882
than any human being ought 46
than any human being would 60
than any human eye could 57
than any human wit could 55
than any others for which 181
than any others that could 211
than any others that might 122
than any others with which 369
than any sober man could 55
than any which are found 53
than any which are known 61
than any which art could 54
than any which can arise 61
than any which had since 239
than any which had taken 188
than any which has since 101
than any which has taken 80
than any which man could 42
than any which now exist 317
than any which she could 51
than any which they could 218
than any which they would 74
than any which this world 180
than any which yet exist 45
than any which you could 53
than any white man could 149
than any words she could 278
than any words she might 106
than any words that could 95
than any words they could 68
than any words you could 54
than are girls and women 73
than are hunger and thirst 84
than are people with lower 49
than are state and local 96
than asia minor and libya 52
than both black and white 66
than does black and white 45
than for anything that could 71
than for black and white 247
than for girls and women 51
than for months and months 50
than for state and local 126
than her aches and pains 53
than her father and mother 672
than her flesh and blood 40
than her grace and beauty 45
than her mother and father 162
than his board and lodging 169
than his brush can place 47
than his deeds and truer 99
than his father and mother 1181
than his father and uncle 71
than his father had dared 57
than his father had earned 80
than his father had known 61
than his father had shown 75
than his father had taken 80
than his flesh and blood 120
than his frame now leaned 55
than his guilt may appear 49
than his money for goods 157
than his mother and father 431
than his place was taken 45
than his taste for study 41
than its author was aware 40
than its hills and vales 110
than one brood per season 64
than one child per woman 68
than one could say about 45
than one event can occur 116
than one event may occur 83
than one every two months 47
than one every two weeks 42
than one father and mother 59
than one human being could 62
than one mother and father 43
than one owner can elect 86
than one penny per pound 104
than one pound for every 64
than one reason for keeping 49
than one reason for thinking 69
than one reason for wanting 94
than one reason for wishing 74
than one reason was given 375
than one stream that opens 67
than one study has found 49
than one study has shown 129
than one which has never 103
than one which was based 47
than one woman who would 83
than our hearts and knows 138
than our lands and goods 46
than our minds can grasp 73
than peas mixed with diced 67
than real flesh and blood 154
than say anything that might 83
than she could bear alone 57
than she could say about 165
than she hates her mother 81
than she hoped they would 134
than she loved her mother 69
than six cents per pound 69
than six hours per night 75
than six lines per slide 41
than six months and shall 104
than six months and which 75
than six months are taxed 67
than six months but which 726
than six months six months 53
than ten cents for every 44
than ten cents per pound 102
than ten times its value 114
than ten times that which 44
than that every man shall 131
than that every man would 75
than that every one might 41
than that found for either 47
than that loose one which 56
than that older one which 46
than that period did appear 48
than that which can exist 83
than that which can occur 62
than that which had faced 148
than that which had first 313
than that which had found 51
than that which had given 101
than that which had grown 67
than that which had moved 40
than that which had raged 119
than that which had really 52
than that which had taken 439
than that which has bowed 64
than that which has given 164
than that which has grown 188
than that which has never 92
than that which has often 51
than that which has since 87
than that which has slain 74
than that which has taken 773
than that which her words 62
than that which his enemy 77
than that which his father 795
than that which his mother 94
than that which its author 57
than that which lay within 77
than that which may arise 98
than that which may belong 40
than that which may exist 56
than that which may occur 97
than that which now jolts 146
than that which one finds 255
than that which one might 130
than that which one would 199
than that which our author 47
than that which she could 106
than that which she might 66
than that which she would 190
than that which sir thomas 140
than that which then ruled 112
than that which they appear 44
than that which they apply 123
than that which they carry 42
than that which they chose 61
than that which they could 521
than that which they enjoy 168
than that which they found 169
than that which they hoped 65
than that which they might 334
than that which they offer 45
than that which they really 176
than that which they shall 45
than that which they would 1125
than that which was about 121
than that which was based 65
than that which was built 40
than that which was drawn 113
than that which was first 477
than that which was found 457
than that which was given 1396
than that which was known 417
than that which was later 87
than that which was never 40
than that which was really 56
than that which was shown 212
than that which was spent 76
than that which was sworn 61
than that which was taken 226
than that which was under 56
than that which was usual 89
than that which was within 58
than that which you could 63
than that which you enjoy 46
than that which you might 75
than that which you would 217
than they could and would 46
than they could earn working 43
than they could get others 40
than they could get under 89
than they could see within 60
than they hated and feared 41
than they stood for sharp 40
than they would get under 128
than they would pay under 119
than this could bring about 44
than this court has given 121
than this title and title 65
than this world can offer 90
than two births per woman 82
than two cents per pound 203
than two hours and forty 60
than two hours and thirty 54
than two hours per night 50
than two hours she would 74
than two hours that night 45
than two hours they stood 41
than two hours they would 47
than two months now since 51
than two months she would 63
than two short can never 41
than two times per night 53
than two weeks now since 47
than two weeks she would 48
than using either one alone 70
than war broke out again 89
than with anything that could 49
than with anything that might 53
than with black and white 129
than with either one alone 94
than with flesh and blood 80
than you could say about 108
that act shall not apply 672
that age could not wither 210
that age which they would 57
that aid which that state 102
that air alone may swarm 41
that air could not enter 85
that all about him loved 46
that all acids and bases 56
that all angles are small 41
that all athens was sorry 105
that all atoms are built 148
that all beasts and birds 123
that all beauty and power 114
that all bills for labor 70
that all bills for raising 1558
that all bolts are tight 65
that all bowed with grave 92
that all costs are either 112
that all costs are fixed 69
that all could and would 44
that all crows are black 1646
that all ethnic and racial 57
that all facts are facts 48
that all faiths are equal 43
that all firms are alike 141
that all firms are price 101
that all flesh was grass 120
that all gifts are given 51
that all girls and women 152
that all glory and honor 101
that all goods and truths 128
that all goods are gross 91
that all greek and roman 81
that all honor and glory 64
that all human and social 82
that all italy was thrown 56
that all labor and value 86
that all learning and teaching 43
that all lines are drawn 47
that all lives are equal 55
that all longed for night 186
that all major and minor 121
that all minds are alike 82
that all minds are equal 45
that all moral and social 41
that all motion and change 64
that all names and forms 73
that all others are either 102
that all others are false 251
that all others are heathen 54
that all others are human 44
that all parts are easily 68
that all parts are working 63
that all people are alike 915
that all people are aware 52
that all people are bound 49
that all people are either 214
that all people are equal 3044
that all people are given 81
that all people are human 264
that all people are really 84
that all people are saved 74
that all people are under 47
that all people are worthy 106
that all people can enjoy 48
that all people can share 69
that all people had equal 47
that all people may enjoy 67
that all people who belong 43
that all people who drink 44
that all people who lived 43
that all people who shall 69
that all people who write 55
that all poetry and music 61
that all poles and zeros 65
that all power was given 812
that all races are alike 43
that all races are equal 421
that all racial and ethnic 359
that all rates and fares 109
that all rates and taxes 66
that all readings are taken 48
that all right and title 83
that all rocks and soils 67
that all sales are final 158
that all sheep are white 63
that all ships and goods 46
that all sides and angles 115
that all sides are equal 151
that all social and moral 60
that all souls are alike 144
that all souls are equal 307
that all staff are aware 498
that all staff are fully 60
that all stars are white 53
that all state and local 482
that all steps are taken 111
