table two 41 taken rob 42
taken his 44 taken our 49
taken this 70 taken all 54
taken both 40 taken his 52
taken his 47 taken this 152
taken this 124 takes all 82
takes one 60 takes this 311
talking was 145 tasks job 106
taste them 87 taxes sum 123
teaching that 50 teaching read 106
teaching read 44 teaching say 51
teaching new 43 teaching read 44
thereof its 148 thinking but 45
thinking law 151 thinking was 96
thinking all 49 thirty new 159
thirty san 56 though them 68
though this 98 though her 173
though her 42 though his 107
though its 44 though bear 48
though real 42 though his 42
though deal 45 though with 128
though all 260 though its 64
though that 47 though her 55
though bed 58 though his 73
though his 46 though death 144
though has 68 though was 101
thriving that 67 throwing had 72
thrown his 64 thrown our 42
tides that 41 times its 54
times them 54 times death 146
times war 113 times war 40
times all 119 total all 46
total all 44 total each 75
total all 48 total all 60
total each 66 total all 108
total each 60 total all 53
total each 129 towns them 105
trace its 116 train long 53
trials this 102 trust any 54
trust this 46 tubes his 46
tubes each 48 turning and 141
