taken and 42 taken with 47
taste each 194 taste that 58
taxes them 100 terms his 48
thinking any 43 thinking that 70
though than 41 though old 101
though him 45 though had 108
though owing 44 though one 40
though was 56 though them 53
though not 45 though you 117
though was 48 though with 50
though not 84 though not 96
though each 421 though his 107
though one 133 though our 251
though that 319 though them 57
though was 42 though not 70
though now 257 tidings they 53
times than 41 times them 47
times men 64 times not 55
times our 57 times that 51
times not 137 today you 47
tolls was 47 tools this 52
towns than 54 trace for 54
trade than 44 treaty out 43
trees and 255 tress her 72
