tax and other economic policies 55
than all other agencies combined 1022
than all other airlines combined 92
than all other christian churches 53
than all other elements combined 69
than all other materials combined 55
than all other problems combined 43
than all other questions combined 70
than all other remedies combined 80
than all other subjects combined 67
than all their laborious frictions 71
than any other american aircraft 60
than any other american composer 129
than any other american director 90
than any other american educator 54
than any other american historian 77
than any other american industry 130
than any other american magazine 80
than any other american novelist 245
than any other american railroad 66
than any other american regiment 106
than any other american religious 49
than any other american sculptor 61
than any other business activity 46
than any other consumer products 53
than any other cultural activity 60
than any other cultural practice 49
than any other economic activity 463
than any other financial services 55
than any other literary monument 48
than any other military operation 41
than any other ordinary business 43
than any other personal computer 95
than any other physical activity 49
than any other physical property 65
than any other physical quantity 41
than any other possible situation 47
than any other religious movement 107
than any other religious tradition 149
than any other treatment modality 49
than any other victorian novelist 72
than far more laborious imitation 50
than for like domestic products 72
than for mere personal monetary 146
than had been believed possible 185
than had been commonly believed 46
than had been commonly supposed 223
than had been formerly believed 53
than had been formerly supposed 74
than had been grudgingly accorded 46
than had been imagined possible 45
than had been initially expected 77
than had been supposed possible 126
than has been commonly accepted 81
than has been commonly assigned 56
than has been commonly believed 214
than has been commonly imagined 171
than has been commonly supposed 2866
than has been formerly supposed 59
than she ever believed possible 40
than she ever imagined possible 83
than that those palpable blunders 63
than they ever believed possible 88
than they ever imagined possible 131
than they have commonly received 59
than they were formerly believed 43
than they were formerly supposed 144
than they were strictly entitled 100
than this same harmless hawthorne 114
than was ever believed possible 50
than was once believed possible 56
than with what actually happened 40
than you ever believed possible 203
than you ever imagined possible 573
than you will probably conceive 54
that all other economic variables 94
that all other relevant variables 55
that all their physical energies 41
that all these agencies combined 47
that all these definite networks 77
that all these injuries produced 77
that all these opposite pleasures 46
that all these unlawful projects 55
that all those enormous violations 66
that all true grandeur proceeds 45
that all were perjured villains 54
that any such expanded liability 40
that are great exercise authority 1543
that are less directly relevant 41
that are more commonly employed 48
that are more directly involved 157
that are more directly relevant 263
that are more severely affected 54
that are more urgently required 48
that are most actively involved 57
that are most commonly accepted 56
that are most commonly affected 166
that are most commonly employed 280
that are most commonly involved 142
that are most commonly mentioned 46
that are most commonly observed 187
that are most commonly referred 87
that are most commonly reported 63
that are most commonly utilized 54
that are most directly affected 194
that are most directly involved 415
that are most directly relevant 284
that are most seriously affected 102
that are most severely affected 200
that are most urgently required 55
that are only partially complete 88
that are only partially miscible 63
that are only partially resolved 50
that are only slightly affected 125
that are only slightly modified 147
that are three standard deviations 68
that can give sweetest pleasures 140
that each such situated positioning 94
that for most engineering purposes 110
that for some positive constant 215
that for these purposes recourse 78
that had been actively involved 79
that had been advanced concerning 85
that had been declared bankrupt 41
that had been directly affected 104
