take after their fathers in 72
take human life except in 56
take money from anyone by 67
take notes fast enough to 52
take place also through the 46
take place among groups of 74
take place among nations of 145
take place deep inside the 41
take place during periods of 971
take place early enough in 57
take place early enough to 86
take place even before the 1047
take place even without the 527
take place fast enough to 213
take place from moment to 64
take place from monday to 99
take place from regions of 54
take place just before or 133
take place just before the 2137
take place more freely in 49
take place more readily at 85
take place more readily if 70
take place more readily in 748
take place more readily the 42
take place more slowly at 43
take place more slowly in 171
take place most readily at 62
take place most readily in 190
take place much before the 72
take place much earlier in 100
take place only before the 181
take place only inside the 101
take place only through an 196
take place only through the 3734
take place over periods of 265
take place soon enough to 65
take place there before the 45
take place there instead of 40
take place there should be 75
take place till philip ii 47
take place upon expiry of 97
take place very readily in 51
take place very slowly at 58
take place very slowly in 154
take place very slowly or 66
take place well before the 534
take place when neither the 41
take place when oxygen is 55
take place when someone is 44
take place will depend on 545
take place will result in 41
take place years before the 43
take shape even before the 137
take shape well before he 54
take short cuts across the 93
take short cuts through the 157
take under their convoy the 46
taking place during periods of 67
taking place even before the 343
taking place from moment to 95
taking place just across the 68
taking place just before the 573
taking place just beyond the 59
taking place more slowly in 49
taking place only through the 60
taking place over periods of 64
taking place very slowly in 49
taking place well before the 74
taking place will result in 40
taking shape even before the 42
taking short cuts across the 204
taking short cuts through the 203
talk about nothing except the 95
talk about past events in 98
talk about pearl harbor to 170
talk about some aspect of 512
talk about such issues as 287
talk about such topics as 290
talk about their bodies in 108
talk about their desire to 299
talk about their feelings as 300
talk about their feelings if 84
talk about their feelings in 498
talk about their feelings is 43
talk about their feelings of 968
talk about their feelings or 211
talk about their feelings to 240
talk about their reaction to 43
talk about these feelings in 53
talk about these issues as 128
talk about these issues in 700
talk about these topics in 126
talk about those habits of 69
talk about what caused the 42
talk about what needed to 162
talk about what seemed to 41
talk about what should be 1100
talk about your desire to 50
talk about your family or 49
talk about your feelings in 218
talk about your feelings of 75
talk about your feelings or 66
talk about your feelings to 225
talk about your sister to 52
tall pines bend before the 43
tall ships from around the 62
task still lies before us 53
task which lies before it 63
task which lies before me 225
task which lies before the 361
task which lies before us 659
task which lies beyond the 86
task which will demand the 45
task which will occupy the 54
task which will occupy us 41
task would have fallen to 63
task would have seemed to 68
teach basic reading skills to 63
tears burst forth afresh at 129
tears could have washed it 88
teasing lilting ones before it 81
teeth which were judged to 102
tell right away whether the 54
tell which late befell in 90
term loans were called in 81
term often used instead of 209
term which also refers to 81
term whose full import we 74
test tubes were placed in 189
test which asks whether the 42
test which will enable us 103
test would most likely be 60
text flows from column to 45
text which lies behind the 88
their ashes were buried in 49
their ashes were placed in 47
their backs along through the 82
their backs were afraid of 71
their backs were toward me 59
their backs were toward the 86
their backs were turned as 40
their backs were turned he 57
their backs were turned on 43
their backs were turned the 100
their backs were turned to 586
their banks were forced to 50
their bases were hidden by 46
their beauty fell crashing by 45
their birch canoe through the 64
their blood their belief of 153
their boats were dashed to 89
their bones were bleaching on 42
their books were burned by 82
their canoes were ground to 66
their cases came before the 62
their cases come before the 45
their cases heard before the 45
their cause must awaken in 60
their child well enough to 40
their crags were dipped in 84
their crews were forced to 56
their crews were picked up 44
their cries have reached the 119
their crops were ruined by 54
their daily bread through the 59
their daily food intake by 57
their daily life should be 60
their daily walk around the 40
their daily walk through the 76
their dealings were winked at 49
their delay from minute to 79
their doors more widely to 68
their doors were closed to 54
their doors were opened to 84
their ducts pass through the 45
their evading their duties to 40
their every move through the 40
their faces half hidden by 63
their faces half hidden in 61
their faces were almost on 86
their faces were buried in 44
their faces were enough to 54
their faces were hidden by 152
their faces were images of 58
their faces were toward the 70
their faces were turned in 44
their faces were turned the 78
their faces were turned to 255
their faces were wreathed in 107
their falling into disuse is 88
their final form before the 71
their final form through the 41
their final healing without the 63
their fingers coming toward me 81
their fingers fall athwart my 137
their first care should be 136
their first duty should be 87
their first great effort to 43
their first jobs through the 72
their first pass through the 262
their first rude notions of 155
their first shot struck us 85
their first step should be 201
their first step toward the 141
their first task should be 70
their first time through the 56
their first trip across the 115
their first trip around the 64
their first trip through the 103
their first vote merely to 52
their first walk through the 50
their first work should be 65
their fixed gleam seemed to 47
their flock from straying in 246
their fresh young voices in 58
their goods from market to 43
their goods were forced to 52
their goods were seized by 50
their grading into castes or 47
their grand best clothes at 40
their guard were already on 51
their hands full fighting the 62
their hands some tokens of 112
their hands their chance of 67
their hands well enough to 49
their hands were forced by 310
their hands were joined as 138
their hands were joined in 143
their hands were placed in 53
their hands were placed on 54
their hands were raised to 51
their hands were united by 54
their hearts warm toward the 42
their hearts were broken at 42
their hearts were filled to 44
their hearts were lifted up 219
their hearts were opened by 57
their hearts were opened to 151
their hearts were turned on 49
their hearts were turned to 93
their hearts were united in 58
their hearts were warmed by 62
their homes during periods of 52
their homes were broken up 110
their homes were burned to 49
their homes were forced to 84
their hopes were buried in 81
their hopes were dashed as 106
their hopes were dashed by 264
their hopes were dashed to 205
their hopes were doomed to 301
their hopes were pinned on 154
their hopes were raised by 142
their ideals were shaped by 44
their lands were seized by 101
their lands were treated as 89
their laugh came through the 60
their leader just before he 51
their leaves during periods of 40
their leaves just stirring in 45
their lines have fallen in 116
their lives been engaged in 48
their lives from cradle to 79
their lives from moment to 45
their lives have become so 50
their lives have changed as 140
their lives have changed in 72
their lives took refuge in 55
their lives were always in 78
their lives were changed by 189
their lives were devoid of 47
their lives were forced to 62
their lives were guided by 69
their lives were likely to 148
their lives were marked by 174
their lives were passed in 231
their lives were placed in 71
their lives were ruined by 53
their lives were shaped by 240
their lives were spared at 47
their lives were spared by 178
their lives were spared in 76
their lives were spared on 96
their lives were thought to 41
their lives will always be 100
their lives will depend on 56
their lives will surely be 83
their lords were engaged in 47
their loved ones across the 55
their loved ones before the 44
their loved ones buried in 42
their loved ones killed by 48
their loved ones should be 60
their loved ones through the 104
their march from antioch to 90
their meeting upon sunday or 58
their minds even before the 47
their minds from dwelling on 129
their minds more freely to 47
their minds those scenes of 45
their minds were already on 41
their minds were closed to 131
their minds were engaged the 73
their minds were formed or 41
their minds were formed to 62
their minds were intent on 102
their minds were opened to 279
their minds were raised by 44
their minds were turned to 74
their minds what course to 54
their minds what should be 65
their money back before the 79
their moral life should be 41
their morning walk around the 49
their mouths half opened in 46
their mouths wide enough to 206
their nails grow through the 86
their names from places in 66
their names were always on 43
their names were called by 166
their names were called in 81
their names were called or 112
their names were called the 67
their names were called to 60
their names were carved on 123
their names were changed to 354
their names were linked in 60
their names were listed as 50
their names were listed in 151
their names were listed on 58
their names were passed on 138
their names were placed in 104
their names were placed on 321
their names were signed to 48
their names were strange to 41
their names will always be 181
their necks have shrunk up 45
their needs well enough to 41
their nerve cell bodies in 64
their notes were poured in 47
their order will result in 77
their pants legs rolled up 102
their parts well enough to 41
their parts were played by 77
their peers from around the 51
their people well enough to 43
their people were afraid of 50
their people were caused by 43
their people were forced to 54
their people were killed by 75
their place there should be 88
their plans were foiled by 64
their posts were filled by 65
their power felt through the 45
their power only through the 55
their quiet eyes around the 136
their ranks been thinned by 45
their ranks much thinned by 49
their ranks were broken by 159
their ranks were chosen the 50
their ranks were filled by 129
their ranks were joined by 178
their ranks were thinned by 411
their rapid ride through the 77
their right arms raised in 89
their right mind wanted to 156
their roads were likely to 61
their rocks into scenes of 187
their roots deep enough to 46
their roots down through the 89
their roots have access to 48
their roots were always in 61
their shape from moment to 59
their ships were driven on 42
their ships were seized by 63
their ships were unable to 43
their sight those traces of 45
their skins will afford us 43
their social life around the 89
their social life without the 317
their souls were doomed to 52
their souls will ascend to 54
their souls will strive on 86
their spies early enough to 101
their steel caps glancing in 57
their steps back through the 98
their steps back toward the 86
their steps were dogged by 56
their taste will expect to 56
their taxes high enough to 46
their tents here before me 114
their terms were agreed to 56
their total body weight in 63
their total body weight is 42
their trade will amount to 65
their train halt before the 57
their trees flat masses of 56
their usual seats around the 52
their value lies mainly in 71
