tack and save several of 42
tact and good manners in 43
tags are very similar to 56
tail and nothing happens at 40
tail had been stepped on 154
tail has been stepped on 157
tail has been trodden on 102
take age into account in 88
take all such measures as 3417
take all these aspects of 48
take and dash against the 44
take and give account of 50
take and keep control of 328
take any fair occasion to 90
take any great account of 40
take any great delight in 85
take any great insight to 43
take any great pleasure in 162
take any great stretch of 41
take any more chances in 54
take any more chances of 76
take any more chances on 163
take any more courses in 42
take any more pleasure in 45
take any more trouble in 46
take any more trouble to 67
take any other measures to 139
take any other position is 55
take any part against the 112
take any step against the 167
take any step hostile to 45
take any step towards the 188
take any such chances as 58
take both into account in 125
take each great division of 77
take far more account of 76
take far more pleasure in 88
take for their subject the 277
take god into account in 53
take her five minutes to 116
take her from country to 61
take her home because of 43
take her into custody in 44
take her many minutes to 47
take her part against me 172
take her part against the 153
take her side against me 62
take her side against the 82
take her unto himself as 122
take him away because he 90
take him back because he 92
take him five minutes to 200
take him home because he 100
take him into account in 69
take him into custody as 478
take him into custody at 76
take him into custody if 62
take him into custody in 103
take him into custody on 120
take him into custody or 530
take him into custody to 50
take him many minutes to 75
take him three minutes to 84
take his life because he 166
take his life because of 97
take his part against me 224
take his part against the 365
take his side against me 92
take his side against the 241
take his time because he 41
take his trial according to 94
take his very removal to 40
take his word against the 52
take its part against the 45
take off their sandals in 43
take one last glimpse of 59
take one more example in 58
take one more example of 727
take one more example to 86
take one side against the 50
take one step forward as 133
take one step forward in 219
take one step forward on 90
take one step forward or 59
take one step forward to 123
take one step outside the 84
take one step towards the 227
take our love together to 83
take out five dollars to 74
take out such letters or 105
take out their vengeance on 51
take out your pleasure of 66
take that into account as 652
take that into account at 48
take that into account by 73
take that into account if 106
take that into account in 1301
take that into account is 41
take that risk because of 41
take them five minutes to 111
take them into account as 1736
take them into account at 284
take them into account by 213
take them into account if 316
take them into account in 5876
take them into account is 214
take them into account on 94
take them into account or 122
take them into account so 164
take them into account to 157
take them into account we 41
take them into custody if 43
take them into service in 79
take them many minutes to 56
take them some minutes to 50
take them there subject to 89
take them will improve in 43
take this case outside the 56
take this drug exactly as 202
take this early occasion to 42
take this into account as 1506
take this into account at 241
take this into account by 1470
take this into account if 393
take this into account in 12149
take this into account is 1165
take this into account it 101
take this into account or 99
take this into account so 177
take this into account the 177
take this into account to 231
take this into account we 304
take this risk because of 47
take this step because he 119
take this step because it 115
take this step because of 295
take this step because the 124
take this view because of 59
take this view because the 46
take too many chances in 60
take too many chances on 51
take too much account of 240
take too much comfort in 181
take too much control of 68
take too much delight in 207
take too much liberty in 118
take too much pleasure in 394
take too much trouble in 108
take too much trouble to 224
take you five minutes to 290
take you into custody as 127
take you into custody on 145
take you only seconds to 41
taking all such measures as 59
taking all their opinions on 136
taking and other aspects of 47
taking any more chances of 52
taking any more chances on 144
taking any other decision on 65
taking any poor debtors of 51
taking any step towards the 169
taking far more pleasure in 100
taking her more closely in 41
taking her side against me 48
taking him into custody is 48
taking his hand pressed it 55
taking his leave forever of 108
taking his life because he 60
taking his part against the 80
taking his side against me 46
taking his time because he 111
taking out such portions of 47
taking that into account in 41
taking them into account as 178
taking them into account at 59
taking them into account in 754
taking them into account is 114
taking this drug because it 77
taking this drug because of 47
taking this into account in 309
taking this into account is 252
taking this into account it 76
taking this into account the 193
taking this into account we 86
taking this step because of 56
taking too much account of 138
taking too much control of 60
taking too much delight in 43
taking too much insulin or 59
taking too much pleasure in 178
taking too much trouble in 85
taking too much trouble to 126
taking you into custody on 40
tale has been brought to 41
tale has been founded on 78
tale has been repeated in 63
tale was true history to 72
tale was very shortly to 51
talk and tell stories to 41
talk and work together as 117
talk and work together in 84
talk and work together on 51
talk and work together to 42
talk any more because if 120
talk for five minutes on 155
talk for five minutes or 127
talk for five minutes to 129
talk her into returning to 97
talk him into accepting the 80
talk him into returning to 97
talk was like listening to 145
talk with other members of 459
talk with other parents in 50
talk with other parents of 165
talk with other teachers to 40
talk with some friends of 50
talk with some members of 190
talk with their friends in 115
talk with their friends on 46
talk with their friends or 87
talk with their parents or 170
talk with your friends or 112
talk with your parents or 183
talk with your partner or 43
tall and dark against the 291
