tail stiffened to twitch up 63
take advantage of access to 655
take advantage of another by 48
take advantage of another in 113
take advantage of another of 43
take advantage of anyone or 45
take advantage of changes in 3924
take advantage of errors in 42
take advantage of events as 193
take advantage of events in 87
take advantage of events to 69
take advantage of existing or 77
take advantage of mutiny of 44
take advantage of offers of 106
take advantage of openings in 114
take advantage of periods of 322
take advantage of prices in 41
take advantage of shifts in 193
take advantage of someone in 86
take advantage of trends in 174
take initiative on behalf of 48
take patiently the spoiling of 72
take possession by virtue of 45
take possession of england in 49
take possession of itself as 96
take possession of turkey in 52
take possession on behalf of 456
take proceedings on behalf of 127
take testimony in regard to 51
taking advantage of access to 239
taking advantage of changes in 288
taking advantage of openings in 45
taking advantage of periods of 79
taking advantage of someone in 115
taking colonists to england to 46
taking possession of cargoes of 58
taking possession of itself as 50
taking possession of something to 45
taking precisely the course he 64
talk contrived to detain the 74
tame submission to insult or 62
tape recorders to record the 257
task considering the number of 82
teach posterity the measure of 67
tearing themselves to pieces in 54
tears commended the spirit of 91
tend exceedingly to quench the 55
tend increasingly to become the 94
tend materially to affect the 40
tend materially to injure the 82
tend materially to lessen the 64
tend materially to reduce the 61
tend naturally to render the 118
tenth centuries the number of 44
term connected to another by 75
term contracts to supply the 47
term describes the amount of 87
term describes the coupling of 46
term describes the effect of 259
term describes the number of 85
term exposures to copper on 55
term expresses the effect of 220
term expression of factor ix 110
term indicates the amount of 71
term indicates the effect of 70
term indicates the number of 110
term insurance in excess of 81
term objective of reducing the 122
term responses to changes in 140
term specifies the number of 64
term stability of scores on 52
term stability of slopes in 51
test available to detect the 49
test chemicals as agents of 93
test consisted of measuring the 66
test equipment to measure the 47
test indicates the amount of 124
test indicates the degree of 88
test indicates the extent to 79
test procedure is called the 41
test procedure to measure the 44
test statistic is called the 49
test statistic is simply the 145
test statistic the number of 52
test substance is placed in 95
text describes in detail the 102
text discusses in detail the 43
thank especially the staffs of 54
their abilities on behalf of 43
their abilities to adjust to 77
their abilities to affect the 56
their abilities to handle the 140
their abilities to manage the 134
their abilities to master the 60
their abilities to relate to 147
their abjuration by marrying the 46
their adaptation to changes in 72
their advantage in advising the 54
their advantage to accept the 74
their advantage to follow the 75
their advantage to invest in 51
their advantage to permit the 41
their advantage to reduce the 43
their advocates in courts of 78
their agreement in regard to 86
their agreement to accept the 136
their agreement to divide the 57
their agreement to submit to 94
their allegiance to christ as 123
their allegiance to france on 74
their allegiance to hitler or 41
their allegiance to philip ii 246
their allegiance to return to 41
their ammunition as freely as 83
their ancestors in regard to 62
their appearance at almost the 45
their appearance in answer to 48
their appearance in england in 144
their appearance in europe at 87
their appearance in europe in 116
their appearance in public in 45
their appearance is enough to 52
their appearance is likely to 58
their appearance is linked to 52
their appearance is marked by 102
their appearance to answer the 68
their arguments by appealing to 77
their arguments by pointing to 78
their arguments in behalf of 107
their arguments in regard to 47
their arguments on behalf of 254
their assertions in regard to 41
their assumption of office in 52
their attitudes in regard to 114
their awareness of belonging to 160
their awareness of changes in 42
their campaigns on behalf of 100
their character is likely to 63
their colleagues in charge of 83
their colleagues to accept the 47
their colleagues to oppose the 40
their colleagues to reject the 46
their collection of essays on 163
their community of origin in 124
their community of origin to 46
their companies to invest in 59
their complexion to drudge in 44
their computers to access the 63
their conception of christ as 106
their conception of nature as 42
their conception of reality as 117
their conception of reality is 55
their conclusion of guilty or 45
their constancy in adhering to 40
their contracts is proved by 124
their contumacy in refusing to 47
their conversion to belief in 68
their correction of abuses as 40
their countries by trusting to 59
their countries of origin as 1106
their countries of origin at 145
their countries of origin by 202
their countries of origin if 83
their countries of origin in 749
their countries of origin is 270
their countries of origin of 71
their countries of origin on 106
their countries of origin or 1055
their countries of origin the 87
their countries of origin to 857
their countries on behalf of 43
their countries or regions of 59
their cowardice by defaming the 54
their creditors by debasing the 90
their credulity to forbear it 106
their customers in excess of 44
their customers to switch to 47
their daughters as brides to 54
their daughters at auction to 43
their daughters to accept the 44
their daughters to attend the 135
their daughters to become the 73
their daughters to europe to 45
their daughters to follow in 54
their daughters to follow the 57
their daughters to remain at 43
their daughters to remain in 120
their daughters to school as 57
their daughters to school at 42
their daughters to school if 45
their daughters to school in 120
their daughters to school to 57
their delegates to ratify the 327
their depravity is greater or 69
their dexterity in managing the 95
their disciples the belief in 58
their discourse in sounding the 76
their discourse to mention the 57
their discovery by galileo in 46
their discretion in applying the 57
their discretion in refusing to 66
