the t square and triangle 382
the x values and divide 48
the y before any suffix 52
thing a fitful and garish 120
thing a little too absurd 48
thing i needed was another 507
thing i needed was someone 71
thing i wanted was another 171
thing i wanted was someone 40
to a bakery and bought 66
to a barber and scrape 44
to a belief that christ 45
to a belief that nature 58
to a belief that something 93
to a better and better 513
to a better and clearer 92
to a better and deeper 484
to a better and fairer 141
to a better and fuller 267
to a better and greater 59
to a better and higher 965
to a better and holier 70
to a better and juster 50
to a better and larger 56
to a better and nobler 185
to a better and richer 119
to a bigger and better 1576
to a bigger and bigger 74
to a bloody and brutal 73
to a bloody and savage 43
to a branch that opened 41
to a breezy day without 51
to a bright new future 421
to a brother and sister 1295
to a building that housed 110
to a building that houses 120
to a building that looked 240
to a building that seemed 48
to a candid and modest 55
to a canine car safety 42
to a carver and gilder 291
to a chaste and honest 43
to a church and attend 51
to a church and school 97
to a church for refuge 69
to a church that teaches 51
to a circle with center 132
to a circle with radius 371
to a clearer and better 135
to a clearer and clearer 110
to a clearer and deeper 101
to a clearer and fuller 141
to a clearer and keener 42
to a clever and lively 63
to a client for injury 64
to a client who wanted 54
to a client who wishes 73
to a clinic for mental 44
to a clinic for therapy 52
to a closed head injury 105
to a closer and closer 473
to a closet and opened 86
to a closet and pulled 165
to a coarse and rugged 49
to a colony than troops 45
to a combat with swords 48
to a common and shared 62
to a common law remedy 102
to a common law system 80
to a cooler and wetter 113
to a corner and looked 68
to a corner and picked 55
to a corner and pulled 74
to a corner and slowly 74
to a corner and talked 65
to a corner and turned 96
to a corner and waited 69
to a corner that looked 51
to a couple who wanted 51
to a crawling peg regime 44
to a crawling peg system 55
to a crouch and looked 61
to a crushing and grinding 78
to a decent and safely 55
to a deeper and better 209
to a deeper and clearer 122
to a deeper and deeper 868
to a deeper and fuller 216
to a deeper and higher 51
to a deeper and nobler 47
to a deeper and richer 368
to a degree and extent 198
to a degree but little 119
to a degree far beyond 2979
to a degree far greater 1908
to a degree far higher 59
to a degree not always 338
to a degree not before 275
to a degree not common 231
to a degree not dreamed 228
to a degree not reached 177
to a degree not readily 56
to a degree not shared 85
to a degree not thought 63
to a degree now almost 61
to a degree now clearly 40
to a degree now hardly 57
to a degree that admits 70
to a degree that allows 550
to a degree that almost 870
to a degree that amazed 262
to a degree that amazes 54
to a degree that appears 177
to a degree that became 192
to a degree that called 50
to a degree that caused 333
to a degree that causes 391
to a degree that creates 56
to a degree that defies 173
to a degree that filled 60
to a degree that forces 101
to a degree that greatly 124
to a degree that hardly 107
to a degree that limits 145
to a degree that little 57
to a degree that merits 78
to a degree that modern 45
to a degree that neither 358
to a degree that nobody 53
to a degree that passes 99
to a degree that placed 106
to a degree that places 181
to a degree that proved 110
to a degree that proves 49
to a degree that raised 40
to a degree that raises 73
to a degree that rarely 42
to a degree that rivals 50
to a degree that roused 65
to a degree that seemed 598
to a degree that shocks 105
to a degree that should 329
to a degree that simply 41
to a degree that varied 126
to a degree that varies 418
to a demand and supply 47
to a demand for access 40
to a demand for another 76
to a demand for better 860
to a demand for changes 62
to a demand for further 450
to a demand for greater 1147
to a demand for higher 437
to a demand for larger 101
to a demand for public 205
to a demand for reform 325
to a demand for something 118
to a demand for special 79
to a demand for specie 76
to a demand for sterling 122
to a desire for another 49
to a desire for better 348
