tax to 150 team the 93
than to 44 than to 59
than to 50 than to 76
than in 272 than by 75
that to 41 that to 40
that of 43 that it 45
that the 54 that to 70
that to 43 that the 49
that in 50 that of 181
that to 125 that the 46
that the 58 that on 60
that to 44 that of 144
that by 85 that of 295
that to 170 that to 41
that by 53 that to 153
that to 542 that to 49
that to 51 that by 156
that on 270 that to 180
that in 216 that in 150
that to 40 that to 508
that to 50 that on 43
that the 48 that the 41
that to 87 that an 54
that of 55 that the 80
that to 63 that the 54
that to 48 that to 110
that of 47 that in 92
that on 91 that on 48
that be 77 that on 57
that to 42 that of 58
that to 317 that to 375
that by 108 that in 161
that to 164 that by 97
that of 54 that of 179
that of 731 that to 110
that as 109 that in 59
that to 79 that to 72
that is 53 that of 71
that is 68 that to 131
that of 156 that to 121
that to 56 that to 66
that the 59 that in 88
that on 52 that in 50
that is 63 that is 52
that thing 82 that to 120
that to 465 that to 369
that to 117 that of 2869
that by 67 that to 111
that to 630 that to 42
that in 150 that of 641
that to 85 that in 243
that to 78 that to 654
that of 103 that to 56
that the 91 that to 77
that to 133 that to 139
that to 68 that in 71
that the 53 that the 56
that to 60 that an 42
that of 42 that to 110
that of 44 that of 59
that as 124 that of 148
that in 64 that to 82
that to 59 that on 67
that so 56 that of 124
that of 44 that of 228
that to 40 that is 109
that of 47 that in 48
that is 53 that of 59
that the 50 that on 202
that to 44 that in 89
that to 112 that is 210
that to 198 that of 1180
that the 45 thee thy 86
them to 69 them in 58
then on 130 then to 74
then on 71 then on 63
then on 51 then to 81
then to 60 then to 70
then the 48 then to 57
then to 44 then in 114
they the 53 they the 143
they the 56 they to 99
they of 42 they to 50
they it 64 they the 42
they in 91 thin to 72
things to 68 this the 53
this in 49 this by 62
this to 156 this be 65
this by 40 this to 86
this to 237 this to 56
this by 114 this to 419
this at 67 this the 129
this in 45 this on 42
this on 299 this to 48
this on 737 this to 58
this to 42 this be 52
this to 41 this by 46
this to 56 this to 123
this to 81 this the 48
this it 106 this on 87
this to 68 this to 48
this to 48 this on 127
this to 63 this to 50
this on 187 this in 66
this to 80 this to 50
this to 77 this by 67
this in 160 this the 90
this on 61 this to 58
this to 71 this to 53
this to 194 this by 88
this to 69 this of 109
this be 52 this to 43
this by 153 this in 44
this to 281 this be 48
this in 87 this in 40
this to 107 this in 47
this in 44 this to 223
this in 73 this on 88
this to 49 this in 62
this in 57 this to 73
this the 110 this at 71
thus in 47 thus to 46
thus to 43 thus up 65
thus by 96 too to 68
too to 77 too to 45
too co 66 too to 193
too an 121 too to 60
too to 85 too the 62
too to 168 two in 73
two the 47 two an 230
two by 52 two in 40
two to 53 two is 109
two of 41 two by 134
two to 140 two to 46
two to 55 two by 50
two to 65 two to 349
two to 77 two the 119
two to 58 two of 79
two to 72 two the 104
two to 76 two to 51
two to 65 two to 219
two on 45 two to 43
