tax upon their capital stock 57
ten days have elapsed after 92
ten days have elapsed since 257
ten days having elapsed since 58
ten years have brought about 116
ten years have elapsed after 73
ten years have elapsed since 1999
ten years having elapsed since 120
ten years their fortune would 45
than even these figures would 42
than even your wolfish throat 46
than fill your present place 53
than from some missile weapon 83
than half their nominal value 101
than have been brought about 57
than have been written about 61
than have those horrors which 46
than nuns into convent gates 49
than pass these haunted walls 55
than self their country loved 411
than such single combats under 64
than their less creative peers 148
than their male counter parts 80
than their mere numbers might 47
than their mere numbers would 180
than their most sanguine hopes 114
than those from shallow water 54
than those great empires whose 80
than three years elapsed after 55
than what your worship gives 41
than when your honored father 40
that alan turing himself tried 60
that break down nucleic acids 90
that burn coal provide about 68
that came from foreign parts 94
that came into popular usage 54
that case great britain would 72
that case such peerage shall 49
that come from distant lands 171
that date from ancient times 105
that even among classes whose 62
that even their scruple about 56
that even these measures would 62
that even those species which 85
that even your company would 51
that ever poor harried devil 60
that ever were written about 56
that ever were written might 76
that faith must precede reason 75
that fell into british hands 177
that flow from marriage under 140
that from ever happening again 182
that from some unknown cause 363
that from their infancy women 68
that from their vantage point 210
that from these inferior types 61
that from these obscure hints 42
that from those diverse sense 85
that from very ancient times 611
that from your vantage point 86
that grew like clotted water 59
that have been adduced above 103
that have been adopted since 330
that have been adopted under 127
that have been adopted within 82
that have been altered since 117
that have been applied since 62
that have been applied under 43
that have been applied within 60
that have been bandied about 450
that have been briefly noted 42
that have been brought about 7576
that have been brought hither 47
that have been brought under 876
that have been brought within 143
that have been bruited about 41
that have been carried about 40
that have been crushed under 60
that have been current since 54
that have been debated since 90
that have been decided since 137
that have been decided under 150
that have been defined above 151
that have been defined within 158
that have been deleted since 48
that have been derived either 144
that have been devised since 90
that have been dormant since 87
that have been drowned after 46
that have been enacted since 342
that have been enacted under 58
that have been enacted within 112
that have been erected since 225
that have been erected within 81
that have been evident since 86
that have been familiar since 76
that have been founded since 96
that have been gathered about 120
that have been gathered since 51
that have been gathered under 55
that have been granted since 44
that have been granted under 77
that have been grouped under 351
that have been happening since 80
that have been happening within 467
that have been hatched since 41
that have been hitherto found 129
that have been hitherto given 90
that have been hitherto known 64
that have been hitherto taken 49
that have been humbled shall 88
that have been ignored until 40
that have been imposed since 82
that have been indexed under 57
that have been modeled after 66
that have been occurring since 260
that have been occurring within 130
that have been offered about 89
that have been offered since 139
that have been operating since 130
that have been operating under 46
that have been painted since 150
that have been painted white 75
that have been popular since 81
that have been present since 388
that have been printed about 185
that have been printed since 141
that have been pursued since 117
that have been released since 189
that have been released under 72
that have been repeated again 107
that have been repeated often 47
that have been revised since 59
that have been settled since 48
that have been several times 52
that have been shunted aside 45
that have been started since 86
that have been started under 40
that have been strongly urged 45
that have been studied appear 236
that have been studied since 156
that have been studied under 170
that have been studied within 82
that have been trapped within 52
that have been updated since 216
that have been uttered about 77
that have been uttered since 41
that have been written about 7598
that have been written since 1177
that have been written under 84
that have been written within 106
that have been wrought since 90
that have come together under 58
that have ever existed since 110
that have lain dormant since 70
that have lain dormant within 43
that have made america until 41
that have such natural sound 71
that having foul diseases about 70
that just made matters worse 150
that lady also desired above 55
that live very retired lives 40
that look like festive halls 84
that look like jointed twigs 52
that look like stately parks 193
that lord john russell could 128
that lord john russell never 41
that lord john russell would 456
that many have striven after 60
that many have written about 144
that many more existed which 47
that many more persons would 52
that many other factors could 49
that many other factors enter 139
that many young married women 45
that means have perhaps taken 58
that more heart attacks occur 97
that more were following every 45
that most heart attacks occur 79
that much more research needs 733
that much more research would 42
that much more willingly would 240
that must have elapsed since 345
that must have existed within 51
that must have started under 52
that must have weighed about 55
that must have weighed close 52
that must have weighed fifty 53
that must have weighed nearly 53
that must have weighed thirty 91
that none other foreign power 47
that none were enacted which 44
that nothing more pathetic could 47
that nothing more perfect could 159
that only made matters worse 1848
that only make matters worse 256
that only such damages could 42
that only those animals which 94
that only those matters which 114
that only those objects which 150
that only those parties which 121
that only those persons could 115
that only those persons whose 192
that only those persons would 43
that only those species which 156
that only three persons could 130
that only union members could 148
that only union members would 42
that over five hundred people 223
that over five thousand people 181
that over four hundred people 40
that over those persons whose 64
that over three hundred people 191
that over three thousand people 77
that poets have written about 52
that poor young creature quiet 48
that rise like islands above 89
that runs three hundred miles 48
that some acts produce alarm 42
that some five thousand people 46
that some good fortune would 94
that some good results might 136
that some good results would 48
that some great persons about 44
that some great scholar would 132
that some other chemist might 47
that some other company would 43
that some other country might 85
that some other country would 55
that some other european power 55
that some other factors might 48
that some other process might 52
that some other solution would 50
that some such attempt might 53
that some such persons might 45
that some three decades later 85
