tax charged under any law 60
tax imposed under that act 77
tax imposed under this act 747
tax payable under this act 2619
tax returns filed each year 160
ten degrees lower than that 72
ten degrees rather than one 43
ten genteel women for one 111
ten minutes after each meal 91
ten minutes after she got 60
ten minutes after she had 434
ten minutes after she was 158
ten minutes after that she 52
ten minutes after they are 101
ten minutes after they got 56
ten minutes after they had 558
ten minutes after you get 45
ten minutes after you had 53
ten minutes alone with her 95
ten minutes alone with him 241
ten minutes alone with you 50
ten minutes every day and 40
ten minutes every day for 143
ten minutes later and she 40
ten minutes later and was 45
ten minutes later she had 119
ten minutes later she was 486
ten minutes later than she 49
ten minutes later that she 100
ten minutes later they had 70
ten minutes later with his 47
ten minutes later with two 143
ten minutes since she had 83
ten minutes since they had 79
ten minutes since you had 65
ten minutes until she was 42
ten thousand armed men was 73
ten thousand frogs are not 52
ten thousand lives this day 42
ten thousand miles per year 153
ten thousand others die than 72
ten thousand people and was 48
ten thousand people one day 48
ten thousand people who are 60
ten thousand people who can 70
ten thousand people who had 120
ten thousand stars how not 216
ten thousand thanks for all 43
ten thousand times his own 44
ten thousand times ten thou 40
ten thousand times with all 41
than besieging others with his 81
than between father and son 343
than between heaven and earth 135
than between mother and son 183
than between women and men 174
than drapery which she has 40
than fifteen hours per day 50
than fifteen miles per day 57
than fifteen months and not 143
than himself within his own 42
than married women who are 56
than usually thrown off his 201
than visible light and can 44
that account judging that they 139
that account rather than for 113
that affairs which are not 45
that african people did not 227
that african women and men 89
that african women are not 142
that african women did not 107
that against which they are 370
that against which they had 287
that although jesus did not 59
that although julian had but 56
that although people are not 54
that although people did not 50
that although people may not 60
that although women and men 327
that although women are not 81
that although women are now 42
that although women did not 99
that ambition would bid him 51
that america chose for her 46
that america could not and 192
that america could not long 87
that america could not pay 49
that america could not win 289
that america might one day 55
that america would not let 53
that america would not use 45
that america would one day 400
that america would use its 43
that ancient israel did not 49
that ancient people did not 63
that animals could not get 87
that animals lower than man 52
that animals which are not 84
that animals which can not 49
that animals would one day 53
that anybody could ask for 44
that anybody could say that 42
that anybody could see that 161
that anybody could see was 69
that apology which kings who 41
that appeared after her death 138
that appeared after his death 709
that appeared later that year 87
that appeared under his own 141
that average people can not 94
that bankers would one day 65
that because harding and his 50
that because jesus did not 113
that because people are not 212
that because people can not 162
that because people did not 48
that because women and men 154
that because women are not 117
that because women can not 72
that because women did not 49
that behavior which does not 51
that beliefs about god are 113
that beloved child had now 117
that between eight and ten 521
that between father and son 3869
that between fifty and one 94
that between heaven and earth 1243
that between helen and her 99
that between israel and its 44
that between jesus and his 45
that between march and may 117
that between mother and son 999
that between night and day 726
that between people who are 123
that between seven and ten 184
that between smoking and lung 163
