tax credit available for each 53
ten million americans who are 92
than merely concurred with them 102
than swilling themselves with ale 50
than through litigation does not 43
that almost certainly can not 99
that almost certainly did not 200
that almost certainly does not 111
that almost certainly was not 120
that almost convulsed them with 394
that almost everybody who has 47
that almost invariably they are 140
that already struggled with each 42
that always contorted his thin 126
that amongst themselves and with 52
that animal magnetism did not 85
that animal magnetism was not 42
that another candidate was not 79
that astute personage and his 45
that became associated with him 41
that became associated with his 227
that became associated with them 109
that became associated with this 48
that become associated with them 57
that become available each year 55
that better conducted men than 44
that bodies themselves are not 98
that church traditions set that 48
that clearly indicated that she 64
that clearly indicated that they 149
that clearly indicates that they 118
that clearly reflected his own 87
that crisis approaching they beat 144
that daniel conversed with god 59
that dismal conviction did not 139
that divine revelation can not 268
that divine revelation was not 49
that energy production and use 44
that england discovers that she 56
that ethical judgments are not 242
that ethical judgments can not 104
that ethical standards are being 43
that ethical standards are met 50
that ethical standards are not 124
that existing conditions are not 41
that existing conditions did not 45
that expert testimony was not 810
that expert witnesses may not 95
that family structure does not 66
that female sexuality can not 54
that fervid mysticism and that 68
that formal operations are not 157
that frisking petitioner and his 113
that further discussion was not 106
that further proceedings are not 63
that further reflection and new 50
that further separates him for 44
that future researches may bring 46
that grinding pauperism can lead 112
that infant mortality was not 42
that ladies sometimes wear them 121
that learned gentleman had set 83
that lifted themselves with wings 46
that little scotchman with his 43
that london gentlemen can not 95
that manual dexterity and that 209
that market conditions are not 130
that market conditions did not 41
that market economies are not 100
that mental disorders are due 83
that mental disorders are not 356
that mental disorders can not 136
that mental illnesses are not 342
that mental phenomena are not 346
that mental phenomena can not 304
that mental processes are not 374
that mental processes can not 301
that mental qualities are not 41
that merely formative art has 60
that merely signified that each 50
that mighty continent may not 60
that modern criticism has not 122
that modern societies are not 131
that modern societies can not 169
that native americans are not 278
that native americans did not 542
that neither aristotle nor any 49
that neither existence nor non 44
that neither ourselves nor any 52
that neither ourselves nor our 167
that oliver expressed for his 98
that patent protection does not 41
that planning permission was not 183
that pleased everybody and that 83
that potent personage was apt 44
that prince ferdinand had put 57
that public employees are not 156
that public employees can not 274
that public employees did not 109
that public employees may not 211
that public employers can not 50
that public libraries are not 180
that public ownership does not 200
that public ownership was not 149
that public resources are not 106
that public sentiment did not 108
that public sentiment does not 220
that public sentiment had not 48
that public sentiment was not 274
that public sentiment was with 93
that public utilities are not 151
that safety standards are met 145
that scarce resources are being 144
that scarce resources are not 342
that school districts are not 597
that school districts can not 265
that school districts can use 98
that school districts may not 195
that school personnel are not 132
that school personnel did not 48
that second spectator who did 98
that seemed important was that 49
that seemed insoluble but had 52
that should accompany old age 1278
that should interfere with her 81
that should prejudice any one 304
that something different was going 326
that something important has not 51
that something important was being 592
that something important was going 2050
that something interesting was going 488
that something momentous was going 223
that something mysterious was going 247
that something radically new has 90
that something radically new was 129
that something suspicious was going 272
that something underhand was going 194
that something unpleasant was going 444
that something wonderful was going 482
that speech signifies all things 128
that status offenders are not 65
that strange expression that one 179
