tax the 41 tax to 41
tear the 46 tear the 161
ten the 61 than the 49
than to 41 than the 42
than the 49 than at 67
than we 48 than it 80
than us 92 that be 143
that be 134 that be 141
that be 552 that be 58
that be 48 that be 44
that be 130 that be 44
that it 65 that be 48
that be 58 that to 80
that to 55 that to 42
that the 49 that to 44
that the 120 that to 165
that on 113 that to 268
that it 85 that the 52
that to 860 that to 287
that be 117 that to 116
that the 106 that to 44
that by 40 that to 66
that the 94 that the 108
that the 93 that to 41
that to 42 that to 41
that to 88 that be 72
that of 67 that is 48
that the 45 that to 103
that the 86 that the 97
that to 183 that to 108
that be 72 that to 170
that to 152 that to 126
that be 43 that the 110
that to 92 that be 98
that be 164 that to 46
that to 40 that be 42
that be 123 that to 497
that to 85 that of 52
that be 68 that to 52
that it 43 that to 44
that to 103 that be 66
that the 56 that to 49
that to 455 that to 151
that to 114 that it 61
that it 40 that to 89
that the 117 that in 135
that be 40 that no 50
that the 58 that to 309
that to 52 that me 62
that in 92 that to 271
that to 162 that to 80
that be 140 that to 150
that be 144 that in 65
that to 94 that to 95
that to 577 that the 127
that be 63 that the 92
that of 170 that the 121
that in 51 that to 45
that the 65 that to 57
that in 346 that in 72
that at 88 that to 55
that in 108 that to 160
that to 67 that to 256
that the 40 that be 286
that the 62 that the 46
that on 47 that the 41
that be 118 that be 187
that be 108 that be 134
that be 53 that up 42
that to 85 that the 570
that the 47 that to 191
that to 65 that to 40
that it 103 that an 89
that to 521 that to 90
that to 63 that to 124
that the 40 that at 99
that he 128 that is 358
that it 193 that the 310
that to 52 that we 49
that it 42 that in 41
that to 41 that the 101
that to 634 that it 58
that to 492 that at 41
that to 278 that be 119
that to 40 that be 59
that so 95 that be 99
that is 48 that to 104
that is 337 that the 43
that up 147 that to 202
that to 61 that the 123
that the 46 that the 105
that the 67 that the 152
that the 82 that the 344
that be 245 that be 50
that the 182 that to 305
that in 223 that to 88
that be 41 that the 108
that the 51 that in 48
that is 97 that the 80
that be 171 that of 50
that of 48 that an 176
that the 47 that the 49
that the 44 that be 184
that in 54 that the 103
that to 79 that to 69
that to 50 that to 91
that be 45 that is 119
that is 50 that to 62
that the 258 that be 75
that be 376 that to 208
that be 49 that be 141
that to 74 that us 40
that to 43 that to 44
that it 44 that the 41
that to 81 that to 43
that he 173 that the 185
that we 106 that he 208
that the 145 that he 544
that the 672 that the 97
that to 129 that the 95
that me 52 that the 113
that the 51 that an 109
that the 442 that the 68
that the 40 that an 61
that the 225 that to 267
that be 41 that be 142
that be 97 that be 82
that to 106 that be 43
that be 105 that the 42
that to 51 that the 514
that no 106 that no 108
that the 102 that to 833
that in 164 that on 80
that be 50 that to 98
that be 45 that to 88
that be 152 that to 240
that to 88 that to 56
that to 356 that on 54
that it 48 that be 279
that be 49 that be 41
that in 109 that be 814
that the 41 that be 463
that be 99 that the 161
that to 377 that be 547
that the 42 that is 113
that be 489 that to 73
that to 140 that as 64
that the 59 that the 46
that up 79 that to 75
that be 51 that or 58
that be 1246 that no 54
that be 54 that at 64
that to 50 that to 73
that be 43 that be 288
that be 93 that to 320
that be 134 that the 41
that the 40 that be 55
that be 57 that to 54
that is 340 that be 40
that be 52 that by 117
that to 45 that the 210
that to 52 that to 64
that to 45 that be 69
that the 45 that to 232
that to 62 that to 111
that the 165 that my 81
that to 60 that the 60
that the 41 that the 111
that the 42 that the 99
that the 92 that the 52
that be 42 that the 50
that the 42 that the 137
that the 202 that me 53
that the 47 that the 54
that to 244 that the 47
that the 99 that the 112
that to 294 that to 72
that to 45 that the 66
that of 85 that an 50
that be 41 that the 145
that be 78 that to 48
that to 60 that as 46
