tab the 101 tap of 116
tap of 212 tax to 53
tax the 60 tax to 43
tax in 417 tax the 76
tax to 91 tax by 53
tax of 139 ten of 47
ten to 49 ten to 117
ten of 67 ten in 41
ten me 47 ten the 43
ten do 85 ten of 67
ten to 49 ten the 59
ten to 85 ten at 66
ten of 111 ten by 59
ten of 78 ten to 75
than of 40 than to 56
than to 46 than in 46
than to 41 than to 160
than to 49 than to 70
than it 55 than it 45
than it 124 than is 42
than by 49 than by 74
than or 72 than of 89
than to 54 than of 154
than of 507 than to 48
than to 75 than of 105
than of 221 than of 158
than to 40 than in 168
than of 54 than of 70
than to 60 than of 148
than of 40 than of 95
than to 108 than of 72
than of 45 than to 134
than in 102 than in 97
than is 58 than to 64
than is 51 than by 42
than of 68 than of 40
than by 43 than to 47
than by 50 than as 48
than of 98 than on 66
than in 130 than to 60
than in 96 than to 49
than on 51 than of 117
than it 46 than to 64
than to 46 than in 126
than of 91 than of 526
than to 64 than of 139
than or 82 than to 42
than of 61 than in 90
than or 51 than in 53
than of 63 than in 43
than in 116 than of 146
than to 242 than in 102
than to 489 than to 42
than to 65 than in 53
than to 71 than by 51
than the 115 than to 53
than the 135 than in 83
than the 56 than the 42
than the 41 than in 51
than at 101 than in 1033
than the 67 than on 45
than to 164 than it 42
than the 42 than the 53
than the 185 than the 44
than me 93 than to 415
than the 78 than to 45
than in 49 than the 81
than the 62 than the 147
than the 48 than the 53
than to 122 than to 173
than to 54 than the 44
than the 128 than to 106
than in 156 than to 103
than to 54 than it 107
than the 168 than the 49
than of 49 than to 43
than as 46 than or 66
than of 47 than of 90
than to 44 than of 54
than in 45 than of 44
than in 48 than in 167
than to 84 than by 125
than to 203 than be 87
than be 75 than as 148
than to 59 than to 45
than to 71 than at 118
than in 508 than on 86
than to 361 than in 50
than in 148 than in 824
than in 83 than by 58
than in 112 than in 109
than as 96 than by 51
than in 172 than by 92
than on 88 than by 111
than in 67 than by 43
than in 103 than to 1129
than by 245 than by 45
than by 47 than by 99
than by 44 than in 124
than to 643 than the 111
than in 71 than in 69
than to 59 than by 57
than in 147 than by 193
than in 47 than to 192
than by 118 than the 49
than to 80 than to 46
than me 42 than it 45
than or 160 that of 101
that to 68 that to 40
that in 89 that to 84
that the 98 that by 58
that he 96 that in 85
that to 44 that be 98
that by 68 that to 75
that to 354 that of 56
that to 72 that of 50
that to 48 that to 47
that the 43 that to 43
that in 52 that by 54
that to 101 that to 55
that the 86 that by 89
that in 53 that by 42
that in 61 that to 77
that it 44 that in 341
that to 51 that of 64
that to 42 that in 50
that to 77 that of 100
that in 95 that by 41
that in 645 that in 41
that in 43 that or 67
that the 110 that of 63
that by 70 that in 64
that to 55 that by 47
that in 136 that to 78
that the 100 that to 77
that by 83 that by 342
that in 61 that by 141
that to 55 that of 67
that of 44 that of 120
that to 52 that at 50
that in 211 that on 585
that to 361 that at 156
that in 429 that on 318
that by 71 that in 160
that of 63 that to 48
that at 63 that the 94
that of 273 that of 141
that the 105 that of 48
that in 113 that of 125
that in 53 that at 153
that in 209 that he 185
that in 101 that he 345
that in 195 that the 140
