tea and cake were served 116
the act came into effect 985
the act coming into effect 48
the act from taking effect 53
the act having been passed 98
the act went into effect 2614
the act will take effect 41
the act will take serious 65
the ada went into effect 116
the add help text button 177
the age range from twenty 73
the age when ours begins 123
the age when some repose 87
the age when youth swells 51
the aging baby boom cohort 45
the air flow rate should 42
the air flow rate through 412
the air from their bodies 48
the air grow dark behind 48
the air have free access 50
the air having free access 49
the air just cold enough 46
the air just high enough 87
the air like flying fiends 48
the air mass flow through 69
the air much more readily 54
the air must flow through 45
the air must have reached 41
the air must pass before 60
the air must pass through 783
the air some time before 88
the air were pure oxygen 75
the air were seen whirling 46
the air will flow through 167
the air will have become 56
the air will pass through 657
the air will rush through 91
the air will soon become 54
the all india jail manual 341
the all india radio should 110
the all india radio station 319
the all india soil survey 86
the area from north africa 43
the area from other regions 77
the area have been closed 57
the area have been forced 43
the area have been mapped 43
the area into three regions 41
the area many years before 170
the area must have looked 76
the area some time before 73
the area some years before 139
the area some years earlier 100
the area three years before 83
the area were more likely 68
the ark must have rested 42
the art have been called 45
the art have gone farther 80
the ave maria bell without 73
the ave mary bell should 58
the ave mary bell without 85
the bad news came through 51
the bad news from england 68
the bad news from europe 73
the bad news from france 94
the bad news from london 47
the bad news soon enough 69
the ban came into effect 82
the ban went into effect 443
the bay mingle their waters 45
the bbc news from london 55
the beam must pass through 391
the beam will pass through 332
the big baby blue turret 91
the big city high school 47
the big door swung behind 64
the big gate swung slowly 101
the big guns fell silent 62
the big guns talk across 84
the big guns were silent 71
the big iron cage lashed 40
the big living room window 117
the big rock over yonder 128
the big south fork scenic 89
the big teeth were firmly 81
the big three auto makers 827
the big three plus france 64
the big wave went whirling 87
the boy away from school 66
the boy having been already 93
the boy home from school 48
the boy must have something 40
the boy some good advice 40
the boy there came feelings 128
the boy were left behind 48
the boy will have become 44
the bus home from school 781
the bus will leave without 43
the car door open before 87
the car door shut behind 135
the car must have thought 45
the car onto main street 46
the car park till twenty 41
the cat went back through 75
the cow fell down through 57
the cry from many voices 42
the cue ball must strike 87
the cut went into effect 41
the day came when archie 49
the day came when someone 43
the day even more special 72
the day five years before 50
the day four years earlier 40
the day into three periods 65
the day many other trains 128
the day many years before 47
the day must have become 43
the day must have seemed 58
the day pass over without 63
the day slip away without 73
the day there were always 73
the day there were various 75
the day those very vacant 44
the day three years before 50
the day were more likely 43
the day were nine killed 41
the day when fort sumter 57
the day when fort william 53
the day when nora jilted 105
the day when some future 100
the day when south africa 98
the day when their bodies 122
the day when their fathers 40
the day when their tongues 70
the day when there should 348
the day when your brother 41
the day when your creation 54
the day when your energy 67
the day will come before 259
the day will come sooner 55
the day will ever arrive 41
the day will have passed 40
the day will soon arrive 340
the day wore away without 99
the dead body into pieces 46
the dead came also through 65
the dead four days before 101
the dead from their graves 2355
the dead from their narrow 104
the dead from their ruined 133
the dead have been broken 41
the dead have been buried 422
the dead have been placed 59
the dead have been raised 344
the dead have left behind 93
the dead into their graves 56
the dead leave their graves 116
the dead past bury itself 56
the dead speak forth anthems 43
the dead were also buried 58
the dead were duly buried 93
the dead were left behind 159
the dead were left without 42
the deal will fall through 254
the dear ones gone before 379
the dear ones left behind 954
the death having been caused 64
the death rate among adults 63
the death rate among babies 143
the death rate among blacks 73
the death rate among mothers 69
the death rate among negroes 130
the death rate among slaves 97
the death rate among whites 48
the death rate from cancer 3193
the death rate from cardiac 44
the death rate from causes 43
the death rate from diarrhea 76
the death rate from disease 635
the death rate from malaria 334
the death rate from measles 159
the death rate from stroke 214
the death rate from various 48
the death rate from whooping 138
the death rate from wounds 66
the death rate from yellow 78
the death rate will exceed 44
the death toll from cancer 41
the death toll from disease 88
the death toll from famine 42
the death toll from malaria 56
the death toll much higher 57
the dog from tearing pieces 59
the dog must have seemed 47
the dry side during winter 67
the due date will result 89
the earl made their escape 41
the ears laying back heavily 41
the earth away from around 42
the earth from such points 52
the earth from their planet 92
the earth full five inches 56
the earth grow much hotter 55
the earth have been created 140
the earth have been formed 172
the earth have been turned 48
the earth have their origin 70
the earth having been formed 89
the earth having been opened 51
the earth having been washed 40
the earth heave into mighty 248
the earth made more finite 54
the earth must have become 133
the earth must have cooled 55
the earth must have formed 50
the earth must have looked 80
the earth must have opened 46
the earth must have passed 84
the earth must have seemed 88
the earth must pass through 133
the earth must turn through 43
the earth once more before 47
the earth only very slight 41
the earth were moving through 56
the earth will find blessing 53
the earth will have become 83
the earth will have changed 49
the earth will have passed 69
the earth will have reached 53
the earth will have turned 67
the earth will last another 44
the earth will pass through 269
the east have been always 62
the east have been enjoying 44
the east have been peopled 48
the east having been cleared 44
the east like lady hester 85
the east meant very little 66
the east side gave access 70
the east side high school 267
the east some years before 62
the east wall gave access 40
the east were left vacant 244
the eeoc from bringing actions 76
the elk must have turned 77
the end hanging down behind 50
the end have been taught 61
the end must come before 61
the end must have seemed 44
the end there were almost 48
the end there were always 63
the end there were hardly 44
the end there were twenty 107
the end there will always 100
the end there will remain 88
the end were many wanted 44
the end will come before 85
the end will come sooner 76
the end will only render 51
the era fell three states 61
the eye from their extent 129
the eye into their proper 105
the eye must pass through 109
the eye sees more clearly 89
the eye soon gets wonted 246
the eye when seen through 71
the far left hand column 79
the far left hand corner 151
the far west were becoming 70
the far west were reached 59
the fat from their bodies 40
the fear lest fops should 46
the fed uses open market 125
the few days just before 311
the few days left before 203
the few days were turned 87
the few have much chance 40
the few years just before 463
the few years left before 52
the gas flow rate should 42
the gas flow rate through 429
the gas jets were turned 53
the gas must pass through 364
the gas will flow through 159
the gas will pass through 445
the god whom their fathers 42
the going into these stoves 58
the going very hard indeed 53
the gun crew were killed 55
the head free from strain 110
the head lest their swords 60
the head many years before 71
the head must pass through 84
the head will pass through 145
the heat away fast enough 47
the heat flow rate through 173
the heat from their bodies 447
the heat must flow through 54
the heat must pass through 209
the heat will flow through 42
the heat will pass through 160
the hot soup just before 43
the hut must have become 43
the ice from their drinking 56
the ice having been broken 169
the ice will have melted 62
the idea came from readers 104
the idea must have arisen 65
the idea must have seemed 121
the idea must have struck 78
the ill high flux reactor 73
the ink will flow freely 52
the ions move fast enough 127
the ions move more slowly 48
