tamest animal will turn when 58
taught taught tell told told 140
taught taught tore torn told 58
teacher should have been able 44
teacher should know just what 47
teacher should take great care 69
tempting offers have been made 94
tender feelings upon their part 46
tender little form grew hard 279
tennis courts have been laid 55
thought before there will dawn 57
thought looked very much like 116
thought should ever have been 114
thought should have been done 470
thought should have been kept 114
thought should have been left 89
thought should have been made 202
thought should have been more 48
thought should have been there 107
thought someone else must have 44
thought someone must have been 60
thought someone must have died 42
thought something must have been 52
thought something must have gone 108
thought thought weep wept wept 40
thought without some help from 45
throbbing pulses grew more calm 54
through another open door into 52
through porous media have been 131
through something very much like 52
thrusting swords into their legs 56
thunder rolled over their heads 107
toward something away from what 43
towels draped over their arms 48
traced through many dark paths 61
tracer methods have been used 88
training methods have been used 109
training should also take into 46
travel abroad like other young 60
travel agents make their time 44
travel better among their swinging 45
travel status away from home 50
trends emerge from these data 41
tricks played upon other free 77
troops rested upon their arms 69
troops should have been able 46
troops should have been made 64
troops should have been sent 177
troops should have been used 48
troops should take rank over 113
turned upside down once more 98
twelve inches away from your 50
twelve inches from your eyes 47
twenty bowmen bold came leaping 58
