tact to dot so monstrous 76
take an act of parliament 139
take an oath of abjuration 224
take an oath of adherence 53
take an oath of allegiance 20380
take an oath of canonical 110
take an oath of innocence 100
take an oath of obedience 3135
take an oath of submission 220
take an oath of supremacy 71
take an oath of vassalage 55
take an oath to discharge 200
take an oath to extirpate 57
take an oath to faithfully 342
take as long as necessary 537
take by way of remainder 200
take in all the conditions 75
take in all the different 116
take in all the important 52
take in all the subaltern 47
take in all the territory 52
take in all the varieties 47
take in all the wonderful 45
take in and to discharge 42
take it all to themselves 57
take it for an imputation 49
take it for an undoubted 82
take it for the remainder 75
take it off my shoulders 167
take it out of ourselves 50
take it out of production 299
take it out of themselves 49
take it out on everybody 132
take it out on ourselves 66
take it out on themselves 191
take it that the assumption 46
take it that the committee 199
take it that the conception 40
take it that the existence 55
take it that the expression 76
take it that the objective 54
take it that the plaintiff 42
take it that the political 42
take it that the president 63
take it that the principal 82
take it that the principle 89
take it that the production 46
take it that the reference 104
take it that the statement 73
take it with the knowledge 51
take me for an englishman 877
take me long to appreciate 99
take me long to ascertain 56
take me long to determine 99
take me long to establish 71
take me long to recognize 252
take me out to celebrate 61
take my seat in parliament 82
take no oath of allegiance 89
take on all the qualities 143
take on her the character 42
take on new or additional 121
take on new or different 45
take so long to establish 56
take so long to implement 71
take so long to recognize 78
take so mean an advantage 101
take the air on horseback 609
take the ice as delivered 50
take the idea of democracy 56
take the job of secretary 43
take the lead at different 47
take the lead in approaching 75
take the lead in commercial 91
take the lead in community 144
take the lead in confronting 157
take the lead in considering 42
take the lead in controlling 215
take the lead in courtship 127
take the lead in criticizing 96
take the lead in cultivating 42
take the lead in determining 657
take the lead in different 80
take the lead in discovering 61
take the lead in discussion 82
take the lead in dismantling 49
take the lead in eliminating 149
take the lead in emphasizing 62
take the lead in encouraging 1074
take the lead in eradicating 50
take the lead in formulating 767
take the lead in identifying 487
take the lead in important 53
take the lead in industrial 116
take the lead in influencing 81
take the lead in innovation 68
take the lead in instituting 96
take the lead in integrating 164
take the lead in introducing 542
take the lead in maintaining 233
take the lead in modernizing 61
take the lead in movements 63
take the lead in opposition 255
take the lead in overthrowing 84
take the lead in penetrating 99
take the lead in political 275
take the lead in proclaiming 44
take the lead in production 81
take the lead in recognizing 171
take the lead in reorganizing 96
take the lead in spiritual 59
take the lead in stimulating 584
take the lead in strengthening 152
take the lead in structuring 155
take the lead in suppressing 71
take the lead in technical 43
take the lead in undertaking 88
take the lead to establish 43
take the oath as aforesaid 63
take the oath as president 240
take the oath of abjuration 2755
take the oath of adherence 43
take the oath of allegiance 124912
take the oath of association 82
take the oath of assurance 53
take the oath of canonical 701
take the oath of obedience 1277
take the oath of secretary 72
take the oath of submission 182
take the oath of succession 502
take the oath of supremacy 22950
take the oath of temporary 122
take the oath of vassalage 119
take the path of political 46
take the path of revolution 175
take the path of surrender 47
take the vow of obedience 197
take the vow of perpetual 118
take the vow of virginity 69
take to ease the transition 62
take to get the necessary 95
take up all the available 852
take up all the different 44
take up all the discourse 40
take up with the abandoned 115
take up with the concerned 68
take up with the doctrines 47
take up with the president 400
take up with the secretary 44
take us long to determine 47
take us long to recognize 125
take us out of ourselves 1724
taking an oath of abjuration 53
taking an oath of allegiance 4333
taking an oath of innocence 52
taking an oath of obedience 389
taking an oath of submission 79
taking as long as necessary 67
taking in all the different 52
taking in all the principal 51
taking in all the territory 40
taking in all the wonderful 43
taking it but my assurance 60
taking it for an acropolis 41
taking it for the substance 89
taking it out of production 78
taking it out on everybody 93
taking it out on themselves 43
taking it with the allowance 46
taking me for an englishman 91
taking of oath of allegiance 47
taking on new or different 64
taking so dim an impression 94
taking so long to recognize 47
taking the air on horseback 425
taking the law of everybody 64
taking the lead in determining 56
taking the lead in encouraging 232
taking the lead in formulating 68
taking the lead in identifying 61
taking the lead in industrial 56
taking the lead in introducing 128
taking the lead in opposition 152
taking the lead in political 60
taking the lead in production 41
taking the mean of different 56
taking the oath as president 257
taking the oath of abjuration 852
taking the oath of allegiance 18760
taking the oath of canonical 157
taking the oath of obedience 263
taking the oath of supremacy 4338
taking the vow of obedience 55
taking up all the available 222
taking us out of ourselves 324
talk it out of existence 74
talk of all the cathedrals 73
talk of any thing approaching 48
talk of them to everybody 61
