tail varies greatly in length 95
take another chance on love 77
take another couple of days 105
take another couple of years 143
take another course in their 44
take another decade or more 84
take another sample of size 59
take better charge of their 67
take effect before the date 68
take effect before the next 54
take effect before the spring 49
take effect unless the bill 66
take effect unless the plan 83
take entire charge of their 78
take further notice of such 181
take greater charge of their 165
take little notice of other 54
take little notice of such 208
take little notice of their 131
take little notice of these 239
take little notice of those 63
take little notice of what 209
take little thought of what 122
take myself firmly in hand 101
take opposing points of view 82
take refuge behind the fact 85
take refuge behind the word 168
take refuge inside the city 49
take serious notice of such 122
take serious notice of these 46
take serious notice of what 56
take special notice of such 92
take special notice of their 69
take special notice of these 90
take special notice of those 67
take special notice of what 98
take special notice of your 49
take various pieces of iron 65
take various points of view 43
taking little notice of their 42
taking little notice of what 201
taking orders instead of giving 47
taking orders something is told 93
tall alders shaded us from 47
tall building beside the pier 93
tall candle before the holy 257
tall fathers tended to have 50
tall figure across the room 42
tape measure should be used 54
tape passed around the neck 67
task before starting the next 49
taxi driver agreed to take 51
teeth pointing toward the apex 105
teeth should always be kept 54
teeth showed through the beard 44
tell whether something is good 44
tenth degree beyond the line 86
term itself appears to have 47
term memory appears to have 152
term mortal without at once 87
term should always be used 83
test methods should be used 81
test pieces should be kept 116
test scores should be used 301
test should always be done 243
test should always be made 607
test should always be used 191
their abodes without the city 55
their actions clearly in view 54
their actions depend on some 41
their allies instead of their 41
their allies should at once 40
their allies wished to give 48
their annual income is less 54
their annual income on food 43
their annual quotas of arms 50
their anxious desire of your 101
their anxious desire to have 49
their ardent desire to have 58
their ardent desire to hold 40
their ardent desire to make 46
their armies through the length 62
their arrears should be paid 72
their arrows almost as fast 74
their assets beyond the reach 46
their attire admits of less 46
their babies behind at home 58
their babies closer to their 45
their babies instead of giving 41
their better feelings to what 42
their bloody swords in their 61
their bodies became the food 55
their bodies instead of their 90
their bodies melted the snow 52
their bodies seemed to call 89
their bodies seemed to have 83
their bodies seemed to melt 43
their bodies sheathed in clinging 53
their bodies should be left 79
their brains instead of their 214
their chairs around the fire 191
their chairs around to face 92
their chairs before the fire 158
their chairs should be high 41
their charge depend on their 48
their chiefs thought it safe 127
their choice should be made 64
their choral strain the well 42
their chosen fields of work 180
their cigars without the least 54
their claims beyond the line 71
their claims through or upon 61
their clothes looked as good 43
their clothes sticking to their 59
their cloudy worlds of snow 40
their common center of mass 5109
their common desire to make 41
their common duties to their 44
their common feature is their 46
their common hatred of their 40
their common origin the fact 50
their common prayer in time 41
their common profit or loss 149
their costly jewels at such 52
their course across the ocean 52
their course through the body 225
their course through the city 95
their course through the most 62
their course through the open 48
their course toward the mouth 42
their course toward the north 180
their course toward the south 147
their course without the least 62
their crowns before the lamb 55
their crushing burden of debt 47
their dangers shared by those 101
their design should be such 46
their desire secure the main 42
their divine mission on their 106
their divine mission to rule 49
their double burden of work 136
their earlier stages at least 61
their earnest desire of peace 64
their earnest desire of soon 71
their earnest desire to give 83
their earnest desire to have 145
their earnest desire to help 103
their earnest desire to live 64
their earnest desire to make 66
their earnest desire to meet 53
their effect before the word 91
their entire effect as soon 48
their entire estate to their 65
their entire income on food 47
their entire manner of living 43
their entire supply of food 62
their escape across the snow 180
their escape through the back 120
their family income is less 105
their family member at home 55
their fathers forgot my name 86
their feelings instead of their 58
their feelings should be hurt 40
their feelings toward the other 103
their finery except to their 74
their finest gaiety in such 93
their fleets bridge the main 82
their flight feathers at once 144
their flight through the dewy 72
their former course of life 979
their former habits of life 333
their former manner of life 767
their former manner of living 287
their former owners or their 91
their former places of work 114
their former slaves on their 67
their former slaves to free 81
their former slaves to keep 94
their former slaves to work 45
their former station in life 56
their friend instead of their 53
their frugal manner of living 42
their future course in life 80
their future course of life 164
their future duties in life 78
their future station in life 107
their greater strength of soul 40
their horses around to face 53
their horses beside the spring 77
their horses through the gate 73
their horses through the town 49
their humble station in life 97
their images burned on wood 79
their immune system is less 81
their impact appears to have 54
their income through the sale 94
their initial rights of self 184
their initial stages at least 49
their inmost states of mind 52
their inward measure of their 85
their lawful prince to give 48
their leaders seemed to have 40
their lesson before the time 43
their lifted shadow the young 40
their limits beyond the left 41
their little family of three 101
their little fields of corn 44
their little pieces of land 92
their little sparks of life 52
their little tracts of land 45
their loaded rifles in their 47
their losses should be made 41
their lovers amongst the most 73
their lowest levels in more 123
their lowest levels in over 51
their lowest levels in years 111
their master whether he meant 45
their meetings should be held 84
their melody swelling in full 63
their mental energy in living 49
their mental energy in their 45
their mental powers in such 136
their mighty powers to such 44
their misery before the eyes 47
their monthly income on food 62
their mothers before or during 57
their mothers instead of their 78
their mothers return to work 45
their mothers talked of their 47
their mutual center of mass 348
their mutual desire to have 45
their native island by these 90
their nature beyond the reach 41
their nature dazzle my eyes 41
their nature formed to have 59
their nature serves to show 46
their normal amount of work 49
their normal course of life 132
their normal course of work 49
their normal places of work 121
their normal source of food 49
their number appears to have 161
their number became so great 90
their number before the rest 127
their number should be kept 170
their number should be made 41
their number should be much 41
their number should be sent 134
their number unable to move 46
their object appears to have 62
their offering before the lord 146
their office across the yard 84
their opinion should be made 55
their opinion touching the great 86
their opinion whether the girl 76
their opinion whether the said 85
their opposing points of view 323
their orders touching the bill 49
their origin almost as soon 41
their origin always in some 54
their origin beyond the fact 43
their owners appears on page 141
their phases differ by half 52
their places around the fire 247
their places around the room 80
their places before the bell 43
their places beside the bier 44
their places filled by other 86
their places filled by those 106
their places without the least 65
their poison through the other 62
their policy toward the jews 69
their preaching inside the city 72
their preaching inside the town 71
their proper mission the task 76
their proper places as soon 223
their proper places by means 58
their proper places in life 45
their proper places in line 161
their proper places in their 81
their proper places in these 67
their proper places in time 41
their proper places of rest 47
their proper places the many 115
their proper sphere at home 216
their proper sphere by their 42
their proper sphere of duty 112
their proper sphere of life 54
their proper sphere of work 85
their proper station in life 455
their public spirit in making 51
their public spirit in their 41
their retreat through the town 45
their retreat without the loss 44
their reward should be great 51
their rights should be lost 49
their rounds through the city 40
their sacred tenets of such 110
their savage course of life 53
their scales remain the same 57
their scanty stores of food 44
their scanty supply of food 375
their second bottle of wine 177
their second chance at life 46
their second decade of life 264
their second summer of life 89
their secret hordes of corn 48
their seventh decade of life 165
their shirts sticking to their 65
their shrill voices of mirth 168
their simple habits of life 231
their simple manner of life 110
their simple manner of living 116
their sinful career by open 53
their sinful course of life 52
their sounds caused me less 98
their source toward the cold 40
their special fields of work 182
their special mission in life 53
their special points of view 459
their special skills to help 45
their speedy return to their 106
their square masses the last 167
their stated portion of corn 97
their station before the mouth 40
their status appears to have 40
their stolen cattle in there 129
their strange carvings of palm 82
their strange manner of life 57
their strange states of mind 47
their strength begins to fail 60
their strength begins to wane 76
their strength seemed to have 42
their sudden changes of mood 42
their summer effect in heating 107
their swords through the beds 41
their system through so many 58
their thought instead of urging 129
their tongues firmly in their 55
their trunks barred the open 84
their trusty rifles on their 70
their unique mission in life 48
their unique points of view 151
their uproar became so loud 90
their utmost purity the ideas 51
their utmost strength to drag 157
their values instead of ours 101
their values remain the same 63
their varied points of view 79
their various authors or other 209
their various claims on land 40
their various fields of work 173
their various habits of life 40
their various levels of meaning 91
their various places of work 447
their various points of view 1754
their various powers to clear 70
their various senses of bringing 51
