the abandoned car had been 145
the abdominal and low back 167
the abilities that are most 186
the abilities that had been 50
the abilities that they have 77
the abilities that you have 79
the abjuration oath and test 53
the absentees are then only 62
the absorption does not take 41
the absorption has not been 52
the abstainer are not only 44
the absurdity did not make 56
the absurdity that had been 207
the absurdity that she sold 79
the abundance and low cost 136
the abundance that had been 62
the abundance that has been 50
the accessory does not join 55
the accusation does not seem 54
the accusation had not been 86
the accusation has not been 100
the accusation she had made 65
the accusation that had been 265
the accusation that has been 177
the accusation that his theory 40
the accusation that his work 66
the accusation that they have 393
the accusation that they were 2180
the accusation that was made 108
the accusation that you have 68
the accusation that you were 41
the accusation was not made 50
the accusation was not true 140
the activists who had been 104
the actresses who had been 43
the additional one per cent 320
the additional tax has been 155
the additional ten per cent 193
the additional two per cent 142
the additives that are used 57
the addressee does not have 191
the addressee does not know 167
the addressee does not want 42
the addresses that are used 64
the addresses that had been 63
the addresses that you have 59
the addresses that you want 50
the adjective and its noun 131
the admiralty did not have 72
the admiralty did not know 120
the admiralty did not like 50
the admiralty did not seem 41
the admiralty did not take 51
the admiralty did not think 56
the admiralty did not want 97
the admiralty did not wish 48
the admiralty for not having 56
the admiralty had not been 205
the admiralty that they were 101
the admiralty who had been 60
the admiration for his work 52
the admiration she had felt 54
the admiration she had there 139
the admiration that had been 85
the admiration that has been 155
the admiration that men have 67
the admiration that was felt 47
the admonition that one must 41
the admonition that they must 76
the admonition that they were 110
the adulterer with his face 51
the advantage being that there 40
the advantage does not seem 44
the advantage does not stop 46
the advantage has all been 78
the advantage has not been 135
the advantage lay with those 70
the advantage she had over 77
the advantage she has over 95
the advantage that had been 524
the advantage that has been 195
the advantage that his work 45
the advantage that may come 80
the advantage that not only 508
the advantage that one need 144
the advantage that one side 44
the advantage that they also 53
the advantage that they come 49
the advantage that they give 196
the advantage that they have 589
the advantage that they keep 45
the advantage that they know 53
the advantage that they lend 44
the advantage that they make 165
the advantage that they need 204
the advantage that they only 61
the advantage that they show 109
the advantage that they take 102
the advantage that they tend 66
the advantage that they were 567
the advantage that they will 419
the advantage that they work 59
the advantage that this gave 75
the advantage that you give 47
the advantage that you have 118
the advantage that you know 45
the advantage that you need 50
the advantage that you will 114
