taking activity 58 talk subjects 101
talk memories 84 their citizens 45
their coverage 58 their fatigued 44
their depraved 43 their children 57
their agreeable 121 their treasures 70
their perdition 92 their education 105
their supplied 144 their supplied 122
these emigrate 56 these notorious 84
these diminish 64 these inserted 45
think questions 43 those exercising 41
those indicate 49 those fourteen 136
those restrain 46 those economic 68
those occurred 52 those entities 62
those friendly 43 those accepted 46
three attached 95 time stimulus 61
time minister 44 time counties 42
trial supporting 69 turn elements 77
