tax salaries 54 tax property 41
than displays 56 than affluent 188
than cultures 47 than families 82
than conjugal 44 that received 58
that immersed 47 that husbands 40
that affluent 40 that affluent 57
that families 463 that families 72
that families 90 that distinct 48
that innocent 66 that multiple 52
that attached 70 that obtained 41
that elements 54 that mistakes 42
that agreeably 136 that attention 373
that employed 83 that obtained 93
that prevailing 54 that employed 53
that everyone 47 that occurred 69
that forcibly 200 that incurred 116
that generals 57 that numerous 49
that occupied 67 that otherwise 173
that synthesis 367 that followed 97
that frequent 67 that received 67
that received 197 that captured 43
that immunity 54 that remained 183
that procured 199 that elections 51
that formation 44 that resemble 40
that dangerous 41 that benefits 67
that coverage 89 that services 316
that attention 45 that coverage 128
that functions 219 that attention 71
that attention 114 that policies 109
that recently 120 that provided 61
that rendered 111 that informed 147
that fearfully 82 that colleges 41
that cultures 48 that families 119
that deprived 43 that randomly 81
that accurate 104 that received 59
that survival 132 them interest 70
them authority 72 then channels 50
then advanced 40 they progress 43
they carriages 110 they maturity 58
they partners 495 they toilsome 93
they original 43 they evidence 67
they invaders 103 they patients 57
they judgment 60 they children 61
they attention 46 they original 64
they american 40 they children 109
they families 256 they husbands 228
they officers 55 they partners 66
they subjects 40 they superiors 108
they attention 48 they education 50
they supplies 68 they positions 40
they industry 57 they bootless 68
they circuits 96 they devotions 45
they excursion 44 they collision 51
they sickness 50 they maintain 368
things definite 51 this produced 49
this proposed 50 this selected 67
this mentioned 47 this outlined 49
this proposed 160 this provided 54
this reported 322 this reviewed 68
this arrested 41 this confined 47
this obscured 253 this included 63
this reported 66 this reported 80
this observed 76 this recorded 98
this reported 422 this achieved 65
this attended 90 this initiated 57
this obtained 151 this proposed 44
this recently 62 this recorded 44
this reported 204 this somewhat 60
this produced 48 this proposed 45
this reported 248 this followed 71
this happened 43 this occurred 151
this reported 43 this practice 52
this columbus 79 this observed 139
this recorded 65 this reported 54
this reported 149 this tenderly 48
this reported 77 this external 90
this ladyship 48 this proposed 84
this cheerful 42 this reported 291
this reported 63 this fruitful 207
thus possible 53 thus compared 64
two combined 49 two authority 66
two reported 54 two selected 101
two reported 56 two intimate 47
two advances 66 two reported 94
two answered 232 two contrary 55
two carolina 47 two carolina 188
two slightly 60 two proposed 122
two employed 49 two selected 43
