tabs happening 213 tact natives 46
tact persons 63 tail balance 90
tail sutlers 43 tail happening 63
take decided 42 take decided 116
take granted 202 take foreign 53
take holiday 56 take hundred 212
take picture 79 take remedial 94
take science 72 take thousand 50
take vacation 49 take courses 68
take minutes 1009 take courses 164
take decades 167 take hundred 167
take minutes 230 take samples 53
take thousand 46 take excrete 45
take genuine 60 take prepare 65
take happening 1890 take ballast 84
take granted 83 take deliver 48
take destroy 117 take dispose 43
take replace 81 take exchange 158
take pleasure 87 take examine 44
take rebuild 165 take replace 64
take because 122 take beginning 697
take because 49 take carriage 68
take bedroom 99 take custody 63
take drunken 59 take worship 77
take granted 88 take develop 57
take increase 70 take operate 94
take himself 70 take careful 64
take instant 41 take country 84
take service 171 take private 60
take service 360 take fifteen 50
take gracious 40 take squeeze 166
take granted 75 take receive 277
take granted 74 take granted 72
take everything 310 take address 163
take stockings 49 take everything 59
take fifteen 947 take several 45
take matters 99 take himself 54
take declare 298 take purpose 141
take account 61 take happening 51
take granted 8401 take himself 60
take granted 181 take control 157
take trouble 57 take destroy 65
take several 46 take duchess 45
take anxiety 56 take granted 279
take certain 46 take function 42
take impress 55 take himself 68
take granted 263 take forward 83
take offered 86 take minutes 66
take address 815 take minutes 208
take forward 43 take minutes 43
take receive 83 take granted 621
take suffering 52 take granted 118
take chester 52 take granted 372
take attempt 40 take expense 40
take granted 66 take shillings 60
take wounded 156 take chicken 100
take granted 51 take granted 41
take develop 47 take expense 224
take trouble 12010 take perfect 55
take although 228 take article 54
take because 254 take britain 59
take certain 117 take culture 43
take everything 307 take germany 89
take history 40 take language 241
take marriage 50 take national 56
take perhaps 40 take persons 56
take private 43 take religion 60
take research 59 take science 173
take society 56 take present 203
take lessons 44 take unworthy 91
take achieve 44 take believe 99
take highest 79 take maximum 220
take consort 47 take sisters 84
take attempt 41 take declare 66
take deliver 56 take destroy 106
take prepare 73 take protect 65
take freedom 62 take himself 57
take position 88 take position 68
take crosses 95 take defense 52
take dominion 134 take position 54
take related 59 take against 110
take present 97 take service 40
take fifteen 58 take towards 284
take because 105 take towards 301
taking thousand 92 taking laundry 41
taking happening 96 taking examining 73
taking service 49 taking service 49
taking private 45 taking squeezing 92
taking address 269 taking fifteen 40
taking herself 44 taking granted 530
taking examining 54 taking contact 200
taking several 115 taking granted 180
taking offered 159 taking following 115
taking address 81 taking offices 40
taking granted 219 taking defraying 50
taking wounded 86 taking expense 71
taking trouble 2533 taking cumbering 55
tale devotion 100 tale jealousy 101
tale loyalty 55 tale marriage 67
