tail stuck down the serpent 60
take action such as reporting 72
take action upon the subject 80
take anything from the natives 40
take blood from the patient 110
take books from the library 1148
take books from the shelves 98
take class time to discuss 55
take every care to palliate 43
take every care to prevent 101
take every means to prevent 227
take every month an account 83
take every step to prevent 144
take every step to protect 70
take extra care to prevent 62
take extra care to protect 130
take extra time to explain 63
take extra time to prepare 51
take human life or inflict 140
take might well be doubted 98
take money from my parents 52
take money from the company 98
take money from the pockets 170
take money from the treasury 248
take notes during the lecture 198
take notes during the sessions 48
take place along the following 142
take place along the surface 82
take place among the members 844
take place among the natives 62
take place among the parties 53
take place among the tartars 72
take place among the workers 40
take place during or following 41
take place during the absence 47
take place during the college 115
take place during the colonial 49
take place during the current 390
take place during the daytime 384
take place during the following 866
take place during the gradual 79
take place during the greatest 139
take place during the hardening 48
take place during the holiday 40
take place during the journey 73
take place during the monsoon 51
take place during the natural 45
take place during the neonatal 44
take place during the passage 316
take place during the preceding 103
take place during the present 618
take place during the process 2668
take place during the program 63
take place during the project 170
take place during the regular 127
take place during the remaining 89
take place during the removal 42
take place during the service 199
take place during the several 41
take place during the storage 88
take place during the transit 41
take place during the weekend 80
take place early in january 95
take place early in october 129
take place early the following 247
take place from the ancient 75
take place from the beginning 710
take place from the central 61
take place from the general 71
take place from the interior 180
take place from the outside 217
take place from the present 88
take place from the primary 46
take place from the stomach 373
take place from the surface 1145
take place from the vessels 55
take place into the anterior 119
take place into the bladder 64
take place into the interior 106
take place into the pleural 141
take place into the stomach 59
take place into the superior 43
take place into the tissues 49
take place only at certain 383
take place only by consent 43
take place only if certain 74
take place only in certain 301
take place only in marriage 43
take place only in private 47
take place only in relation 108
take place only in respect 83
take place only in solution 53
take place only on account 51
take place only on certain 187
take place only on neutral 54
take place only on sundays 77
take place over the counter 131
take place over the following 244
take place over the network 66
take place over the surface 80
take place over the weekend 285
take place till the beginning 276
take place till the following 1461
take place till the general 48
take place upon the addition 66
take place upon the arrival 82
take place upon the following 109
take place upon the occasion 50
take place upon the request 51
take place upon the subject 125
take place upon the surface 517
take place well in advance 261
take place when it becomes 100
take place when the animals 48
take place when the centers 42
take place when the central 43
take place when the circuit 51
take place when the company 94
take place when the country 54
take place when the current 267
take place when the following 264
take place when the machine 46
take place when the material 114
take place when the maximum 115
take place when the members 50
take place when the mixture 40
take place when the muscles 45
take place when the natural 57
take place when the parents 57
take place when the parties 140
take place when the patient 759
take place when the present 93
take place when the process 53
take place when the product 50
take place when the solution 58
take place when the stomach 144
take place when the student 82
take place when the subject 241
take place when the surface 71
take scope over the subject 64
take slips from the library 50
take space here to discuss 46
take trips into the country 58
take turns making up stories 43
take turns reading the passage 109
take under view the effects 44
take walks into the country 101
take warning from my example 140
take warning from my unhappy 139
take warning from the example 579
take warning from the history 88
take warning from the results 40
take water from the village 87
taking blood from the patient 84
taking books from the library 229
taking books from the shelves 118
taking every means to prevent 41
taking money from my parents 48
taking money from the company 87
taking money from the germans 50
taking money from the pockets 124
taking money from the treasury 114
taking place along the northern 76
taking place along the western 44
taking place among the country 61
taking place among the members 165
taking place among the workers 95
taking place during the current 52
taking place during the following 60
taking place during the passage 68
taking place during the preceding 224
taking place during the present 193
taking place during the previous 121
taking place during the process 427
taking place during the storage 53
taking place from the beginning 388
taking place from the earliest 58
taking place from the surface 294
taking place over the previous 127
taking place over the question 70
taking place there at present 91
taking place upon the surface 169
tale would have us believe 43
talk about life in general 221
talk about more in chapter 198
talk about moving in together 100
talk about these in chapter 64
talk about those in chapter 41
talk about ways of improving 106
talk about ways to improve 339
talk about what is happening 3664
talk about what is troubling 303
talk about what is upsetting 48
talk about what is written 47
talk about what we believe 190
talk about when we discuss 73
talk shows such as donahue 55
tape moves past the recording 46
task began from the beginning 103
task could only be carried 92
task force made the following 123
task resting upon the editors 46
task which must be carried 178
task which must be tackled 54
task would seem to require 64
taxi fares from the airport 56
tears leaked from the corners 111
tears running from the corners 72
tears seeping from the corners 52
tears whose halo is religion 96
teeth drove into the scrawny 87
tell about what is happening 177
tell anything from the outside 96
tell others what is happening 55
tell others what to believe 43
tell people what is happening 243
tell people what to believe 158
tell right from the beginning 45
tend still more to promote 55
tent might next be pitched 120
tent working over the returns 41
term comes from the ancient 136
term comes from the chinese 41
term comes from the spanish 256
term could also be applied 242
term could only be applied 54
term loans from the central 118
term loans from the reserve 121
term loans used to finance 98
term might also be applied 105
term might well be applied 71
term often used in relation 66
term often used to explain 41
term often used to express 107
term often used to include 62
term often used to signify 74
term which must be applied 52
term which must be defined 60
term which will be defined 94
term would seem to include 43
term would seem to suggest 44
test could also be applied 53
test shall ever be allowed 69
test which must be applied 414
test which will be applied 88
text books upon the subject 40
text books used in schools 61
text leaves open the question 58
text which reads as follows 54
text would have us believe 97
text would seem to suggest 89
their abode among the pioneers 41
their action upon the central 55
their action upon the nervous 154
their action upon the subject 115
their action upon the tissues 115
their action will be subject 57
their alarm upon an occasion 55
their alter egos in lobbies 68
their appeal from the decision 62
their appeal from the justice 49
their author from the beginning 52
their backs ride the brokers 44
their backs trying to imitate 41
their backs upon the company 79
