ten years i should have 79
than even a friend there 67
than even a standing army 104
than ever i should have 120
than from a broken heart 49
than from a floppy disk 58
than from a mental health 59
than half a billion tons 70
than half a billion years 545
than half a degree away 44
than half a degree from 162
than half a german mile 48
than half a million cars 112
than half a million deaths 147
than half a million died 52
than half a million during 75
than half a million from 82
than half a million full 44
than half a million have 301
than half a million jews 478
than half a million jobs 208
than half a million live 92
than half a million more 359
than half a million other 55
than half a million over 143
than half a million such 80
than half a million tons 1636
than half a million were 530
than half a million when 40
than half a million years 1449
than half a million young 209
than half a minute from 127
than half a minute there 144
than half a minute when 116
than half a second from 51
than half a square foot 74
than half a square inch 345
than half a square mile 1593
than having a norman nose 41
than just a little time 43
than just a memory book 66
than just a pretty face 2472
than just a pretty girl 49
than just a simple case 57
than just a useful tool 50
than make a mental note 46
than miss a greater good 47
than once i rolled over 62
than once i should have 160
than take a lesson from 51
than upon a standing army 47
than what a person says 48
than what i already feel 45
than what i already have 166
than what i already knew 155
than what i already know 146
than what i already told 56
than what i borrow from 76
than what i learned from 116
than what i myself have 76
than what i should find 50
than what i should have 195
than when i parted from 90
than when i sailed from 74
than when i walked into 71
than whom a spirit more 743
that adds a little more 89
that bars a person from 50
that bears a double meaning 114
that bears a holier name 67
that body a letter from 55
that brings a person into 107
that came a blinding rush 66
that came a letter from 96
that case i accept your 40
that case i should come 50
that case i should feel 96
that case i should give 62
that case i should have 2611
that case i should hope 68
that case i should keep 41
that case i should know 51
that case i should leave 51
that case i should like 291
that case i should lose 52
that case i should only 74
that case i should send 54
that case i should think 230
that case i should want 81
that cast a golden glow 68
that cast a shadow like 146
that cast a shadow over 2002
that cast a shadow upon 223
that city a second time 48
that cost a little more 197
that dealt a serious blow 40
that dealt a severe blow 244
that during a greater part 53
that during a recent trip 64
that even a casual reading 125
that even a cotton thread 83
that even a genius like 147
that even a higher rate 42
that even a little girl 198
that even a little more 111
that even a modest rise 42
that even a person like 272
that even a pretty fair 134
that even a slight gift 41
that even a slight rise 130
that even a writer like 108
that even i should have 73
that ever a savage made 41
that ever i looked upon 188
that ever i should come 121
that ever i should find 126
that ever i should have 926
that ever i should live 930
that ever i waited upon 69
that fact a secret from 97
that fell a little over 78
that felt a little like 113
that form a canopy over 103
that form a closed loop 255
that form a crucial part 66
that form a gathering fund 48
that from a fairly early 167
that from a public health 234
that from a standing army 48
that gave a fuller meaning 46
that girl i should have 76
that half a billion years 96
that half a million jews 183
that half a million jobs 81
that half a million more 108
that half a million tons 115
that half a million were 42
that half a million years 145
that half a million young 41
that half a minute when 83
that have a cloven hoof 45
that have a common base 88
that have a common bond 40
that have a common core 41
that have a common edge 51
that have a common form 49
that have a common goal 153
that have a common meaning 140
that have a common name 102
that have a common root 136
that have a common side 151
that have a common theme 262
that have a common thread 57
that have a crucial bearing 112
that have a crucial role 62
that have a deeper meaning 64
that have a direct bearing 12606
that have a direct link 146
that have a direct role 57
that have a double bond 122
that have a double meaning 159
that have a double plot 92
that have a fairly good 49
that have a fairly high 138
that have a finite life 103
that have a global reach 126
that have a greater need 47
that have a greater range 56
that have a greater risk 87
that have a higher cost 85
that have a higher rate 192
that have a higher ratio 61
that have a higher risk 383
that have a little more 276
that have a narrow base 45
that have a narrow range 131
that have a plural form 75
that have a return type 47
that have a simple form 43
that have a special bearing 238
that have a special kind 77
that have a special meaning 2889
that have a special need 41
that have a special role 67
that have a tender meaning 51
that have a unique meaning 125
that have a useful life 1278
that held a prince went 45
that held a special meaning 54
that here a maiden lies 101
that here i should find 302
that just a little more 1016
that just a little over 265
that keep a mighty rout 90
that keep a person from 194
that keep a summer mind 200
that kept a person from 82
that leads a double life 41
that leads a person into 51
that lies a little less 95
that like a purple thread 183
that look a little like 989
that made a little more 85
that made a person feel 316
that made a person think 46
that made a person want 217
that make a direct test 45
that make a person feel 534
that make a person good 62
that make a person look 54
that make a person more 461
that make a person want 53
that make a person what 60
that make a profit from 53
that many a gentle mind 230
that many a little made 71
that many a norman lady 169
that means a little more 60
that means i should have 69
that need a little help 55
that need a little more 282
that need a little work 82
that once a person came 91
that once a person dies 182
that once a person gets 252
that only a double door 42
that only a fuller love 81
that only a genius like 126
that only a little less 127
that only a little more 3478
that only a little over 2389
that only a little time 470
that only a master hand 43
that only a master like 44
that only a minute part 161
that only a narrow band 399
that only a narrow belt 99
that only a narrow lane 117
that only a narrow range 840
that only a narrow slit 160
that only a person born 154
that only a person having 41
that only a person like 101
that only a special kind 174
that only a special type 45
that open a window into 92
that over a fairly wide 246
that over a million jews 72
that over a million tons 55
that over a million years 46
that over a narrow range 137
that paid a decent wage 222
that paid a little more 118
that pays a decent wage 333
that pays a higher rate 85
that play a causal role 665
that play a crucial part 275
that play a crucial role 3209
that play a direct role 427
that play a larger role 44
that play a special role 447
that pose a direct threat 118
that pose a greater risk 66
that pose a greater threat 70
that pose a higher risk 97
that pose a serious risk 88
that pose a serious threat 430
that puts a better face 90
that reads a record from 61
that says a person must 46
that says a special race 44
that seem a little more 97
that sent a shiver along 48
that sent a shiver down 1682
that show a higher rate 81
that soon i should dare 75
that soon i should have 122
that such a belief must 321
that such a belief will 221
that such a bright line 65
that such a bright young 40
that such a building must 111
that such a building will 142
that such a causal link 89
that such a charge must 154
that such a charge will 142
that such a charming young 41
that such a choice must 202
that such a choice will 479
that such a clause must 78
that such a clause will 358
that such a couple will 40
that such a course leads 158
that such a course meant 64
that such a course must 998
that such a course were 164
