the b words had highly 46
the k shell are called 52
the p waves are absent 71
the p waves are buried 41
the p waves are hidden 52
the p waves are normal 83
the t stock was traded 41
the t waves are normal 50
the t waves may become 73
the z lines are pulled 53
thing a woman may become 49
thing i asked was whether 66
thing i could bring myself 49
thing i could not accept 46
thing i could not afford 148
thing i could not endure 81
thing i could not figure 585
thing i could not forget 52
thing i could not handle 64
thing i could not manage 40
thing i could see clearly 82
thing i never did before 864
thing i never saw before 502
thing i shall not forget 46
thing i shall say little 51
thing i would lay myself 45
thing i would not forget 54
thing i would not permit 45
to a beaker and boiled 100
to a beaker and treated 51
to a black and watery 210
to a black man before 45
to a black man should 113
to a black oak corner 93
to a black tie dinner 98
to a blind and brutal 50
to a blind and furious 89
to a block and tackle 656
to a blown head gasket 55
to a bluff old fellow 51
to a board and placed 51
to a board and stuffs 62
to a brand new building 89
to a brand new school 66
to a brave and enduring 42
to a brave and honest 44
to a brave man standing 76
to a breach with austria 49
to a breach with england 71
to a breach with france 77
to a breadth and height 51
to a breaking and entering 46
to a brick and mortar 65
to a brief and hollow 48
to a brief and simple 46
to a brief but violent 48
to a broad and varied 258
to a brook that flowed 74
to a buyer and seller 85
to a buyer for resale 54
to a buyer who agrees 79
to a buyer with regard 62
to a cause and effect 632
to a cause that seemed 109
to a chair and buried 60
to a chair and called 53
to a chair and closed 81
to a chair and forced 369
to a chair and gagged 335
to a chair and gently 53
to a chair and handed 69
to a chair and helped 120
to a chair and looked 162
to a chair and opened 40
to a chair and picked 104
to a chair and placed 110
to a chair and poured 120
to a chair and pulled 157
to a chair and pushed 167
to a chair and reached 54
to a chair and stared 61
to a chair and turned 88
to a chair and waited 111
to a chair and walked 41
to a change that occurs 54
to a changing job market 60
to a chest and pulled 47
to a child and allows 104
to a child and expect 81
to a child and family 641
to a child and should 55
to a child old enough 75
to a child tax credit 58
to a child that should 48
to a child then unborn 40
to a child who already 86
to a child who appears 61
to a child who became 51
to a child who called 41
to a child who looked 62
to a child who needed 115
to a child who seemed 70
to a child who should 132
to a child who wanted 92
to a child with autism 224
to a child with cancer 66
to a child with diarrhea 57
to a child with measles 52
to a child with mental 110
to a child with normal 52
to a child with severe 184
to a child with special 250
to a civil and almost 83
to a civil law system 43
to a civil war before 60
to a claim for actual 54
to a claim for arrears 46
to a claim for credit 88
to a claim for damage 108
to a claim for injury 57
to a claim for patent 98
to a claim for refund 220
to a claim for relief 1889
to a claim for unfair 121
to a claim for unjust 49
to a clash with england 44
to a clash with police 41
to a class for itself 367
to a class that neither 49
to a close and another 245
to a close and before 63
to a close and opened 43
to a close and return 97
to a close and searching 120
to a close and severe 45
to a close and turned 45
to a close and winter 41
to a close his career 76
to a close long before 283
to a close our review 90
to a close our survey 129
to a close this record 43
to a close this section 59
to a close this series 96
to a close this sketch 72
to a close this survey 47
to a close with another 248
to a close with little 126
to a close with prayer 54
to a court and emerge 61
to a court and obtain 57
to a court for relief 403
to a court for review 130
to a craving for something 45
to a craving for sweets 41
to a crawl and looked 49
to a crawl and pulled 50
to a crawl and turned 66
to a creek that flowed 43
to a crisp and served 58
to a cross and killed 83
to a crowd that filled 74
to a cruel and savage 62
to a cruel and unjust 142
to a cruel and violent 44
to a daily and hourly 53
to a dance and supper 82
to a dance with someone 56
to a danger that hourly 71
to a danger that seemed 44
to a dealer for repair 40
to a dealer for resale 114
to a deity who claims 53
to a dimly lit corner 60
to a diner for coffee 70
to a drier and warmer 121
to a dungeon and chains 52
to a false and hollow 44
to a father who worked 87
to a fault and always 81
to a feeling that something 187
to a fence and looked 51
to a final and crucial 42
to a finer and harder 56
to a finer and higher 49
to a finer and nobler 56
to a first aid station 455
to a first and second 401
to a fixed and stable 132
to a fleet that should 73
to a force and couple 67
to a force that raises 49
to a force that varies 75
to a frame and temper 292
to a frank and honest 58
to a freer and fuller 51
to a freer and larger 45
to a fresh and active 68
to a ghost who dwells 95
to a glass jar filled 72
to a grave and learned 53
to a grave and serious 79
to a grave and tragic 100
to a green and yellow 126
to a green that slopes 123
to a grief and anguish 45
to a group that already 193
to a group that called 72
to a group that seemed 44
to a group that shares 420
to a group that wanted 56
to a group who called 54
to a group with common 135
to a group with shared 141
to a growing dna strand 127
to a guest that looked 41
to a happy and normal 45
to a happy and secure 128
to a happy and speedy 292
to a happy and stable 41
to a happy and useful 191
to a healthy and active 127
to a healthy and normal 180
to a healthy and robust 52
to a healthy and stable 70
to a hearty and florid 217
to a hotel and called 44
to a hotel for dinner 199
to a house and family 48
to a house and garden 213
to a house for public 45
to a house that looked 254
to a house that seemed 179
to a house that stands 44
to a house with intent 163
to a house with lights 57
to a human being before 118
to a human being except 106
to a human being instead 52
to a human being through 85
to a human being unless 57
to a human being without 110
to a human eye should 43
to a human head should 70
to a hungry and thirsty 73
to a hungry man except 90
to a hunting and gathering 816
to a hunting seat belonging 47
to a joule per second 44
to a judge than bodily 93
to a knowing and serious 61
to a large and active 137
to a large and admiring 146
to a large and almost 57
to a large and deeply 273
to a large and direct 166
to a large and earnest 40
to a large and exacting 42
to a large and heavily 45
to a large and highly 474
to a large and imposing 59
to a large and learned 57
to a large and select 55
to a large and serious 344
to a large and stable 57
to a large and stormy 108
to a large and sudden 65
to a large and useful 50
to a large and varied 1765
to a large and widely 60
to a large area around 119
to a large bay window 100
to a large but finite 309
to a large new building 147
to a large oil painting 211
to a large one merely 62
to a large real estate 59
to a later and greater 41
to a later and higher 72
to a league with france 45
to a legal aid office 49
to a lengthy and costly 41
to a level and cleanly 43
to a level but little 141
to a level far beyond 445
to a level far greater 53
to a level far higher 163
to a level low enough 1349
to a level not higher 100
to a level not reached 77
to a level that allows 1036
to a level that almost 52
to a level that appears 61
to a level that avoids 46
to a level that better 106
to a level that caused 101
to a level that causes 583
to a level that covers 78
to a level that creates 51
to a level that equals 115
to a level that seemed 41
to a level that should 106
to a level that yields 50
to a level with angelic 63
to a level with brutes 89
