the accelerator and shot forward 47
the adolescents and their parents 413
the adventurers and their arrival 52
the agriculture and food research 202
the agriculture and food sectors 157
the agriculture and health sectors 44
the agriculture and mining sectors 186
the alternative lay only between 73
the alternative that most closely 88
the alternative that will produce 73
the alternative that will provide 62
the ambassadors and other foreign 47
the ambassadors and other members 40
the ambassadors who from several 70
the ambassadors who their brethren 84
the ambassadors who were present 55
the antiquities and early history 46
the appointment had been arranged 61
the appointment had been offered 187
the appointment was made because 121
the appointment was made official 45
the apprentices and their masters 48
the archbishops and many bishops 127
the archipelago are half nomadic 44
the aristocracy and high society 46
the aristocracy and ruling classes 54
the aristocracy and their friends 62
the arrangements are more complex 49
the arrangements for their comfort 135
the arrangements for their control 54
the arrangements for their journey 95
the arrangements for their marriage 101
the arrangements for their welfare 56
the arrangements for those islands 102
the arrangements for your journey 49
the arrangements for your marriage 42
the arrangements had been carried 78
the arrangements had been settled 69
the australasian and south african 113
the authenticity has been doubted 60
the authorization had been granted 59
the authorization has been granted 87
the bibliography for full details 132
the bibliography for more details 159
the bibliography has been brought 168
the bibliography has been divided 90
the bibliography has been limited 52
the bibliography has been revised 63
the bibliography has been updated 144
the brigantines had been wrecked 68
the broadcaster and will contain 132
the burgomaster and city council 42
the burgomaster and town council 76
the burgomaster had been invited 74
the butterflies and other animals 98
the butterflies and other insects 233
the calculations are more complex 227
the calculations are much simpler 106
the calculations are very similar 62
the calculations had been carried 44
the californians who were thrilled 54
the candlestick has been removed 73
the capillaries and other vessels 76
the capitalists and their friends 87
the capitalists and their lackeys 76
the capitalists and their marauding 55
the carthaginians had been defeated 46
the catastrophe had been brought 69
the certificate had been granted 120
the certificate has been granted 264
the certificate has been revoked 276
the certificate has been withheld 45
the chairperson and other members 176
the chandeliers and silk stockings 43
the chlorophyll has been removed 66
the chromosomes and their behavior 81
the chromosomes are held together 78
the chromosomes that were present 91
the circulatory and other systems 44
the cockroaches and other insects 70
the coefficients are much smaller 60
the coefficients are very similar 76
the colonialists and their lackeys 49
the combinations that make perfect 47
the comfortable and rich classes 50
the commissariat for home affairs 64
the commissioner for home affairs 107
the commissioner for such purpose 463
the commissioner that such exchange 94
the commissioner that such failure 69
the commitments and take account 66
the commitments they have entered 153
the communities and their members 81
the communities that have adopted 40
the communities that were studied 48
the communities they have studied 74
the comparisons are made between 275
the comparisons being made between 67
the comparisons they made between 43
the comparisons they make between 67
the compensation for such service 80
the compensation for their service 40
the compensation they will receive 84
the compensation was made payable 54
the competitors and their friends 43
the complainant and other material 85
the complainant and other persons 51
the complainant has been injured 44
the complicated and time consuming 66
the compositions you have written 74
the compositors and other workmen 41
the compressive and shear strengths 80
the computations are more complex 141
the computations are much simpler 69
the condemnation has been brought 66
the confederacy had been defeated 99
the confederacy had been founded 50
the confederacy had been severed 40
the conferences for peace between 53
the conferences had been usually 46
