take pay 44 take his 152
take his 72 talk men 109
task his 68 task too 69
tell you 49 tell they 41
tell they 99 tell you 59
term any 55 term then 59
term was 72 term not 89
term not 275 term any 128
term being 47 term each 76
term his 262 term non 105
term not 172 term one 88
term six 48 term this 44
term two 81 term not 93
term not 90 term that 73
term can 49 term may 150
term not 171 test and 47
test then 47 test two 146
test use 54 test not 64
test not 117 test each 119
test this 109 theory that 43
theory his 54 theory its 57
theory its 94 theory not 59
theory its 75 theory and 308
theory can 49 theory has 93
theory that 276 theory was 70
there may 76 there say 40
there all 55 there them 103
there two 40 there you 40
there not 60 there and 42
there that 212 there and 95
there for 94 there fat 49
there its 50 there this 60
there any 48 there both 79
there doing 101 there his 58
there its 109 there not 81
there our 54 there that 59
there them 44 there this 588
there using 230 think his 59
think his 267 think its 594
think that 42 think god 41
those and 78 those are 40
those and 67 those are 213
threat death 73 threat and 45
ties and 98 till you 45
time own 41 time his 40
time each 42 time for 86
time that 92 time him 86
time for 45 time not 53
time that 50 time this 47
time going 42 time was 64
told his 40 told she 48
told she 50 told his 51
told she 46 told they 260
told they 48 told they 148
told she 178 told they 107
told they 146 told she 87
told his 59 tons day 81
tons year 43 tons day 137
took and 48 took for 59
trial she 81 true are 51
truth not 56 truth can 50
type meal 55 type has 49
type was 83 type was 49
type not 116 type can 96
type goes 52 type was 42
type are 42 type not 50
type its 43 type can 88
type may 70 type are 48
type not 41 type not 74
type not 65 type can 171
type has 89 type are 103
type can 49 type out 49
