tables keep a great map 42
talked like a very weak 59
talked like a young man 78
talked over a good deal 49
taught from a young age 436
taught once a week for 47
tavern during a fair than 47
teacher have a clear idea 50
teacher into a good one 58
teacher says a word and 56
temper when i tell you 65
tender part i need not 47
terror when i heard his 47
tested once a week for 44
theology owes a great deal 41
theories have a great deal 116
therapy once a week and 62
therapy once a week for 205
thereby hangs a tale that 267
thereby learn a great deal 51
thereby lose a great deal 55
thereby losing a great deal 69
thereby lost a good deal 63
thereby lost a great deal 46
thereby save a great deal 87
thereby saving a good deal 40
thereby saving a great deal 209
therein lies a great deal 48
thought having a baby was 63
thought into a form that 51
thought many a time that 88
thought owes a great deal 95
thought such a great man 107
thought such a move was 51
thought such a step was 48
thought there i must end 57
thought what a fool she 71
thought what a good idea 130
thought what a good man 41
thought what a nice man 41
thought what a pity that 123
thought what i said was 150
thought what i told you 111
thought when a pane was 49
thought when i came out 238
thought when i heard him 130
thought when i heard that 140
thought when i heard this 44
thought when i heard you 171
thought when i last saw 81
thought when i left him 44
thought when i left you 44
thought when i sent rum 45
thought when i told him 113
thought when i told you 100
through fire i will for 166
through having a rich and 85
through here a week ago 137
through life a fair and 61
through life i have had 67
through life i have met 52
through many a cold and 45
through many a coming year 97
through many a dark and 522
through many a dark day 98
through many a hard day 79
through many a past year 115
through many a trial and 65
through many a weary and 64
through many a weary day 192
through many a weary year 97
through only a very few 71
through such a body that 109
through such a living death 76
through such a rich and 109
through such a time and 44
through what i have and 82
through what i have had 43
through whom i made his 41
thunder from a blue sky 53
thunder from a clear sky 1305
timber when a young man 43
tissue into a ball and 61
tissue over a wide area 49
tossed from a moving car 52
toward such a goal are 41
traced back a very long 51
traced over a wide area 131
traded over a wide area 220
training from a young age 95
travel along a bent path 60
travel along a road that 43
travel into a very far 106
travel over a good deal 133
travel over a great deal 43
travel over a vast area 42
travel over a wide area 260
treated like a baby and 86
treated like a great man 52
treated like a hero and 65
treated like a lady and 90
treated once a week for 82
treated once a week with 65
tribes over a wide area 62
triple into a home run 43
troops over a wide area 95
troops were a good deal 46
troops were a mere mob 72
tucked into a warm bed 52
tuition cost a great deal 40
tumbling from a sack and 48
tumors have a very low 45
tunnel half a mile long 254
tunnel over a mile long 127
turned away i heard him 48
turned back a page and 124
turned down a dark and 40
turned down a date with 187
turned down a free meal 101
turned down a good job 100
turned down a lane and 124
turned down a lane that 128
turned down a plan for 50
turned down a road and 45
turned down a road that 208
turned down a side path 86
turned into a base for 322
turned into a beast and 62
turned into a bird and 350
turned into a bird with 62
turned into a book and 68
turned into a book that 41
turned into a boon for 68
turned into a bull and 57
turned into a cafe and 75
turned into a call for 78
turned into a calm and 126
turned into a camp for 149
turned into a cash cow 45
turned into a club for 100
turned into a cold and 90
turned into a cold war 95
turned into a crow and 54
turned into a dark and 181
turned into a deep and 73
turned into a deer and 104
turned into a dirt path 43
turned into a dove and 171
turned into a film and 43
turned into a fine art 186
turned into a fine man 46
turned into a fish and 117
turned into a form that 132
turned into a fort and 55
turned into a frog and 121
turned into a fund for 76
turned into a gale and 40
turned into a game and 59
turned into a game for 69
turned into a game with 66
turned into a gate and 44
turned into a girl and 69
turned into a good man 73
turned into a good one 187
turned into a great and 80
turned into a great big 100
turned into a hall for 43
turned into a hard and 65
turned into a hare and 58
turned into a hawk and 86
turned into a home for 485
turned into a huge and 57
turned into a hunt for 56
turned into a jail for 79
turned into a lake and 48
turned into a lane and 119
turned into a lane that 259
turned into a living being 47
turned into a longing for 57
turned into a lump sum 51
turned into a mart for 126
turned into a means for 310
turned into a month and 42
turned into a need for 40
turned into a park and 150
turned into a park for 68
turned into a park with 111
turned into a plan for 71
turned into a play and 136
turned into a race for 92
turned into a race riot 177
turned into a rage that 42
turned into a rich man 57
turned into a road and 81
turned into a road that 422
turned into a rock and 80
turned into a room for 129
turned into a room near 56
turned into a room that 131
turned into a room with 66
turned into a rout and 237
turned into a rout for 91
turned into a rout that 41
turned into a rout with 75
turned into a shop and 62
turned into a shop for 44
turned into a sick bay 41
turned into a side path 221
turned into a site for 63
turned into a stag and 324
turned into a star and 46
turned into a swan and 72
turned into a thief and 53
turned into a toad and 51
turned into a tool for 334
turned into a trap for 103
turned into a tree and 105
turned into a tree with 48
turned into a vast and 97
turned into a vast pit 45
turned into a very bad 70
turned into a very big 90
turned into a very long 128
turned into a very old 76
turned into a very real 89
turned into a ward for 41
turned into a warm and 55
turned into a week and 70
turned into a wild and 91
turned into a wild man 119
turned into a wolf and 220
turned into a wolf for 64
turned into a wood and 41
turned into a young man 248
turned onto a dirt path 48
turned onto a road that 437
turned over a good deal 93
turned over a great deal 72
turned over a page and 190
turned over a rock and 123
twelve days i need not 45
twelve years i have had 224
twelve years i have not 175
twenty days i will not 45
twenty years a great deal 272
twenty years i bore and 68
twenty years i have had 731
twenty years i have met 46
twenty years i have not 679
twenty years i have read 140
twenty years i have sat 71
twenty years i knew him 78
