tax to 112 ten in 45
than to 160 than the 76
than of 47 than to 82
than the 84 than at 105
than of 161 than of 43
than the 40 than to 43
than to 49 than of 110
than of 49 than in 63
than the 57 than of 74
than in 82 than to 96
than at 57 than in 1270
than on 69 than at 47
than in 70 than to 43
than the 168 than the 69
than to 1442 than by 40
than in 83 than in 161
than the 57 than to 98
than of 64 than to 40
than in 45 than in 63
than to 50 than at 108
than to 41 than the 89
than to 63 that to 40
that the 40 that of 332
that of 133 that on 41
that in 43 that us 215
that the 73 that the 41
that the 66 that or 59
that the 256 that to 40
that of 190 that is 184
that the 798 that the 61
that to 51 that the 171
that the 420 that of 87
that in 147 that in 46
that in 63 that on 85
that of 47 that in 45
that to 60 that of 103
that the 66 that us 62
that on 45 that to 41
that of 105 that on 82
that of 57 that on 46
that on 522 that on 184
that of 554 that the 40
that the 1184 that the 80
that of 97 that the 151
that the 48 that in 44
that the 41 that the 49
that on 216 that on 360
that on 69 that on 249
that on 598 that on 56
that me 215 that the 58
that in 865 that on 300
that in 70 that as 115
that in 281 that to 46
that the 294 that to 44
that to 113 that to 182
that the 221 that to 81
that of 95 that the 57
that on 214 that in 40
that of 95 that of 73
that the 45 that the 51
that to 73 that to 125
that the 205 that he 69
that of 110 that of 93
that of 51 that the 130
that on 82 that as 72
that so 48 that of 40
that of 47 that by 42
that of 90 that to 228
that the 126 that to 49
that the 116 that of 72
that to 54 that of 137
that of 430 that on 42
that the 172 that the 138
that the 126 that the 112
that in 111 that to 862
that in 71 that of 78
that the 41 that in 54
that the 328 that the 94
that in 52 that is 110
that of 42 that the 64
that the 529 that the 81
that to 288 that the 150
that is 53 that in 105
that of 204 that in 87
that of 155 that to 128
that of 59 that to 57
that is 146 that is 223
that the 49 that us 298
that to 45 that to 214
that of 114 that of 125
that of 107 that the 47
that of 129 that of 49
that the 46 that the 160
that the 40 that to 60
that of 125 that of 57
that in 40 that in 400
that the 121 that the 51
that as 104 that to 47
that is 64 that on 51
that to 1126 that to 52
that to 87 that to 119
that to 122 that to 74
that the 80 that on 83
that in 44 that of 42
that of 121 that of 183
that be 243 that the 61
that or 46 that to 275
that to 50 that it 89
that the 60 that of 51
that of 81 that of 71
that to 191 that as 112
that as 71 that as 110
that as 41 that to 49
that on 236 that in 182
that in 192 that of 84
that of 213 that on 103
that me 56 that the 1222
that the 185 that the 62
that to 131 that to 158
that the 114 that an 430
that the 694 that to 50
that in 54 that the 49
that in 146 that is 255
that is 85 that on 91
that to 149 that is 94
that is 261 that is 86
that of 91 that the 58
that on 101 that to 48
that on 100 that is 115
that is 42 that in 267
that the 111 that is 46
that is 99 that is 95
that the 205 that the 43
that in 53 that to 344
that to 143 that the 98
that the 52 that in 246
that is 224 that on 426
that on 252 that is 336
that is 140 that the 373
that on 1208 that is 135
that is 56 that is 239
that on 138 that an 92
that in 202 that in 99
that an 58 that in 83
that in 95 that to 44
that to 46 that to 73
that the 81 that of 50
that the 54 that the 50
that an 47 that in 121
that the 210 that of 42
that the 45 that be 57
that the 93 that of 41
that the 69 that of 69
that of 74 that be 43
that to 155 that the 89
that of 84 that as 143
that in 59 that the 161
that of 45 that the 59
that the 58 that an 53
that the 56 that of 57
that to 47 that of 131
that the 52 that of 49
that of 56 that on 43
that the 64 that of 68
that to 80 that to 63
that the 44 that of 67
that the 227 that to 50
that to 46 that to 85
that on 57 that of 58
that the 98 that in 112
that the 158 that to 58
that to 43 that in 94
that by 107 that in 51
that the 82 that by 49
that to 82 that to 69
that to 49 that to 81
that the 163 that it 82
that the 1351 that the 164
that to 60 that to 406
that to 3613 that to 43
that the 49 that to 143
that to 222 that the 49
that to 124 that the 531
that us 55 that of 51
that on 128 that as 153
that by 97 that to 55
that by 117 that to 75
that in 42 that of 69
that the 40 that to 90
that of 48 that in 86
that the 62 that by 41
that the 63 that in 45
that in 40 that us 42
that the 130 that to 62
that the 160 that the 40
that by 48 that of 76
that to 65 that to 78
that of 75 that to 70
that to 47 that in 79
that to 348 that to 60
that by 108 that in 46
that the 50 that the 58
that of 58 that in 113
that to 107 that of 101
that by 68 that to 62
that to 220 that to 41
that to 86 that to 997
that the 47 that to 52
that in 569 that is 990
that to 84 that is 43
that to 65 that the 181
that us 735 that to 207
that to 102 that is 47
that on 58 that the 51
that the 53 that the 111
that the 65 that in 50
that as 43 that in 50
that the 78 that the 239
that the 41 that the 103
that the 158 that the 52
that in 70 that the 59
that on 129 that to 46
that the 93 that to 94
that an 83 that to 165
that the 49 that me 111
that the 115 that on 154
that is 104 that to 60
that of 41 that to 108
that by 60 that do 95
that us 49 that the 74
that on 149 that is 46
them the 41 them on 64
them in 47 them by 63
them the 40 them the 41
them to 89 them to 62
them to 69 them to 51
them of 110 them to 64
them the 95 them the 47
them the 110 them to 40
them the 42 them the 40
them of 62 them in 57
them in 44 them the 64
them of 42 them by 49
them to 54 them to 68
them the 129 them to 45
them to 120 them the 46
them to 98 them of 40
them of 123 them by 60
them in 58 them by 69
them or 56 then by 49
then the 68 then of 51
then of 50 then the 72
then the 46 then to 58
then as 44 then of 52
then me 48 then to 64
then to 62 they in 43
they the 51 they in 46
they of 90 they to 55
they the 41 they by 88
they to 57 they to 59
they the 55 they the 84
they of 85 they to 41
they of 52 they in 206
they the 48 they the 80
they as 111 they to 69
they of 72 they at 74
they of 268 they in 83
they of 157 they to 253
they of 92 they of 66
they the 61 they the 48
they in 48 they to 153
they in 86 they in 43
they of 61 they the 45
they on 129 they of 134
they in 47 they the 166
they on 304 they on 90
they on 86 they in 68
they on 269 they me 3259
they the 261 they it 62
they the 43 they in 44
they to 51 they to 80
they to 623 they the 132
they to 50 they in 43
they to 70 they to 52
they the 110 they the 45
they the 49 they to 66
they to 47 they of 260
they of 87 they to 76
they to 50 they of 44
they to 75 they to 61
they on 62 they to 43
they to 109 they to 92
they to 60 they the 53
they the 85 they to 46
they as 41 they in 41
they to 45 they of 41
they the 78 they to 65
they to 45 they in 64
they it 43 they the 59
they the 69 they the 48
they to 40 they to 61
they of 48 they to 40
they of 63 they of 68
they to 119 they to 59
they in 47 they to 41
they to 119 they the 44
they the 51 they to 108
they the 50 they to 90
they to 48 they of 247
they in 44 they or 53
they of 50 they to 75
they by 41 they to 86
they of 41 they to 142
they to 145 they to 80
they of 159 they or 59
they to 131 they the 68
they to 50 they to 41
they to 93 they in 44
they of 183 they to 185
they to 79 they at 121
they in 241 they to 100
they in 65 they to 87
they to 124 they to 56
they to 97 they to 50
they by 478 they in 298
they of 81 they to 42
they by 42 they of 53
they the 74 they to 53
they the 46 they to 114
they of 70 they to 67
they of 66 they on 49
they to 232 they by 401
they in 48 they to 773
they by 48 they to 67
they by 67 they at 41
they in 88 they in 98
they in 45 they the 45
they to 53 they to 41
they of 169 they to 58
they the 47 they of 157
they of 220 they the 99
they to 88 they to 238
they to 70 they the 188
they to 52 they the 209
they in 69 they by 161
they to 101 they the 41
they of 73 they to 137
they by 116 they in 66
they the 41 they to 76
they an 45 they the 1674
they to 49 they the 386
they by 88 they to 164
they to 227 they to 835
they to 85 they of 97
they to 52 they to 53
they the 152 they as 63
they in 74 they the 138
they up 99 they of 136
they in 43 they by 41
they by 60 they in 42
they to 159 they to 81
they by 47 they to 194
they the 58 they to 51
they by 42 they to 139
they of 203 they to 181
they to 72 they to 55
they by 41 they to 142
they of 72 they of 75
they of 130 they to 103
they of 47 they by 191
they in 40 they by 63
they to 74 they by 287
they by 50 they by 65
they to 54 they by 71
they by 46 they by 169
they to 166 they by 98
they by 46 they to 108
they to 64 they of 42
they to 44 they in 94
they of 60 they to 231
they to 67 they of 51
they the 47 they by 57
they by 44 they to 88
they it 59 they the 532
they of 92 they by 46
they the 51 they the 77
they the 44 they the 51
they of 68 they to 52
they to 81 they to 50
they of 281 they the 47
they of 53 they the 91
they to 41 they of 114
they the 51 they in 54
they to 54 they by 86
they by 52 they in 87
they to 66 they at 68
they to 61 they of 43
they to 42 they to 64
they in 87 they to 44
they to 52 they to 56
they of 54 they of 40
they to 89 they by 57
they of 56 they the 89
they of 52 they the 130
they by 49 they to 117
they of 210 they of 42
they of 83 they to 71
they to 60 they to 40
they by 53 they in 48
they to 90 they of 98
they to 40 they in 167
they by 41 they by 40
they to 49 they by 59
they to 70 they to 56
they to 43 they in 51
they in 58 they of 172
they to 51 they in 102
they to 104 they to 213
they to 239 they to 59
they in 40 they to 83
they of 57 they of 305
they at 99 they by 305
they in 217 they to 65
they the 53 they to 48
they the 173 they to 55
they the 44 they on 64
