tail long and deeply forked 117
take all his powers wholly 63
take far too little notice 41
take his own course without 149
take his seat without further 43
take its own course without 254
take off any person unless 110
take off his clothes before 94
take with them neither wagons 43
taking his own sheathed rapier 55
taking off his alpaca jacket 50
tale that was already common 76
talk with her before dinner 145
talk with one another before 40
talk with one another through 58
talk with one another without 112
talk with that simple fellow 48
task and its limits permit 43
tears that had before filled 65
tears that now flowed freely 43
tell all that sparta wished 44
tell you all without omitting 49
tell you her little secret 65
tell you how little chance 58
tell you that christ became 157
tell you that public opinion 66
tell you that robert browning 65
tell you that unless something 42
tell you who someone sleeps 43
term can not extend beyond 52
term did not become common 52
term does not extend beyond 127
term that has become common 54
term that has become widely 75
test out our latest weapons 83
text box and choose format 124
text for this lovely strain 49
text for this second edition 55
text with this annual edition 363
thank you with solemn unction 75
their age and family status 45
their age and mental strength 41
their air and ground forces 100
their all and barely escaping 54
their car and walked toward 69
their dead and thereby deranging 49
their eating and drinking habits 334
their eating and sleeping habits 160
their idea can realize itself 89
their law was openly proved 40
their long and famous retreat 54
their long and gloomy aisles 180
their long and stormy voyage 59
their long and tedious voyage 81
their long and tedious winter 47
their lot was little better 88
their own and allied fields 49
their own and another person 110
their own real estate holdings 41
their own red velvet carpet 83
their own way through school 154
their own way without further 53
their own way without regard 161
their red and purple spikes 47
their red and yellow colors 43
their red and yellow lights 46
their top and bottom flanges 65
their use has become almost 42
their use has become common 73
their way for lights beyond 56
their way not without wounds 86
their way they passed through 945
their zeal and public spirit 149
their zeal was turned almost 42
theory does not differ greatly 45
theory has had little impact 97
theory that our higher states 67
there are any ethical issues 40
there are any further changes 129
there are any further points 69
there are any hindus amongst 55
there are any marked changes 43
there are any special events 59
there are any special offers 43
there are any special orders 74
there are any special points 55
there are any special reasons 218
there are any sudden changes 52
there are any syntax errors 117
there are any vacant spaces 97
there are but little bounds 41
there are but slight traces 112
there are but twenty houses 63
there are far better places 41
there are far better reasons 43
there are far darker crimes 72
there are few better judges 56
there are few better methods 45
there are few better places 454
there are few direct traces 64
there are few enough chunks 54
there are few places better 175
there are few places indeed 43
there are few public spaces 46
there are few sadder sights 53
there are few serious papers 163
there are few shared values 43
there are few stopping places 52
there are long delays before 55
there are long periods without 83
there are new brooms bought 46
there are not already enough 44
there are not always enough 634
there are not always standing 131
there are not buyers enough 63
there are not chairs enough 125
there are not cogent reasons 43
there are not enough active 58
