tax and revenue laws of 51
tax being imposed upon the 287
tax his villein high or 46
tax that applied only to 63
tax that applies only to 186
tax that results from the 193
tax was applied only to 53
tax was brought down to 57
tax was derived from the 55
tax was exacted from the 53
tax was imposed during the 66
tax was imposed only on 151
tax was imposed upon the 935
tax was imposed upon us 41
tax was removed from the 64
tax was usually paid in 81
tax was withheld during the 64
tax was withheld from the 135
tax year differs from the 44
tax year resulting from the 74
team can benefit from the 66
team was finally able to 59
team with members from the 74
tear his beloved from the 44
tear his thoughts from the 50
tear that dropped upon it 59
ten and fifteen feet in 115
ten and fifteen feet of 41
ten and fifteen tons of 48
ten and fifteen years in 105
ten and fifteen years of 1212
ten and fifteen years to 81
ten and seventy years of 107
ten and sixteen years of 462
ten and thirteen years of 343
ten men elected from the 40
ten new members into the 57
than any brought from the 86
than any derived from the 72
than any european city at 47
than any european city of 181
than any hitherto seen in 87
than any insight into the 56
than any machine made by 55
than any nominal union of 88
than any previous form of 282
than any previous mode of 81
than any previous part of 78
than any previous time in 150
than any previous type of 90
than any previous work by 53
than any previous work in 52
than any previous work of 251
than any previous work on 73
than any private kind of 122
than any resulting from the 53
than any similar body in 93
than any similar body of 109
than any similar mood of 85
than any similar work in 98
than any similar work of 60
than any variation from the 52
than are derived from the 56
than are imposed upon the 58
than are usually seen in 394
than are usually seen on 90
than are usually used in 64
than being brought into the 53
than being carried away by 130
than being derived from an 45
than being derived from it 62
than being derived from the 296
than being imposed from the 290
than being imposed upon it 147
than being imposed upon the 74
than being limited only to 62
than being released into the 123
than being removed from the 117
than for anybody else in 91
than for anybody else to 57
than for example those of 42
than for infants born to 53
than for similar work in 85
than had appeared during the 65
than had appeared from the 98
than had entered into the 58
than had existed among the 50
than had existed during the 318
than had existed prior to 551
than had existed when the 88
than had hitherto been in 97
than had hitherto been the 3149
than had usually been the 225
than has hitherto been in 172
than has hitherto been the 11948
than has perhaps been the 55
than has usually been the 1070
than her husband during the 131
than her husband from the 65
than his conduct during the 49
than his control over the 42
than his deserts from the 49
than his freedom from the 126
than his friends fish or 51
than his insight into the 44
than his natural gift of 97
than his precious mine to 76
than his present mode of 93
than his removal from the 108
than his tenants used to 101
than his trampling down of 41
than his victory over the 77
than its absence from the 71
than its average cost of 74
than its control over the 85
than its deviation from the 90
than its effects upon the 156
than its enemies think it 55
than its imports from the 71
than its natural rate of 78
than its present rate of 42
than lay himself open to 79
than lip service from the 80
than lip service must be 47
than lip service paid to 114
than lying useless here in 60
than mud derived from the 54
than now devolve upon us 270
than one captain made up 54
than one depending upon the 48
than one derived from an 43
than one derived from the 195
than one deviation from the 44
than one diameter from the 43
than one element from the 66
than one emanating from the 53
than one expects from the 85
than one fiftieth part of 138
than one halogen into an 59
than one hundred days in 166
than one hundred days of 147
than one hundred days to 47
than one hundred during the 47
than one hundred feet at 64
than one hundred feet in 4013
than one hundred feet of 364
than one hundred feet on 64
than one hundred feet to 257
than one hundred from the 76
than one hundred heads of 105
than one hundred sail of 70
than one hundred seats in 49
than one hundred sets of 94
than one hundred tons of 347
than one hundred were in 79
than one hundred years as 415
than one hundred years at 40
than one hundred years by 88
than one hundred years in 651
