take among them exactly the 88
take arms for freedom of 65
take away all courage to 42
take away all freedom of 50
take away all grounds of 94
take away all jealousy of 63
take away all occasion of 551
take away all reliance on 56
take away and abolish the 66
take away and destroy the 995
take away and dispose of 61
take away her ability to 63
take away his ability to 361
take away his dominion to 208
take away his freedom of 84
take away his freedom to 80
take away our ability to 239
take away our freedom of 123
take away our freedom to 144
take away this occasion of 106
take back and dispose of 50
take care and dispose of 74
take care that everything is 227
take care that justice be 156
take care that justice is 110
take care with respect to 52
take down all portions of 107
take down and rebuild the 541
take form and outline in 43
take from each according to 126
take from each quality of 50
take from him burdens of 528
take from him everything he 129
take from one hundred to 45
take from ten minutes to 126
take from this chapter is 227
take from this example is 80
take into any account the 46
take into due account the 849
take into his account the 59
take into his company the 43
take into his council as 63
take into his custody or 522
take into his custody the 250
take into his service the 210
take into its purview the 58
take into our account the 354
take into our reckoning the 89
take into our service the 48
take into our thoughts the 60
take into that century the 47
take just one example in 51
take just one example of 721
take just one example to 85
take leave and liberty to 49
take more for granted if 49
take more for granted in 61
take more than fifteen or 174
take more than fifteen to 59
take much for granted in 132
take nothing for granted as 159
take nothing for granted in 524
take nothing for granted on 85
take nothing for granted or 45
take only one example of 683
take only one example to 40
take only ten minutes of 47
take only ten minutes to 118
take only two minutes to 87
take over all aspects of 726
take over and attempt to 75
take over and conduct in 75
take over and conduct the 138
take over and control the 1202
take over and convert the 46
take over and destroy the 190
take over and develop the 403
take over and dictate the 44
take over and dispose of 99
take over and enlarge the 43
take over and exploit the 105
take over and finance the 43
take over and improve the 88
take over and operate the 3840
take over and perform the 126
take over and provide the 268
take over and replace the 229
take over and restore the 52
take over and utilize the 45
take over any buildings or 57
take over his position as 375
take over his position in 62
take over new portions of 95
take over that function of 42
take over this function in 97
take over this function of 113
take rank and command of 398
take root and blossom in 263
take root and develop in 314
take root and prosper in 107
take root and survive in 83
take some one division of 113
take their own account of 49
take their own affairs in 47
take their own chances in 43
take their own chances of 40
take their own decision in 55
take their own destiny in 103
take their own measures in 94
take their own measures to 151
take their own produce to 57
take their own suppers if 55
take their way towards the 88
take these few minutes to 44
