tax rate marginal tax rate 102
tax rate schedule for single 128
tax their husbands with giving 104
tax your energies too much 128
ten foot soldiers and four 90
than among children who were 47
than among patients with other 95
than bond interest was paid 52
than even sickness had left 136
than ever cromwell had been 99
than ever tiberius had been 57
than four choruses and four 46
than four families that their 44
than four lectures may fall 43
than giving direction doth from 73
than half reported that their 105
than many europeans who have 61
than mere judgment can give 70
than mere suspicion but less 41
than nothing compared with what 44
than once defended this kind 43
than once happened that some 66
than once happened that when 82
than once lamented his having 42
than once observed that when 49
than once overheard one asking 77
than once threatened his life 90
than other behaviors that once 41
than other children who have 70
than other children who were 48
than other students who were 45
than poor clifford was ever 117
than their comrades who were 42
than their education and their 131
than their families and their 65
than their forebears had been 144
than their generous and free 42
than their husbands and sons 118
than their husbands and their 51
than their relations with their 45
than their services are worth 190
than those achieved with other 45
than those children who have 210
than those children who were 211
than those concerning any other 55
than those observed for other 99
than those observed with other 77
than those obtained for other 116
than those obtained for pure 41
than those obtained using only 43
than those obtained using other 99
than those obtained with high 63
than those obtained with more 107
than those obtained with other 437
than those obtained with pure 43
than those obtained with single 87
than those patients who have 130
than those patients who were 196
than those provided for other 44
than those recorded for other 61
than those reported for most 236
than those reported for other 572
than those reported for some 54
than those required for full 51
than those required for high 116
than those required for most 53
than those required for other 191
than those required for their 125
than those respecting any other 47
than those students who have 132
than those students who were 205
than those subjects who were 152
than union soldiers had been 41
than upon possessing that true 59
than were children who were 205
than were patients who were 49
than were remitted him from 75
than were required for their 74
than were students who were 84
than were subjects who were 157
than what suffices for those 94
than when attempts are made 50
than when combined with other 42
than when decisions are made 64
than will children who have 76
than your highness has done 46
that airy situation they were 41
that among creatures led step 59
that among patients who have 101
that among patients who were 105
that anne composed her last 51
that army officers had been 46
that bank reserves are kept 40
that best reflects his mind 40
that blew dismayed her crew 91
that bone formation and bone 40
that boys identify with their 49
that cash payments are made 40
that cash receipts and cash 241
that city dwellers are more 96
that clear horizons and blue 52
that data processing has been 46
that date progress has been 42
that during evolution two great 58
that duty required that their 48
that early diagnosis and early 140
that early hominids may have 189
that early marriages are more 48
that even carnelian rings were 78
that even children who have 286
that even children who were 136
that even heretics had been 189
that even patients who have 187
that even patients with mild 47
that even strangers now came 73
that even students who have 188
that ever abounded with good 47
that ever affected that your 81
that ever afforded its snug 210
that ever almighty god sent 98
that ever happened was when 257
that ever infested any poor 62
that ever strained his lungs 41
that ever threatened our fame 43
that fair europeans are very 57
that fair progress has been 44
that food products are safe 96
that form combined with other 44
that four counties had been 52
that four soldiers had been 45
that four students had been 58
that free elections are held 115
that free radicals may play 117
that full provision had been 93
that full provision has been 324
that full provision was made 52
that full recovery may take 87
that give direction and meaning 162
that good business and good 88
that good decisions are made 316
that good nutrition and good 42
that good progress had been 718
that good progress has been 616
that good progress was made 236
that good radiators are also 40
that good radiators are good 194
that good relations had been 95
that great advances had been 324
that great attention had been 59
that great attention has been 520
that great attention was paid 704
that great conflict for their 68
that great emphasis has been 125
that great emphasis was laid 238
that great exertions are made 127
that great exertions had been 127
that great fortunes are made 367
that great interest had been 63
that great interest has been 133
that great interest was felt 110
that great mischief had been 64
that great mischief was done 55
that great mistakes are made 47
that great mistakes had been 53
that great outrages had been 53
that great pressure had been 182
that great progress had been 1764
that great progress has been 4176
that great progress was made 680
that great republic that lies 49
that great struggle was taking 96
that have abridged his time 129
that have accepted them upon 92
that have affected and will 69
that have affected not only 110
that have attended them during 52
that have attended this great 71
that have beginnings and ends 126
that have branched off from 154
that have branched out from 41
that have departed this life 151
that have enriched this book 48
that have excluded them from 45
that have followed each other 243
that have followed has been 44
that have followed him from 41
that have followed him have 76
that have followed them have 41
that have governed his life 48
that have happened all over 47
that have happened and from 79
that have happened and those 57
that have happened and will 56
that have improved this book 48
that have increased and made 46
that have inferred that what 83
that have informed this book 62
that have obtained for ages 58
that have occurred all over 62
that have occurred and been 45
that have occurred and have 91
that have occurred and their 85
that have occurred and those 87
that have occurred and will 306
that have occurred but also 58
that have occurred but have 216
that have occurred for many 56
that have occurred has been 58
that have occurred not only 93
that have occurred with time 44
that have preceded and those 71
that have preceded and will 114
that have probably not been 81
that have problems with their 48
that have received aid from 41
that have received and held 55
that have received far less 131
that have recently won their 69
that have rendered his name 119
that have resisted all other 162
that have resulted not only 43
that have scarcely yet been 41
that have sequence and meaning 119
that have sprouted all over 59
that have suffered too much 88
that have survived and been 105
that have survived and from 40
that have survived and have 94
that have survived are among 45
that have survived are from 76
that have survived are only 100
that have survived are those 302
that have survived are very 52
that have survived for many 59
that have survived for more 113
that have survived for over 41
that have survived for years 46
that have vanished for ever 56
that have wandered far from 58
that health education and health 131
that health education for self 408
that heavy drinkers are more 55
that late medieval and early 65
that lease payments are made 67
that least progress has been 45
that less attention has been 817
that less attention was paid 901
that less emphasis has been 67
that less progress had been 45
that less progress has been 100
that life prepares for what 74
that lord aberdeen and lord 96
that lord aberdeen had been 88
that lord brougham had been 41
that lord brougham has nothing 42
that lord melville had been 312
that lord randolph had been 57
that made everyone who heard 54
that made headlines all over 219
that made possible his great 51
that made possible not only 298
that make possible not only 160
that male children are more 269
that male students are more 222
that many attempts had been 558
that many believed had been 136
that many believed they were 126
that many business men have 43
that many children and their 41
that many children and young 404
that many children and youth 296
that many children are able 184
that many children are born 368
that many children are left 49
that many children are more 46
that many children are sent 105
that many children had been 388
that many children may have 169
that many children who fail 44
that many children who have 1184
that many children who need 45
that many children who were 682
that many children with down 70
that many children with reading 109
that many christian men seem 52
that many churches had been 57
that many citizens had been 46
that many civilians had been 55
that many decisions are made 786
that many families are able 40
that many families had been 210
that many families who have 62
that many families who were 50
that many innocent men were 69
that many miracles had been 115
that many mistakes are made 292
that many mistakes had been 456
that many monoliths and some 129
that many officers for some 143
that many officers had been 198
that many officers who were 44
that many patients and their 125
that many patients are able 207
that many patients can walk 87
that many patients had been 52
that many patients may have 254
that many patients who have 1170
that many patients who were 332
that many patients with heart 68
that many patients with mild 182
that many patients with these 75
that many perished for want 49
that many problems had been 42
that many questions are left 57
that many questions had been 48
that many scholars who have 130
that many sensible and well 148
that many soldiers had been 228
that many students and some 40
that many students and their 101
that many students are able 99
that many students are having 42
that many students are more 48
that many students are very 44
that many students can learn 106
that many students had been 170
that many students may have 198
that many students who come 45
that many students who have 502
that many students who take 42
that many students who were 328
that many subjects had been 153
that many thousands had been 50
that many thousands had seen 46
that many traitors had made 97
that mary anderson was having 57
that mere negations can only 107
that mere requests for such 208
that miss robinson has told 50
that more attention had been 427
that more attention has been 1971
that more attention was paid 2127
that more business was done 98
that more children are born 353
that more children mean more 148
that more children than ever 72
that more decisions are made 123
that more education and more 45
that more emphasis has been 494
that more emphasis was laid 109
that more frequent and more 224
that more mischief had been 52
that more mischief has been 54
that more mistakes are made 245
that more nonsense has been 122
that more numerous and more 178
that more powerful and more 48
that more progress had been 242
that more progress has been 919
that more progress was made 145
that more recently has been 150
that more rejoiced his heart 129
that more students than ever 203
that most attention has been 743
that most attention was paid 107
that most beautiful and most 427
that most children and many 97
that most children and young 126
that most children and youth 136
that most children are able 269
that most children are born 282
that most children are more 115
that most children are ready 113
that most children are very 88
that most children can cope 47
that most children can learn 185
that most children who have 460
that most children who were 143
that most children with down 138
that most children with reading 115
that most dangerous and most 113
that most decisions are made 771
that most families are able 86
that most military men have 100
that most mistakes are made 142
that most patients and their 89
that most patients are able 285
that most patients who have 586
that most patients who were 105
that most patients with mild 42
that most patients with these 41
that most probably they must 58
that most probably they were 152
that most progress has been 271
that most progress was made 159
that most resemble each other 148
that most scholars who have 175
that most students are able 197
that most students are more 176
that most students can learn 296
that most students who have 204
that most students who take 129
that most wretched and most 42
that much affected low land 43
that much attention had been 203
that much attention has been 3372
that much attention was paid 1336
that much business was done 42
that much confusion has been 340
that much emphasis has been 408
that much emphasis was laid 43
that much evidence has been 123
that much interest had been 111
that much interest has been 176
that much interest was felt 108
that much mischief had been 62
that much mischief has been 252
that much mischief was done 49
that much nonsense has been 160
that much progress had been 1458
that much progress has been 4788
that much progress was made 1206
that much property had been 45
that must interact with other 47
that must separate him from 44
that neil armstrong and buzz 45
that nice argument but what 43
that north carolina had been 240
that north carolina has been 55
that north carolina has made 52
that nothing concrete had been 55
that nothing concrete has been 51
that nothing decisive has been 45
