tail gives some hint for 80
tail might have been his 70
tail still sore from its 45
tail would only make nag 279
take about five years for 121
take about four years for 42
take about three days for 81
take about three years and 73
take about three years for 88
take action even when they 40
take action into their own 130
take action only when they 55
take anything away from any 113
take anything away from her 521
take anything away from him 396
take anything away from his 221
take anything away from its 63
take anything away from men 48
take anything away from our 96
take anything away from that 91
take anything away from them 590
take anything away from this 207
take anything away from you 1625
take anything else from you 81
take anything more from him 69
take anything more from you 129
take aught away from thee 96
take color from what you 44
take extra care when using 43
take extra care when you 71
take jolly good care not 143
take jolly good care that 511
take money away from them 117
take money away from you 45
take money from their own 50
take money from those who 439
take place among those who 366
take place early next year 114
take place even when one 93
take place even when they 135
take place only once and 46
take place only when all 445
take place only when and 82
take place only when both 216
take place only when one 424
take place only when that 49
take place only when they 463
take place only when this 95
take place only when two 83
take place only when you 139
take place over more than 161
take place over time and 907
take place over time are 129
take place over time with 93
take place over very long 105
take place some time this 63
take place till more than 230
take place till next year 77
take place till their age 71
take place very early and 52
take place very soon and 73
take place when more than 150
take place when only one 71
take place when there are 996
take place when there has 94
take place when there was 203
take place when those who 46
take power away from him 62
take power away from men 45
take power away from them 133
take power from those who 90
take power into their own 1278
take power over their own 56
take quite some time and 145
take quite some time for 451
take still more time for 43
take turns saying what they 44
take under your care and 47
take warning from those who 42
take warning from what had 62
take warning from what has 66
take wives from among them 86
take wives from their own 71
take yours down till its 47
taking action into their own 58
taking anything away from her 126
taking anything away from him 137
taking anything away from his 64
taking anything away from its 47
taking anything away from that 83
taking anything away from them 131
taking anything away from you 187
taking black mail from his 89
taking money away from them 94
taking money from those who 208
taking notes will help you 52
taking place among those who 166
taking place over more than 135
taking place over time and 209
taking power away from them 69
taking power from those who 49
taking power into their own 381
tale about these gray old 86
talk about free will and 53
talk about many other things 208
talk about much more than 142
talk about nothing else but 522
talk about nothing else for 172
talk about nothing else than 49
talk about nothing other than 44
talk about only three things 86
talk about some other things 324
talk about some ways that 101
talk about some ways you 90
talk about their anger and 106
talk about their faith and 181
talk about their faith with 123
talk about their fears and 1109
talk about their health and 121
talk about their ideas and 521
talk about their ideas for 105
talk about their ideas with 139
talk about their jobs and 564
talk about their kids and 125
talk about their life and 270
