tail becomes tenant in tail 100
take careful notice of what 49
take country drives in town 66
take courage enough to rise 54
take especial notice of those 161
take himself firmly in hand 41
take judicial notice of city 53
take judicial notice of fact 79
take judicial notice of other 76
take judicial notice of said 167
take judicial notice of some 174
take judicial notice of such 1872
take judicial notice of their 296
take judicial notice of these 566
take judicial notice of those 145
take judicial notice of very 100
take judicial notice of what 591
take matters firmly in hand 50
take official notice of such 150
take official notice of what 41
take shelter behind the wall 46
take showers instead of baths 319
taking chances enough to have 59
taking judicial notice of such 43
taking judicial notice of their 67
taking showers instead of baths 86
tall musician walked the room 45
tall parents tended to have 54
tall pyramid shooting up dark 65
tape recording should be made 87
teeth smartly before my heart 207
tell stories around the fire 67
tenth century appears to have 47
term adverse effect on their 122
term current assets is used 114
term formula weight is used 49
term usually refers to those 87
test results should be done 41
test results should be kept 207
test results should be made 257
test results should be used 668
their account better in buying 55
their acquiring habits of self 176
their advance across the open 105
their advance through the city 48
their advance toward the city 47
their ancient abodes to make 58
their ancient habits of life 44
their ancient manner of life 95
their ancient manner of living 99
their arcadian haunts of yore 82
their archers served on foot 74
their arrival before the city 62
their attending enough to what 59
their average height is from 49
their average income is only 111
their average number of days 64
their average number of years 107
their bedroom across the hall 46
their behavior toward the jews 48
their behavior toward the other 48
their bellies before it sets 90
their brethren beyond the alps 41
their capital through the sale 68
their careers depend on their 42
their certain periods of time 79
their charity toward the poor 90
their clients before the trial 104
their company pleased me much 93
their conduct appears to have 116
their conduct should be such 96
their conduct tended to nothing 124
their country itself is only 131
their country should be free 89
their country should be made 55
their country united on some 47
their courses across the rising 110
their courses rolled to make 44
their cousins across the ocean 47
their crooked nature to your 43
their current station in life 62
their customs duties on coal 59
their decline jested at their 64
their deepest powers of mind 76
their descent through the male 347
their desires should by some 66
their desires stands in full 121
their differing points of view 1433
their dispute through the means 146
their diverse points of view 159
their doctors wanted to cure 54
their drained bodies in acid 48
their dreadful duties to make 50
their dwindling supply of food 45
their earliest habits of life 146
their effects depend on their 45
their effects through the same 82
their efforts proved in vain 119
