term intend 91 there greatly 57
there recall 114 these always 123
think better 228 think overly 54
think unduly 64 think unfair 151
think enough 158 think better 97
think pretty 196 think something 189
think beyond 67 think beyond 75
think insane 69 think through 171
think enough 75 think enough 63
think afraid 84 think guilty 143
think likely 43 think serious 213
think without 73 think better 40
think enough 491 think stupid 59
think justly 79 think fierce 40
think severe 52 think stupid 68
think wicked 75 think admire 151
think already 147 think desire 45
think grieve 43 think intend 48
think listen 143 think matter 50
think notice 1334 think realize 735
think regret 155 think suffer 158
think something 55 those esteem 41
those mention 62 till almost 44
till enough 87 time something 100
time through 95 time afraid 85
time anxious 115 time without 66
time enough 62 time answer 82
time desire 64 time expect 91
time forget 163 time intend 353
time listen 55 time notice 155
time recall 413 time regret 46
time enough 49 true spirit 41
