taken children 170 takes standard 308
tasks physical 63 tasks seriously 58
taste hereafter 47 taxes required 63
taxes resulted 114 teaching students 44
teaching continue 105 telling happened 67
telling happened 59 telling happened 52
telling happened 119 tells outright 67
tending manifest 44 tents homeward 72
terms moderate 64 thanks cordially 42
thereof distance 109 thighs scorched 65
thinking capacity 41 though admitted 71
though loosened 44 though expected 502
though supposed 276 though expected 396
though imagined 84 though supposed 102
though probably 69 though deployed 47
though afforded 85 though welcomed 68
though solemnly 117 though numerous 51
though projects 98 though accident 67
though afforded 89 though summoned 43
though tradition 84 though accepted 47
though expected 46 though foreseen 74
though improved 69 though produced 49
though received 68 though recourse 124
though retreated 71 though suffered 54
though mistakes 48 though polished 40
though deserved 53 though received 74
though welcomed 56 though happened 41
though unlikely 40 though unlikely 44
though crumbles 52 though involved 56
though required 53 though thousands 81
though expected 45 throat strangled 73
thrown jauntily 90 thrown authority 93
thrown confusion 63 times disputed 62
times provided 45 times condition 67
times original 135 times yourself 47
today continue 87 today ancestry 176
tones possible 45 tools problems 62
trade occurred 60 train extended 46
treaty executed 43 treaty ratified 97
treaty ratified 50 trees supposed 41
trees sensible 53 trees confused 40
trees branches 62 trees quantity 51
trees branches 133 trend reversed 103
troop confusion 114 turning engrossed 49
turning realities 89 turning ridicule 65
