take captives and sell them 42
take evidence and call for 48
take exception that there are 76
take pictures and send them 156
take whatever they dish out 56
take whatever they give you 49
take whatever they want and 115
take whatever you dish out 60
take whatever you give them 44
take whatever you have and 44
take whatever you want and 72
taking entirely too much for 48
talk concerning them years ago 78
talk entirely too much for 75
tall palmetto that grew not 64
tape recorder and note pad 52
tape recorder and play them 133
tape recorder can help you 59
tape recorder was used and 49
tape recorder was used for 138
teach children that there are 126
teach students not only how 84
teach students that there are 91
teeth chattering with cold and 274
teeth loosened and fell out 111
teeth therefore are cast off 47
tell children how good they 42
tell children that there are 94
tell everyone how much you 56
tell everyone that there was 49
tell everyone who asks that 85
tell everyone you know that 393
tell everyone you meet that 68
tell somebody you love them 46
tell students that there are 75
tell yourself how much you 49
tell yourself how well you 47
tell yourself that there are 49
tell yourself that what you 122
tell yourself that when you 108
tell yourself you will not 138
tent pretending that nothing had 110
term includes both those who 53
term includes not only all 82
term reserved for those who 92
term strategy for coping with 90
term strategy for dealing with 526
term suggests that there are 47
test positive for drug use 499
test yourself and find out 92
text suggests that there are 99
thank everyone for coming and 160
thank everyone for coming out 85
thank everyone who made this 190
thank goodness she will not 48
thank publicly all those who 55
their abettors not only all 41
their accounts they were not 69
their accounts with their own 44
their affection and care for 44
their affection and love for 76
their affection and their end 96
their affection for their old 167
their affection for their own 172
their affection for those who 59
their appetite for food and 166
their appetite for food has 81
their appetite for more and 51
their argument has been that 178
their argument that there was 68
their assertion that there are 73
their assertion that there was 90
their attention and draw them 138
their attention and give them 109
their attention and help them 85
their attention and keep them 157
their attention and made them 102
their attention and make them 277
their attention and making them 41
their attention and tell them 51
their attention and told them 54
their attention far more than 79
their attention for more than 227
their attention for very long 49
their attention was more and 49
their attitude had been one 44
their attitude has been one 46
their attitude has been that 89
their attitude was such that 137
their authority and their own 51
their authority for saying that 150
their authority for their own 192
their authority for what they 43
their authority was from god 81
their authority with their own 46
their autonomy and their own 73
their barriers and mingle with 91
their beginnings and ends are 86
their bicycles and rode off 91
their boldness and their wit 56
their bounties and back pay 95
their business and their own 50
their business and those who 45
their business and were not 49
their business and what they 81
their business any more than 58
their business for their own 112
their business may call them 143
their business was done and 43
their business was done with 54
their business was only with 51
their business with more ease 99
their business with their own 108
their capacity for beef and 41
their capacity for coping with 76
their capacity for dealing with 833
their capacity for faith and 75
their capacity for good and 48
their capacity for great and 80
their capacity for hard and 54
their capacity for love and 207
their capacity for work and 408
their capacity for work was 69
their capacity they will all 48
their capitals with poets and 59
their carbines and shot him 49
their chickens and pigs and 48
their children and also for 61
their children and bringing them 55
their children and care for 199
their children and caring for 143
their children and feed them 55
their children and feel that 188
their children and felt that 153
their children and gave them 177
their children and give them 672
their children and giving them 184
their children and have not 71
their children and have them 204
their children and help them 498
their children and hiring them 46
their children and hold them 51
their children and keep them 342
their children and kept them 50
their children and leave them 147
their children and left him 44
their children and left them 41
their children and love them 79
their children and made them 92
their children and make them 352
their children and making them 49
their children and other kin 242
their children and pick them 92
their children and play with 59
their children and push them 46
their children and send them 373
their children and sent them 185
their children and show them 82
their children and take them 204
their children and taking them 52
their children and teach them 408
their children and tell them 193
their children and their aging 373
their children and their dog 44
their children and their few 73
their children and their men 120
their children and their new 70
their children and their old 179
their children and their own 1798
their children and there are 88
their children and there was 65
their children and those that 89
their children and those who 645
their children and told them 75
their children and took them 64
their children and treat them 180
their children and turn them 43
their children and want them 240
their children and warn them 49
their children and were not 110
their children and what they 422
their children and when they 178
their children and will not 102
their children and wish them 49
their children and work with 45
their children and young men 49
their children any less than 47
their children any more than 234
their children are born and 291
their children are born out 40
their children are born with 199
their children are gone and 45
their children are just not 69
their children are less than 62
their children are living with 79
their children are more apt 40
their children are more than 44
their children are reading and 46
their children are ready for 164
their children are safe and 185
their children are sick and 49
their children are their own 159
their children are those who 114
their children are well fed 74
their children are when they 42
their children are young and 289
their children but also for 218
their children but also that 90
their children but also with 56
their children but were not 54
their children can help them 46
their children far more than 115
their children for care and 51
their children for from one 197
their children for more than 235
their children for their own 631
their children for what they 243
their children for whom they 92
their children get away with 79
their children get ready for 50
their children had been doing 62
their children had been put 47
their children had left them 65
their children had their own 61
their children had told them 46
their children how much they 117
their children may have had 42
their children men whom they 71
their children not only for 57
their children not only with 107
their children than their own 291
their children than those who 373
their children than those with 90
their children than what they 55
their children than when they 55
their children that their old 64
their children that there are 133
their children that there was 74
their children that were not 62
their children that when they 106
their children they love them 59
their children too much and 63
their children who have not 219
their children who were being 103
their children who were not 164
their children who were too 41
their children with bread and 53
their children with care and 54
their children with food and 99
their children with love and 365
their children with more than 99
their children with reading and 63
their children with their math 47
their children with their own 941
their children with those who 40
their children with toys and 48
their children with what they 128
their children with whom they 90
their churches and their own 49
their churches with their own 69
their citizens are most apt 60
their colonies for their own 59
their comments and help with 49
their commerce and their zeal 40
their communion all those who 65
their companion and self for 76
their companion had left them 87
their comrades and give them 45
their comrades and their own 59
their comrades are also going 40
their comrades had been cut 40
their comrades who were being 45
their comrades who were not 66
their comrades who were now 63
their comrades with whom they 87
their concerns and fears and 71
their concerns and fears are 44
their concerns and fears with 40
their concerns and have them 61
their concerns and help them 74
their concerns and ideas for 51
their concerns and what they 77
their concerns are heard and 94
their concerns for their own 68
their condition and duty being 118
their condition and fate are 65
their condition and give them 64
their condition and make them 56
their condition and those who 62
their condition and what they 103
their condition than those who 78
their condition was such that 688
their condition with those that 309
their constant cry when out 49
their contacts with their own 65
their contacts with those who 52
their contempt but their own 41
their contempt for their own 164
their contempt for those who 399
their contempt for what they 385
their contents but also for 51
their councils they were weak 49
their covenant did bind them 56
their covenant with their god 91
their crutches and walk off 80
their curiosity and make them 91
their curiosity was such that 41
their daughter and their son 432
their daughter had told them 40
their daughter was born and 92
their daughter was living with 42
their decisions are lame and 127
their decisions are made for 92
their decisions are made with 59
their decisions they will not 102
their defection was more than 42
their delusions and join with 88
their diameters are less than 90
their direction being such that 45
their disaster they think they 51
their disposal for dealing with 139
their disposal for their own 122
their distaste for what they 112
their doctrine who teach that 54
their dominions all those who 58
their dramatic art from any 42
their eagerness for gain was 90
their education and give them 73
their education and those who 95
their education and what they 58
their education for giving them 40
their education for making them 40
their education had made them 50
their education has been too 43
their education has made them 120
their education than from any 54
their education than those who 53
their education was paid for 70
their employer for less than 95
their employer for more than 56
their endeavors and their zeal 45
their energies and time and 56
their energies for their own 82
their enthusiasm and love for 75
their enthusiasm and think for 69
their enthusiasm for life and 66
their enthusiasm for their new 137
their enthusiasm for their own 218
their enthusiasm for what they 245
their enthusiasm for what was 49
their enthusiasm for work and 71
their enthusiasm run away with 148
their enthusiasm was only for 48
their enthusiasm was such that 56
their entrance and exit near 48
their excesses and take them 43
their execution with their own 52
their expenses and give them 46
their expenses are paid for 48
their expenses for food and 49
their expenses for those who 47
their expulsion was heard with 91
their eyesight and hearing are 50
their families and also for 61
their families and care for 66
their families and gave them 42
their families and give them 102
their families and have few 41
their families and have not 52
their families and help them 83
their families and jobs and 61
their families and keep them 105
their families and make them 52
their families and more than 49
their families and send them 49
their families and sent them 83
their families and take them 58
their families and tell them 89
their families and their all 97
their families and their god 119
their families and their own 723
their families and their way 62
their families and there was 74
their families and those they 51
their families and those who 578
their families and told them 44
their families and were not 147
their families and what they 182
their families and when they 59
their families and work for 53
their families are poor and 75
their families are safe and 42
their families but also for 286
their families but also with 69
their families can live and 57
their families for care and 47
their families for food and 47
their families for help and 54
their families for more than 384
their families for their own 84
their families for what they 59
their families for whom they 45
their families for years and 62
their families had held for 62
their families had sent them 51
their families may have had 46
their families than those who 93
their families they were going 41
their families who have had 59
their families who have not 61
their families who live with 46
their families who were being 51
their families who were not 136
their families with food and 171
their families with more than 44
their families with their own 106
their families with what they 55
their families with whom they 80
their fetishes and drag them 51
their fondness for their own 97
their forebears had done for 117
their foreheads with pins and 58
their fortunes fly away with 49
their fortunes with their own 43
their garments and made them 88
their greatness they will lie 40
their hammocks and bags lying 40
their homeland and their way 54
their homeland and those who 66
their homeland for more than 55
their horizons and give them 41
their horizons and help them 50
their husbands and give them 54
their husbands and giving them 79
their husbands and help them 100
their husbands and keep them 58
their husbands and live with 69
their husbands and make them 55
their husbands and male kin 187
their husbands and other men 286
their husbands and sons and 533
their husbands and sons are 193
their husbands and sons for 97
their husbands and sons had 217
their husbands and sons off 124
their husbands and sons that 42
their husbands and sons who 251
their husbands and sons with 64
their husbands and their own 181
their husbands and those who 96
their husbands and were not 65
their husbands and when she 46
their husbands and whip them 48
their husbands are away for 41
their husbands are living with 60
their husbands earn less than 49
their husbands for beating them 50
their husbands for leaving them 96
their husbands for more than 71
their husbands for other men 82
their husbands for their own 81
their husbands had died and 62
their husbands had left for 46
their husbands had left them 182
their husbands had told them 56
their husbands how much they 53
their husbands who were not 41
their husbands with their own 45
their husbands with whom they 54
their identity and their own 68
their identity and what they 46
their identity for more than 53
their identity with their own 73
their immediate and their long 58
their impulses and make them 56
their impulses are keen but 106
their impulses may take you 53
their iniquity and knew that 59
their iniquity and their sin 616
their instinct had told them 45
their interest and draw them 40
their interest and duty are 52
their interest and give them 70
their interest and help them 80
their interest and keep them 73
their interest and love for 53
their interest and make them 101
their interest and ours are 41
their interest and your own 47
their interest they will not 48
their judgment and make them 41
their kindness than these for 42
their laughter and their singing 281
their liability for their own 42
their lovemaking was slow and 77
their machines and took off 46
their marriages than those who 148
their memories for what they 138
their mistakes and join with 505
their mistakes and what they 42
their mistakes than those who 42
their mistress can feel for 40
their obsession with their own 120
their officers had told them 181
their operation and have thus 41
their partners and their own 66
their partners for life being 55
their partners than those who 82
their partners with whom they 41
their patience and help with 60
their patience had worn thin 46
their patience was wearing thin 320
their patience was worn out 168
their patients and their own 192
their patients and treat them 47
their patients for their own 81
their patients who chew gum 246
their patients who have had 51
their patients with their own 69
their pedestal and leave them 45
their platform and tell them 206
their pleasures are tinged with 63
their policies for dealing with 83
their porridge and their fat 71
their positions all those who 71
their positions and there was 43
their positions and those who 42
their positions and wait for 44
their positions and were not 47
their positions are such that 59
their positions for less than 177
their positions for life and 90
their positions for more than 276
their positions for their own 335
their potential for dealing with 49
their potential for good and 85
their potential for harm and 42
their practice and what they 40
their practice for other than 68
their presence and their aid 65
their presence any more than 45
their presence for more than 68
their presence how much they 65
their presence may have had 46
their presence was more than 87
their prestige was such that 42
their problems and asking for 45
their problems and cope with 40
their problems and fears and 42
their problems and find out 96
their problems and gave them 48
their problems and give them 136
their problems and giving them 43
their problems and help them 390
their problems and make them 111
their problems and their own 64
their problems and their way 40
their problems and those who 46
their problems and what they 249
their problems and work out 146
their problems are dealt with 56
