tact and wisdom that are 171
tail and couching his head 72
tail and hailed him with 108
tail and pulled him out 44
tail and rushed for his 54
tail and tilted his head 66
take all actions that may 79
take any course that may 73
take any credit for his 140
take any credit for our 59
take any credit for that 293
take any credit for them 46
take any credit for this 182
take any further sum for 73
take any parcel that they 67
take any reward for his 42
take any thought for her 47
take any thought for you 96
take her abroad with him 49
take her anguish and her 48
take her chance with him 164
take her clothes off and 671
take her clothes off for 200
take her clothes off with 48
take her clothes with her 59
take her family with her 46
take her friend with her 49
take her infant with her 44
take her little boy with 41
take her shopping and buy 84
take her sister with her 52
take him abroad with him 92
take him inside her and 44
take him shopping with her 46
take him shopping with you 46
take his advice and get 69
take his advice and try 45
take his brother with him 109
take his camera with him 60
take his chance and die 45
take his chance with his 54
take his chance with them 164
take his clothes off and 520
take his clothes off for 114
take his clothes with him 56
take his degree and run 107
take his dinner with him 63
take his dinner with his 50
take his dinner with them 81
take his eldest son with 45
take his family and get 42
take his family and his 129
take his family out for 101
take his family with him 1635
take his fiddle with him 76
take his friend off for 74
take his friend out for 49
take his friend with him 239
take his guitar with him 43
take his horses with him 55
take his jacket off and 132
take his measure and then 66
take his midday meal with 64
take his nephew with him 221
take his papers with him 78
take his rations with him 49
take his revenge for his 52
take his revenge for this 42
take his riches with him 62
take his secret with him 79
take his sister with him 268
take his slaves with him 192
take his solemn oath that 103
take his sports and his 43
take his station with his 59
take his weapons with him 69
take his weight off her 61
take his weight off his 66
take its chance with all 55
take its course and for 47
take its course and let 108
take its course and not 152
take its course and see 62
take its course and that 333
take its course and then 55
take its course and thus 47
take its energy and its 40
take its flight far and 80
take long before she had 77
take long before she was 238
take long before they are 182
take long before they had 102
take long before you are 77
take long before you can 61
take long before you get 48
take one another for man 64
take one course one day 41
take our clothes off and 484
take our common lot with 58
take our horses with them 59
take our shirts off and 90
take that energy and use 40
take that letter and read 41
take them before they are 45
take them before they can 57
take them loaded with all 75
take them unless they are 62
take things slowly and not 43
take this advice with you 46
take this beetle with you 252
take this burden off his 93
take this further and say 78
take this letter and read 45
take this letter with him 75
take this letter with you 129
take this measure and cut 40
take this obvious and easy 80
take this sacred oath that 182
take this solemn vow that 122
take this thought with you 55
take too little than too 60
take who sought his aid 41
take you farther than you 159
take you further than you 224
take you places that you 85
take you twelve men out 155
take you unless you are 46
taking all causes one with 42
taking her abroad with him 43
taking her brother with her 75
taking her candle with her 41
taking her clothes off and 224
taking her clothes off for 155
taking her clothes off with 44
taking her clothes with her 43
taking her coffee with her 74
taking her family with her 97
taking her infant with her 61
taking her little boy with 48
taking her little son with 76
taking her measure was not 41
taking her secret with her 48
taking her sister with her 82
taking his brother for him 94
taking his brother with him 212
taking his camera with him 53
taking his clothes off and 232
taking his coffee with him 82
taking his dinner with him 59
taking his eldest son with 63
taking his family and his 59
taking his family out for 58
taking his family with him 1568
taking his friend with him 56
taking his jacket off and 67
taking his mutton with them 117
taking his nephew with him 59
taking his papers with him 67
taking his prizes with him 42
taking his pupils with him 45
taking his secret with him 173
taking his sheaves with him 44
taking his siesta one day 47
taking his sister with him 118
taking his slaves with him 95
taking his troops with him 110
taking his weight off her 68
taking its letter with him 40
taking kit inside with him 42
taking our clothes off and 45
taking this course was that 83
taking you sooner than for 59
tale that teaches that god 44
talk had broken off that 53
talk that filled you with 62
talk things through with her 74
talk things through with him 83
talk things through with you 140
talk this through with you 81
talk was better than any 41
talk with anyone who had 198
talk with anyone who has 137
talk with anyone who was 96
talk with queens and kings 287
talk with someone who can 481
talk with someone who did 91
talk with someone who does 282
talk with someone who had 562
talk with someone who has 1606
talk with someone who was 470
talk you decide that you 93
tall and skinny and had 144
tall and skinny and has 44
tall and skinny with long 55
tall and slight for her 81
tall man nodded his head 65
tall man standing with his 54
tall old trunks had each 65
tank was filled with tap 44
taps are turned off and 44
task for anyone who has 71
task for someone who had 62
task for someone who has 57
task set before him was 54
task that nature has set 175
task was beyond him and 61
task was greater than that 46
task was neither easy nor 75
taxing her strength too far 65
taxing her without her own 84
teach all nations all things 58
teach all nations was not 50
teach him better than that 41
teach him faster than that 58
teach him something new and 47
teach that christ did not 55
teach that christ was not 56
teach them better things and 40
teach them skills that they 61
teach them something that they 73
teach you better than any 86
teach you better than that 264
teach you something that you 114
teach you something you did 70
teams and assign each team 171
teams for carrying out its 97
tearing her clothes off and 64
tearing his clothes off and 52
tears and begged him not 44
tears and buried her head 110
tears and buried his head 44
tears and nodded her head 40
tears and sobbed that she 41
tears and turned her head 48
tears nor infamy nor now 48
teasing and bullying for use 74
teasing and flirting with her 82
teasing and unceasing are they 65
teasing her nipple with his 65
teeth and laughing gas and 69
teeth and nodded his head 40
teeth and pulled with all 49
teeth and raised his arm 57
teeth and reached for his 43
teeth and shakes his head 59
teeth and turned her head 53
teeth and turned his head 53
teeth are struck out with 53
teeth had fallen out and 108
teeth was enough for them 73
tell her brother that she 188
tell her cousin that she 89
tell her doctor that she 69
tell her family she was 82
tell her family that she 364
tell her firmly that she 44
tell her friend how she 44
tell her friend she was 61
tell her friend that her 66
tell her friend that she 304
tell her little boy that 152
tell her readers that she 45
tell her sister she was 46
tell her sister that she 375
tell her something and she 150
tell her something but she 51
tell her something she did 254
tell her something she does 69
tell her something she had 48
tell her something she was 40
tell her something that had 48
tell her something that she 190
tell her something that was 152
