the cd package makes this 90
the ear trumpet loves old 58
the fa premier league and 101
the ion exchange resin and 108
the ion exchange resin was 50
the king answering shall say 43
the king himself burst out 130
the king himself could not 1304
the king himself keeps out 125
the king himself might not 40
the king himself ought not 92
the king himself would not 336
the king resided nearly all 43
the king shortly after his 82
the king usually chose his 66
the ming dynasty which was 72
the ring happily stood him 80
the rv outflow tract and 100
the sea appeared paved with 272
the sea becomes rough and 48
the sea between china and 64
the sea between crete and 61
the sea between dover and 158
the sea between italy and 103
the sea between japan and 111
the sea between malta and 61
the sea between spain and 77
the sea thundering below and 40
the st quentin canal and 52
the thing against which they 108
the thing happens every day 87
the thing measured never can 130
the un charter calls for 53
the un charter could not 44
the un charter rather than 49
thing he desired above all 149
thing he noticed about her 137
thing he noticed about his 41
thing he worried about was 111
thing in question could not 57
thing in religion which they 49
thing is certain about him 49
thing is certain about them 86
thing is certain about this 140
thing is happening every day 107
thing is happening right now 70
thing is happening today with 64
thing is repeated again and 59
thing is welcome which may 78
thing of perfect beauty and 171
thing the canadian asked was 63
thing the following morning and 72
thing the supreme court has 50
thing to explain about how 189
thing to observe about this 178
thing we worried about was 66
to an account under this 44
to an account which has 139
to an account which was 94
to an accrual basis for 85
to an accrual basis that 44
to an address which had 70
to an address which they 40
to an address which was 137
to an adjoining field and 41
to an adjoining owner for 63
to an adjoining table and 48
to an adopted child who 78
to an adverse party who 188
to an aesthetic rather than 48
to an african mother and 54
to an african woman who 70
to an airline pilot who 54
to an alliance which had 56
to an alliance which was 152
to an america which had 60
to an america which was 58
to an anarchy which was 95
to an ancient greek myth 58
to an ancient people and 48
to an ancient people who 104
to an ancient power who 40
to an annuity under this 424
to an antique dealer and 63
to an antique dealer for 75
to an antique dealer who 44
to an antique store and 73
to an applied field and 58
to an applied force and 81
to an article about him 51
to an article which had 368
to an article which has 143
to an article which may 62
to an article which was 108
to an attacking force had 53
to an attempt which had 72
to an attempt which was 61
to an audible voice but 107
to an average human being 346
to an average level that 41
to an average price for 52
to an average value for 183
to an economy which had 64
to an economy which has 103
to an economy which was 123
to an elderly black man 72
to an elderly leader who 64
to an elderly widow who 56
to an elderly woman and 139
to an elderly woman who 862
to an elderly woman with 171
to an election shall bear 74
to an election under this 214
to an election which was 42
