tabs in the fill effects 45
tail is in most aquatic 149
tail is the most visible 44
tail of the great liberal 93
tail of the last buffalo 126
tail of the same material 40
tail of the wave function 304
take as an heir because 149
take if it were offered 42
take if it were repeated 46
take in as many details 65
take in the blue distant 40
take in the coming contest 66
take in the coming decades 113
take in the full picture 49
take in the most concise 57
take in the next century 122
take in the next chapter 63
take in the next decades 43
take in the next several 63
take is an open question 161
take is to make certain 47
take it as done against 47
take it as their pattern 42
take it as their primary 41
take it by your silence 64
take it in hand himself 56
take it in part payment 48
take it to heart because 130
take it to your country 58
take it up here because 45
take me as their servant 58
take me as your husband 188
take me as your servant 101
take me at least fifteen 52
take me in your carriage 52
take me in your company 45
take me to south america 75
take me to task because 60
take me to task himself 45
take me to their village 61
take me to your captain 56
take me to your country 48
take me to your parents 57
take me to your village 87
take of the same subject 217
take on an even stronger 93
take on an ever increasing 46
take on the healing process 56
take on the more complex 211
take on the more demanding 84
take on the more familiar 41
take on the more general 89
take on the most complex 57
take on the most demanding 111
take on the most diverse 50
take on the same function 61
take on the same general 159
take on the same pattern 42
take on the same subject 61
take on the task because 109
take on the task himself 127
take the thing more quietly 66
take to be bred between 44
take to be more natural 93
take to be what follows 53
take to the high country 40
take to the open country 212
take to the road because 50
take to the road together 96
take to the tall timbers 42
take up in what follows 43
take up my duty shortly 40
take up no other position 69
take up the best position 172
take up the case against 233
take up the case because 43
take up the corn stacked 41
take up the good example 54
take up the great question 183
take up the land question 64
take up the last question 107
take up the last trickling 60
take up the main question 52
take up the main subject 48
take up the more complex 95
take up the more congenial 56
take up the more general 170
take up the next question 198
take up the next subject 43
take up the only position 51
take up the other question 69
take up the post because 43
take up the same position 1050
take up the same problem 92
take up the same question 147
take up the same subject 400
take up the task because 43
take up the task eternal 668
take up the third question 65
take up the time between 40
take up the work because 43
take up to five minutes 350
take up to four minutes 42
take up to three courses 47
take up to three minutes 93
take us as their vassals 83
take us to south america 56
take us to their dwellings 68
take us to their village 88
take us up very sharply 48
taking in as many details 43
taking in the four corners 96
taking me to task because 44
taking of the case history 157
taking of the three refuges 149
taking of the trial balance 104
taking to the open country 71
